 	il	m'	a	beaucoup	fait	marcher	</S>
w	0.935976	0.0537557	0.00878918	0.000616854	0.000598452	0.000222132	4.1456e-05
a	0.828385	0.145956	0.0105959	0.00359165	0.00623627	0.00494621	0.000289675
á	0.253616	0.26476	0.398457	0.0490594	0.0229997	0.00503254	0.00607573
b	0.0283262	0.0354978	0.604283	0.204127	0.0662103	0.0157944	0.0457608
h	0.0410597	0.0125455	0.291986	0.350069	0.119876	0.020957	0.163506
é	0.0208393	0.0045832	0.24152	0.524143	0.176901	0.0104737	0.0215403
m	0.0123122	0.0079314	0.156325	0.420006	0.167792	0.0377719	0.197861
b	0.00953199	0.0223574	0.11712	0.443759	0.2019	0.0848383	0.120493
i	0.0301117	0.0171631	0.0488383	0.238212	0.363868	0.119882	0.181925
s	0.0308728	0.0769427	0.124843	0.21798	0.392748	0.109584	0.0470301
i	0.00154748	0.00233378	0.0182071	0.282885	0.250439	0.293884	0.150703
n	0.00125222	0.0524703	0.0508359	0.0812237	0.17995	0.511811	0.122456
g	0.00381268	0.134473	0.00658348	0.0335958	0.0388337	0.729505	0.053196
á	0.00220022	0.201212	0.0560027	0.120624	0.0924712	0.479566	0.0479239
w	0.00406854	0.000650441	0.0109033	0.0652042	0.233841	0.415172	0.270161
a	0.047224	0.0184337	0.0855365	0.258763	0.274805	0.157046	0.158191
m	0.00229948	0.00276143	0.0279569	0.0951783	0.19469	0.206949	0.470165
é	0.00239745	0.00205781	0.00477339	0.0410106	0.172209	0.411195	0.366357
n	0.00188694	0.00125393	0.00899705	0.0435604	0.146942	0.470842	0.326518
ε	0.000342584	0.00150495	0.00529918	0.014449	0.0330669	0.718264	0.227074
n	0.00075199	0.00896669	0.00722457	0.0183048	0.0218089	0.50172	0.441223
d	7.26697e-05	0.000140959	0.000371598	0.0050302	0.0193926	0.148936	0.826056
e	0.000148126	0.000759437	0.000370018	0.00364811	0.00976939	0.15612	0.829185
</S>	0.0015851	0.00162989	0.010733	0.0579437	0.11487	0.276857	0.536382
