 	j'	ai	l'	intention	d'	épouser	cette	fille	</S>
n	0.574847	0.0470907	0.0323067	0.0861101	0.0809394	0.137503	0.0360898	0.00266126	0.00245172
g	0.97567	0.015559	0.00150395	0.00146665	0.00254323	0.000981815	0.00168928	0.000562396	2.35621e-05
á	0.897982	0.0650229	0.014718	0.00654371	0.00493277	0.00072941	0.000738772	0.00930155	3.05038e-05
l	0.115944	0.254325	0.161001	0.0781193	0.0939238	0.0684326	0.00920888	0.0168619	0.202183
í	0.175037	0.263822	0.122345	0.0858772	0.111106	0.0175913	0.011283	0.018205	0.194734
i	0.00229776	0.0490025	0.289765	0.289616	0.19933	0.0591468	0.0136656	0.00448481	0.0926916
s	0.00138051	0.0335161	0.579701	0.147865	0.0916487	0.0740248	0.00537945	0.00827131	0.058213
i	0.00108731	0.0537981	0.695604	0.124655	0.0371276	0.0349527	0.00261492	0.0239745	0.0261863
á	0.0161677	0.0554034	0.507724	0.302388	0.0800861	0.00657168	0.0070414	0.00316823	0.0214489
o	0.00123652	0.0492147	0.0650909	0.0642693	0.54137	0.189432	0.0645473	0.0125577	0.0122808
b	0.00015055	0.00389591	0.0166316	0.0337637	0.284514	0.600246	0.0207672	0.0366608	0.00336983
a	2.45161e-05	0.000592938	0.00180395	0.00431814	0.0550537	0.897859	0.00244096	0.0355612	0.0023451
n	2.02813e-05	0.00061723	0.00436906	0.00788451	0.0818928	0.848864	0.0051448	0.0102766	0.0409311
d	0.000112422	0.00571046	0.0480954	0.04081	0.192068	0.572369	0.0172808	0.00123264	0.122321
á	7.824e-05	0.00182198	0.0220748	0.0106071	0.0527138	0.544701	0.0156896	0.0138693	0.338445
m	0.000457498	0.0182593	0.0309436	0.0217451	0.253562	0.117635	0.369941	0.0836222	0.103836
w	0.00011151	0.00108424	0.000395138	6.68681e-05	0.0113591	0.00502584	0.102181	0.785382	0.0943941
á	8.21084e-05	0.000360512	0.000142703	7.58846e-05	0.0101741	0.128704	0.00910514	0.842994	0.00836136
n	0.00030892	0.00458216	0.00254827	0.00221468	0.106222	0.0235422	0.422963	0.422164	0.015455
a	0.00216737	0.00747745	0.00826774	0.000783511	0.0271669	0.0149737	0.0959959	0.814986	0.0281817
o	0.00113679	0.00419405	0.0178835	0.0183821	0.109031	0.106789	0.55052	0.0472771	0.144786
y	3.27114e-05	0.00301989	0.0393822	0.0243138	0.0440727	0.0575949	0.208956	0.0224884	0.600139
ú	2.99185e-05	0.00104302	0.015449	0.00477122	0.012162	0.00116638	0.80371	0.0661824	0.0954862
r	0.00282283	0.00572934	0.0175323	0.0068686	0.0225146	0.00441174	0.497649	0.0147218	0.42775
u	0.000553821	0.000963221	0.00864172	0.00759825	0.0816204	0.0833497	0.297301	0.07071	0.449262
w	0.000149958	0.000930234	0.00118618	0.00143087	0.0186449	0.00240626	0.108344	0.00469868	0.862209
ó	0.00314888	0.00628559	0.0354107	0.0358781	0.0713838	0.0501711	0.524377	0.0187208	0.254624
</S>	0.000326394	0.000664015	0.000975538	0.00298998	0.00565695	0.00230633	0.0789173	0.00493691	0.903227
