 	la	nourriture	qu'	elles	ont	préparée	est	finie	</S>
b	0.352392	0.551146	0.0481977	0.0356375	0.010535	0.00126236	0.000732121	3.1108e-05	6.63545e-05
e	0.0905671	0.886722	0.0133137	0.00569041	0.00159116	0.000288669	0.00140868	0.000292599	0.000125802
a	0.00969128	0.768745	0.0972111	0.114811	0.00418526	0.00109229	0.00237996	0.00136509	0.00051848
b	0.180457	0.30542	0.232256	0.062905	0.149211	0.0135312	0.023247	0.00119276	0.0317798
í	0.0407498	0.0828176	0.333259	0.283027	0.19167	0.00875858	0.0305777	0.00173375	0.0274061
í	0.0324135	0.131246	0.242139	0.249377	0.119461	0.0348209	0.0106727	0.00134844	0.178521
l	0.00131179	0.000686094	0.0247052	0.0439229	0.184704	0.668365	0.0573955	0.00515084	0.0137583
á	0.00126119	0.00071219	0.0345169	0.00967468	0.0887171	0.74017	0.0284659	0.0291384	0.0673435
m	0.0244583	0.00848447	0.0515566	0.0258763	0.138055	0.628865	0.0363403	0.0430391	0.0433244
b	0.0308498	0.0161935	0.165462	0.238532	0.323933	0.107872	0.0566815	0.00502165	0.0554552
í	0.0431715	0.0307283	0.387798	0.285222	0.047637	0.0120432	0.0116119	0.00837575	0.173413
b	0.0160716	0.0501767	0.168819	0.565533	0.130846	0.0244721	0.0245486	0.00147619	0.0180562
á	0.00558506	0.11187	0.0376861	0.80078	0.0298146	0.0103141	0.00235728	0.000436973	0.00115617
a	0.0237768	0.0554586	0.0496394	0.805565	0.04795	0.00401215	0.00545265	0.000731198	0.00741386
í	0.000664278	0.000935731	0.020327	0.0296325	0.0649174	0.0863101	0.670759	0.0846015	0.0418523
m	0.00165606	0.000940968	0.00176684	0.0015961	0.00333406	0.0397662	0.251789	0.683092	0.0160587
i	0.00179752	0.000654564	0.00093075	0.000447462	0.00207313	0.0263749	0.136576	0.751779	0.0793668
s	0.000649463	9.31049e-05	0.000426687	0.000141101	0.00068381	0.00484858	0.345452	0.536017	0.111689
í	0.000323059	4.85447e-05	0.000226887	4.80231e-05	0.000771219	0.0203408	0.0848516	0.693994	0.199396
a	0.0003716	3.71659e-05	0.00074463	0.000385895	0.00167291	0.00229651	0.0353282	0.505684	0.453479
</S>	0.00754887	0.00338332	0.0176726	0.0237736	0.0234095	0.00178724	0.124298	0.0793545	0.718772
