 	les	enfants	ont	sali	leurs	vêtements	</S>
b	0.462061	0.529453	0.00639281	0.000625909	0.001246	0.000141939	7.90917e-05
á	0.0138875	0.976735	0.00641308	0.000229594	0.00262533	3.8563e-05	7.0554e-05
n	0.0291987	0.965833	0.0032588	0.00039954	0.00117001	7.63978e-05	6.39485e-05
a	0.165746	0.821166	0.00483734	0.00085025	0.00187143	0.000582296	0.00494662
á	0.218266	0.118084	0.557186	0.0300525	0.0559769	0.00231726	0.0181171
b	0.0724839	0.00778323	0.611776	0.26008	0.0161209	0.00848225	0.0232734
h	0.0087709	0.0224944	0.218637	0.696044	0.0199835	0.0123666	0.0217039
í	0.137758	0.039983	0.169114	0.601528	0.0249693	0.00321944	0.0234288
n	0.0197944	0.00556621	0.0859799	0.740133	0.032364	0.0388789	0.0772839
d	0.126584	0.00634682	0.177615	0.469306	0.170051	0.0103185	0.0397788
i	0.0680753	0.00616577	0.130888	0.434338	0.207768	0.0466421	0.106122
s	0.0166605	0.00484762	0.102788	0.0912188	0.701362	0.0386374	0.0444861
i	0.063811	0.0011024	0.0323713	0.493154	0.102842	0.18084	0.12588
i	0.0491977	0.00239197	0.0336236	0.0335744	0.589761	0.233497	0.0579542
k	0.000761262	0.00110301	0.00804112	0.0830356	0.0238222	0.832031	0.0512062
á	0.000518339	0.000268902	0.00406698	0.0993004	0.00684911	0.850641	0.0383557
n	0.00619497	0.000979442	0.0140794	0.328991	0.0334018	0.590684	0.0256691
d	0.00162245	0.00100049	0.0146658	0.291966	0.0569971	0.578929	0.054819
á	0.00950984	0.00770772	0.0128663	0.0484954	0.0555045	0.742039	0.123877
á	0.00988902	0.000956023	0.0117003	0.0144705	0.278394	0.301262	0.383328
b	0.0813745	0.00119262	0.0316966	0.0312856	0.520888	0.0788757	0.254687
á	0.0329429	0.0195402	0.0951486	0.0524937	0.671509	0.0828478	0.0455182
a	0.0115485	0.0118439	0.0238223	0.0186114	0.72003	0.10386	0.110283
</S>	0.00318159	0.000291915	0.0167894	0.0316032	0.0402456	0.293235	0.614653
