 	celui	qui	somnole	doit	aller	au	lit	</S>
o	0.534083	0.319427	0.0523786	0.0656966	0.005715	0.0125668	0.00514712	0.00498553
l	0.0776643	0.0882988	0.400669	0.0788294	0.235497	0.0227578	0.0750765	0.0212067
έ	0.00842463	0.0354031	0.790248	0.00313444	0.117414	0.00833656	0.00613555	0.0309033
n	0.0400181	0.106837	0.487092	0.028307	0.132821	0.0463595	0.0210276	0.137537
g	0.377528	0.188204	0.116988	0.140563	0.0242661	0.095288	0.0190887	0.038073
i	0.228072	0.126635	0.180965	0.123881	0.028594	0.0617008	0.00500611	0.245145
f	0.154738	0.195633	0.135681	0.234603	0.0721979	0.107651	0.0167468	0.0827494
u	0.012374	0.0118361	0.0932511	0.475848	0.0774662	0.0314176	0.0334713	0.264335
l	0.00920699	0.00922931	0.0901046	0.214987	0.059251	0.0237089	0.0169237	0.576589
ú	0.0240794	0.0155349	0.0478332	0.761197	0.0405661	0.0552261	0.00724154	0.0483221
k	0.00703426	0.0134011	0.0457932	0.70091	0.120315	0.076091	0.00332366	0.0331318
á	0.00605902	0.00511866	0.00517114	0.824351	0.139179	0.0089146	0.00678907	0.00441733
a	0.0106821	0.0064819	0.0222736	0.377345	0.219166	0.0511149	0.0354158	0.277521
l	0.00525853	0.00788898	0.0228148	0.372332	0.315467	0.22818	0.0188939	0.0291649
á	0.0189427	0.0159106	0.0580046	0.166865	0.344129	0.133132	0.00698564	0.25603
a	0.026591	0.0161636	0.0152443	0.276486	0.260481	0.317347	0.0312467	0.0564406
d	0.00542513	0.00637609	0.0279507	0.045199	0.531948	0.239827	0.108525	0.0347494
z	0.00159051	0.00206986	0.0110671	0.00556042	0.772663	0.0890528	0.0443245	0.0736714
w	0.000902341	0.000805942	0.00184172	0.0126269	0.962384	0.0128359	0.00539789	0.00320544
á	0.00451787	0.00335513	0.0164346	0.0368601	0.248511	0.231418	0.0227589	0.436145
o	0.00178904	0.00161091	0.0059387	0.0304049	0.153359	0.402731	0.236623	0.167544
b	0.00176131	0.00262043	0.00915007	0.0053075	0.10232	0.160337	0.657429	0.0610753
é	0.00157341	0.00420418	0.00611436	0.00888502	0.0299	0.0454145	0.864793	0.0391158
é	0.000280984	0.000311926	0.00149478	0.00555736	0.0422912	0.0522832	0.681328	0.216452
</S>	0.001644	0.00348893	0.00937965	0.0124302	0.0209059	0.35092	0.186034	0.415198
