 	il	me	cache	des	choses	</S>
w	0.924218	0.0339794	0.00194115	0.0261744	0.0128702	0.000817261
a	0.911008	0.0459844	0.00266961	0.0391805	0.00108743	7.0116e-05
l	0.306673	0.196702	0.208637	0.232052	0.0168184	0.0391176
á	0.0385798	0.0752788	0.05618	0.246173	0.0340414	0.549747
a	0.156726	0.20798	0.09864	0.225567	0.0486514	0.262435
b	0.0344048	0.261133	0.5526	0.0388119	0.0399061	0.0731445
h	0.0303548	0.0829773	0.872762	0.00982185	0.00027032	0.00381382
í	0.00425008	0.0198959	0.965259	0.00882374	0.000100848	0.00167076
s	0.0118092	0.036325	0.788893	0.0358779	0.0115142	0.115581
á	0.0145934	0.0476717	0.564612	0.234704	0.0069208	0.131498
n	0.035398	0.480496	0.107102	0.184081	0.158686	0.0342372
g	0.0182014	0.815341	0.00944032	0.125428	0.0204723	0.0111176
á	0.0204481	0.827254	0.00568967	0.0858717	0.0245519	0.0361847
p	0.024215	0.0148372	0.0119499	0.589428	0.324229	0.0353412
ω	0.00214727	0.00146513	0.000683318	0.00409885	0.978451	0.0131543
ω	0.016338	0.00476972	0.0134689	0.0215897	0.921704	0.0221294
</S>	0.00819308	0.0222179	0.0708952	0.259203	0.0541536	0.585337
