 	les	policiers	sont	à	la	recherche	du	voleur	</S>
a	0.924566	0.0456717	0.00961803	0.00495608	0.00861712	0.00151726	0.00338837	0.00160664	5.89972e-05
m	0.0549956	0.933155	0.00792053	0.00197175	0.00109687	0.000378086	0.000268616	0.000126648	8.66342e-05
b	0.0174873	0.79779	0.138681	0.0205101	0.00892173	0.00306295	0.000842936	0.00501816	0.00768612
o	0.00538487	0.97564	0.00776783	0.00428226	0.00218023	0.00202497	0.000725852	0.0012062	0.000787323
l	0.00524454	0.987244	0.00244413	0.00155789	0.00124074	0.000604249	0.000345808	0.000109492	0.00120942
o	0.0106686	0.964557	0.00826662	0.00344333	0.00303521	0.00272268	0.000686622	0.000133283	0.00648658
m	0.169616	0.108854	0.511573	0.076991	0.0771064	0.0338972	0.0115028	0.000785053	0.0096747
b	0.398641	0.0445784	0.221664	0.113054	0.130654	0.0319057	0.0526182	0.000550994	0.00633454
ó	0.339499	0.182907	0.11581	0.189657	0.105178	0.0505141	0.00494881	0.00371928	0.00776703
l	0.0403135	0.183964	0.308058	0.14786	0.183556	0.115722	0.00835698	0.00343372	0.00873399
o	0.0610561	0.0259987	0.211656	0.210926	0.176693	0.141221	0.0442599	0.00327634	0.124913
b	0.0504747	0.0152799	0.20596	0.167954	0.237916	0.209934	0.063421	0.00214112	0.0469191
á	0.084173	0.0254329	0.038652	0.27046	0.248101	0.286982	0.0208565	0.00759795	0.017745
a	0.110625	0.00772529	0.0367762	0.197073	0.20432	0.304445	0.0449871	0.0568681	0.0371802
y	0.00248286	0.000962393	0.116592	0.255279	0.207393	0.249377	0.11821	0.00343384	0.0462696
é	0.00434787	0.0100505	0.0271584	0.140151	0.0988576	0.480956	0.123414	0.00313714	0.111928
n	0.000824306	0.00126817	0.0141151	0.111302	0.103318	0.388558	0.184463	0.00421179	0.19194
g	0.00603469	0.00608863	0.033245	0.119398	0.11377	0.505772	0.171808	0.00531419	0.038569
á	0.00159707	0.0135122	0.010294	0.0349589	0.0522289	0.790181	0.0759356	0.000761124	0.0205313
m	0.00280228	0.000653878	0.0185478	0.0236299	0.0362512	0.0490735	0.783201	0.0103654	0.0754752
ú	0.00366063	0.00088538	0.0145929	0.0126837	0.0153187	0.00706469	0.219117	0.646689	0.0799886
b	0.000488542	0.000897551	0.0145419	0.0222669	0.0259278	0.00692563	0.159319	0.602211	0.167421
h	0.0191404	0.0056247	0.00429164	0.0155295	0.06738	0.0819809	0.372795	0.204388	0.22887
u	0.00268142	0.00710348	0.001537	0.0489041	0.107453	0.149219	0.31605	0.044954	0.322097
</S>	0.000275736	0.00031021	0.000961874	0.00639025	0.0108952	0.012942	0.281641	0.0111427	0.675441
