 	mbembe	ikoo	de	tsongo	avait	le	pouvoir	mystique	de	neutraliser	un	fétiche	</S>
m	0.520134	0.104514	0.131664	0.026539	0.0782319	0.0804643	0.0185556	0.0123945	0.00811635	0.00323949	0.0137534	0.00205716	0.000335422
b	0.277196	0.0739763	0.207171	0.0763063	0.111296	0.0600919	0.00128272	0.0441379	0.0499236	0.00676512	0.0140036	0.00383254	0.0740175
e	0.969979	0.00646589	0.00874481	0.00925852	0.00130629	0.00244571	0.00020857	6.45917e-05	0.000669472	0.000273162	4.37511e-05	0.000353773	0.00018685
m	0.837359	0.0547846	0.0241224	0.00509601	0.00561565	0.00922053	0.00981491	0.00203233	0.0103161	0.00437	0.00765957	0.0132006	0.0164079
b	0.931827	0.00764592	0.0129123	0.00113956	0.0319397	0.00363383	0.000442754	0.000407293	0.00351398	0.000804797	0.000882829	0.000184727	0.0046651
e	0.954347	0.0160305	0.0057387	0.000578137	0.00158001	0.00223161	0.00100114	0.000346955	0.00617349	0.00310061	0.0026389	0.00125576	0.00497771
i	0.0226754	0.586964	0.195698	0.0243316	0.0357751	0.0215511	0.0116597	0.0276009	0.0140507	0.00584732	0.0192081	0.00386693	0.0307715
k	0.0235423	0.633199	0.148395	0.0557314	0.00857014	0.012121	0.0218333	0.0265302	0.0159699	0.0117847	0.00304163	0.00418846	0.0350933
o	0.0111497	0.771428	0.0307826	0.0615776	0.00263346	0.00562209	0.078456	0.00460683	0.00460911	0.0193828	0.0021218	0.00351023	0.0041197
o	0.021808	0.647467	0.0631202	0.141298	0.00683304	0.00956807	0.0761028	0.00485546	0.00337491	0.0164422	0.00219812	0.000979764	0.00595243
l	0.00294298	0.133642	0.550965	0.02574	0.18002	0.0482882	0.00831636	0.0141695	0.00966549	0.00194953	0.00793018	0.00101136	0.0153592
á	0.00235285	0.0490947	0.244279	0.10633	0.237541	0.0794267	0.0077525	0.0708604	0.0333316	0.00368574	0.00824352	0.00930277	0.147799
t	0.000874435	0.0153503	0.171656	0.390154	0.161285	0.138378	0.0285367	0.0221482	0.0234593	0.00722092	0.0122831	0.0119084	0.0167462
s	0.000801266	0.0619927	0.0836515	0.199666	0.0455393	0.136413	0.370883	0.025736	0.0168959	0.0380845	0.00376256	0.00503137	0.0115431
ω	0.000488692	0.0328856	0.0412539	0.174222	0.0183338	0.106165	0.529378	0.0140935	0.0149068	0.0438204	0.00650242	0.011449	0.00650138
n	0.000581385	0.0295699	0.104436	0.0654186	0.202394	0.33542	0.113663	0.0236307	0.0347062	0.0235459	0.0401929	0.00907874	0.0173629
g	0.00298348	0.052654	0.147596	0.0999548	0.162485	0.128996	0.169904	0.0236435	0.029928	0.0404752	0.0127798	0.0118386	0.116761
ω	0.00451691	0.0219806	0.166791	0.322505	0.194481	0.112081	0.0143366	0.00483035	0.0223513	0.0539543	0.00964108	0.012704	0.0598269
á	8.0815e-05	0.00358426	0.0930207	0.00960225	0.429299	0.258837	0.0152712	0.132112	0.0315349	0.00239918	0.0109488	0.00402132	0.00928941
d	0.00179423	0.0139743	0.0125284	0.00327874	0.0394369	0.155135	0.0410063	0.602853	0.0777328	0.00984127	0.0196614	0.00926169	0.0134952
z	0.00155893	0.00194744	0.00541097	0.000428557	0.0550994	0.108501	0.00912936	0.480702	0.0579669	0.0035409	0.0138609	0.0091693	0.252684
á	0.000672542	0.00240042	0.0380612	0.00441715	0.128287	0.136793	0.0467125	0.326187	0.191805	0.0349722	0.0199797	0.0053806	0.0643313
l	1.92797e-05	0.000489756	0.0114259	0.002775	0.035287	0.0964848	0.0765037	0.28931	0.153666	0.0385269	0.0867529	0.0348721	0.173886
a	0.000277901	0.00126288	0.00763141	0.00164602	0.0285087	0.0391554	0.00890118	0.386546	0.300549	0.0288296	0.0228532	0.0216677	0.152171
b	0.00012849	0.0012902	0.0140734	0.00629402	0.031748	0.0389935	0.0356118	0.144263	0.233568	0.309113	0.0431035	0.0932865	0.0485266
ω	0.000504059	0.00377293	0.0202241	0.00186298	0.0210893	0.181222	0.178058	0.0423642	0.130637	0.0850543	0.0401617	0.286953	0.0080962
n	0.000144225	0.000374844	0.00209781	0.00287592	0.00228247	0.0213009	0.159896	0.02105	0.0884537	0.346948	0.057173	0.28507	0.0123329
d	0.000812451	0.00293475	0.00585723	0.00557164	0.0245128	0.0592064	0.0482897	0.136614	0.161431	0.447386	0.0609789	0.0212371	0.0251682
z	0.000905585	0.0022013	0.00535503	0.00312026	0.0297747	0.0462504	0.0151924	0.072689	0.178931	0.551362	0.0282342	0.00671202	0.0592722
o	0.000759747	0.000550646	0.00312826	0.00895589	0.0120603	0.0141901	0.0166295	0.00915562	0.0525313	0.778569	0.029819	0.00927801	0.0643725
l	0.000346158	0.00125811	0.00490043	0.000582946	0.0195634	0.0443398	0.0161656	0.0595832	0.213353	0.194024	0.186165	0.0420046	0.217713
ω	0.000103411	0.00211773	0.0147759	0.0132246	0.0114266	0.0492963	0.00521116	0.0926803	0.236923	0.0762769	0.142139	0.243325	0.112501
</S>	9.44696e-05	0.000527905	0.00389067	0.00162619	0.00372879	0.00521471	0.000905608	0.0293913	0.0781035	0.100547	0.236042	0.183931	0.355997
