 	ce	poisson	a	beaucoup	d'	arêtes	</S>
s	0.393362	0.545031	0.0312089	0.0116816	0.0158304	0.00138974	0.0014956
w	0.488412	0.45735	0.0154521	0.00619901	0.0236966	0.00144689	0.00744288
é	0.223876	0.757663	0.00405389	0.00442441	0.00275225	0.00624145	0.00098911
w	0.203769	0.705999	0.0176837	0.0101844	0.0144587	0.0139185	0.0339867
ó	0.307388	0.231953	0.236631	0.082405	0.0512789	0.0123879	0.0779559
a	0.448887	0.272798	0.113363	0.0310254	0.0167881	0.00632366	0.110815
d	0.0566326	0.0562321	0.451632	0.275053	0.048811	0.0107534	0.100886
í	0.0178005	0.071039	0.469261	0.235945	0.0227955	0.00207688	0.181083
k	0.0135213	0.0185796	0.286193	0.25277	0.0561433	0.0354763	0.337317
ú	0.00275776	0.0107736	0.043798	0.163306	0.129573	0.626229	0.0235619
b	0.00310974	0.002189	0.0205363	0.0455444	0.141931	0.753642	0.0330475
h	0.0268268	0.00256833	0.0145638	0.0635807	0.189347	0.58724	0.115873
ε	0.108548	0.00727044	0.0225789	0.0726014	0.258434	0.412545	0.118021
l	0.00939893	0.00100484	0.0926279	0.119631	0.264408	0.105799	0.407131
a	0.00396583	0.00194153	0.0954036	0.305608	0.202174	0.144692	0.246215
k	0.0143068	0.00340569	0.0354316	0.118795	0.202816	0.197457	0.427788
ú	0.000271545	0.000109284	0.00170974	0.0200028	0.053376	0.90039	0.0241406
b	0.0112288	0.000654066	0.00104919	0.0205479	0.0860349	0.866004	0.0144807
h	0.0114595	0.000324349	0.00454539	0.0499529	0.210704	0.616249	0.106765
έ	0.00530204	0.00112277	0.00401086	0.0203615	0.270396	0.580043	0.118764
</S>	0.00458658	0.000805628	0.0222781	0.0423679	0.106521	0.0297996	0.793641
