 	il	y	a	un	serpent	sous	cette	roche	</S>
n	0.26493	0.573188	0.0852021	0.025561	0.0200304	0.0153396	0.00634449	0.00706631	0.00233727
z	0.586974	0.31705	0.0227877	0.0201642	0.0139172	0.0107043	0.0185739	0.00822511	0.00160343
ώ	0.125405	0.544091	0.0685304	0.15594	0.0679617	0.0167429	0.00573057	0.00930683	0.00629241
a	0.045608	0.416048	0.120884	0.109722	0.0874575	0.00377195	0.0191871	0.00140691	0.195915
d	0.119137	0.0491398	0.497438	0.181368	0.0509688	0.0159146	0.0142128	0.00165807	0.070163
i	0.0692353	0.0238698	0.189623	0.257635	0.154916	0.0310516	0.0313546	0.00198285	0.240332
m	0.0984733	0.0321674	0.199486	0.293621	0.211818	0.0499195	0.040881	0.00338373	0.0702502
ó	0.100661	0.0126189	0.146773	0.188495	0.26863	0.0719132	0.0856496	0.00791377	0.117345
t	0.129654	0.0425439	0.153535	0.124039	0.248886	0.17085	0.0629209	0.0298151	0.0377561
s	0.00271662	0.014978	0.0260515	0.0787316	0.354196	0.452166	0.0152318	0.0286833	0.0272448
é	0.00215142	0.0086855	0.00511222	0.0263179	0.047586	0.857631	0.00834123	0.0294202	0.0147543
y	0.00288502	0.00151409	0.00385761	0.0209383	0.0414617	0.740736	0.0394324	0.0661603	0.0830145
á	0.0278643	0.0109762	0.0390361	0.0932718	0.241694	0.379107	0.137851	0.0173712	0.0528274
i	0.0180919	0.00442719	0.0191974	0.0231648	0.0518568	0.236559	0.443199	0.134123	0.0693807
b	0.00160612	0.00180797	0.00566881	0.0136669	0.0555166	0.441746	0.123815	0.24255	0.113623
v	0.00367897	0.00421897	0.01144	0.0103414	0.00598781	0.149989	0.0294772	0.758012	0.0268549
e	0.000249018	0.000146223	0.000350924	0.00154143	0.00140679	0.0887315	0.00567409	0.888038	0.0138626
d	0.000615576	0.000263078	0.000638717	0.00316143	0.00582943	0.273139	0.167044	0.32474	0.224569
í	0.00182617	0.00117366	0.00104744	0.00479161	0.0058934	0.302228	0.243404	0.213741	0.225894
</S>	0.00166651	0.00118511	0.00346537	0.00329168	0.00426786	0.102713	0.320253	0.160237	0.40292
