 	son	ami	a	soulevé	le	problème	qu'	il	y	avait	entre	leurs	épouses	</S>
o	0.762001	0.192045	0.00773739	0.00109668	0.00520064	0.00610776	0.00681465	0.00471006	0.00658859	0.00132699	0.00348229	0.00262023	0.000187621	8.16136e-05
b	0.101988	0.325074	0.219044	0.27951	0.00885805	0.00415653	0.00484197	0.00318009	0.00374917	0.00908906	0.0112824	0.00488888	0.0154647	0.00887225
i	0.0744919	0.266292	0.185413	0.103658	0.0314531	0.0532634	0.0256139	0.0172773	0.0210547	0.0254726	0.0419418	0.037709	0.103472	0.0128867
a	0.0531555	0.171686	0.193682	0.192104	0.0380536	0.0526357	0.0329471	0.01476	0.0163359	0.0133264	0.016498	0.0123902	0.029462	0.162964
y	0.231726	0.252096	0.429364	0.0175534	0.0197296	0.00424224	0.00679438	0.00664288	0.00576974	0.00376551	0.00183789	0.00603154	0.000578455	0.0138682
a	0.151805	0.08516	0.203911	0.133148	0.117379	0.0143937	0.0435808	0.0307369	0.0411729	0.0350429	0.0313498	0.031518	0.0221696	0.0586327
w	0.576806	0.0257757	0.054353	0.0336397	0.0457217	0.00501953	0.0260315	0.0315376	0.0243832	0.0312988	0.0195718	0.0424442	0.0408766	0.0425406
a	0.225566	0.055755	0.131773	0.0335847	0.0762231	0.0471302	0.0943558	0.0863607	0.0867281	0.0220953	0.0595853	0.0399829	0.00907776	0.0317818
á	0.0791721	0.0281667	0.161652	0.0807746	0.16315	0.0311284	0.0473201	0.0557636	0.0548154	0.0444707	0.0486627	0.0596658	0.0259471	0.119311
m	0.00266337	0.0410534	0.353573	0.198453	0.144302	0.0377561	0.0233984	0.0163912	0.0299589	0.0408577	0.0428394	0.0175986	0.0111146	0.0400409
i	0.000698381	0.00886438	0.04149	0.0508325	0.237689	0.460567	0.0736218	0.0471301	0.0333292	0.0175362	0.00301414	0.00271166	0.00417897	0.0183364
k	0.000145391	0.00155439	0.0402365	0.479028	0.161677	0.220879	0.0331302	0.010928	0.0166004	0.00835394	0.00582277	0.00109636	0.00237197	0.0181767
a	7.47442e-05	0.000725351	0.0141056	0.492539	0.0965357	0.211652	0.0507352	0.0232319	0.0440435	0.00729312	0.0109123	0.00240726	0.0023479	0.0433968
n	0.000107128	0.00133533	0.0248782	0.435059	0.0776815	0.296898	0.0370796	0.0274262	0.0411447	0.0125572	0.0117072	0.00341615	0.00395834	0.0267514
á	0.00266637	0.00162786	0.019142	0.345661	0.146826	0.155656	0.116028	0.0744248	0.0704613	0.0168669	0.0125758	0.00399168	0.00122103	0.0328517
i	0.00162416	0.00225372	0.00831204	0.0114132	0.058437	0.118407	0.255088	0.241446	0.176821	0.0746467	0.0207571	0.0145582	0.00802153	0.00821316
b	0.000446642	0.000962865	0.00166079	0.0139577	0.0340324	0.274321	0.220255	0.125396	0.149178	0.0564112	0.091349	0.00701171	0.00839344	0.0166238
h	0.00169849	0.00661224	0.00417313	0.0037878	0.0296421	0.537513	0.0904617	0.123825	0.115471	0.0184458	0.0374968	0.0129634	0.0115761	0.00633458
ώ	7.37249e-05	0.000349872	0.00133414	0.00551696	0.0270706	0.640984	0.0880202	0.052951	0.0948772	0.0133805	0.0516443	0.0080899	0.00368108	0.0120269
ω	8.64925e-05	0.000109194	0.000772131	0.00545849	0.0557771	0.12497	0.27925	0.13852	0.21551	0.0540203	0.0795988	0.0221221	0.00127062	0.022536
l	0.000527363	0.00127403	0.00366334	0.004552	0.0275229	0.0273332	0.134654	0.0905285	0.165054	0.166874	0.254652	0.0829082	0.00589813	0.0345579
á	0.00193122	0.00108123	0.00424908	0.00997385	0.0138081	0.025802	0.0522642	0.0362533	0.0701459	0.152891	0.350113	0.0849419	0.0399625	0.156582
á	0.00130631	0.00065226	0.00336001	0.00115774	0.00985477	0.00642651	0.0353188	0.0355967	0.0575477	0.107218	0.345338	0.215917	0.125927	0.0543788
d	0.00139139	0.000982547	0.00364133	0.00135442	0.00301838	0.00317183	0.00947385	0.0103453	0.0222048	0.140304	0.22451	0.25163	0.277484	0.0504874
z	8.3537e-05	0.00014499	0.000652128	0.000576019	0.000613821	0.00102649	0.00402519	0.0050871	0.0107526	0.244172	0.0810188	0.120246	0.292476	0.239125
á	0.00105784	0.000391182	0.0015908	0.00404019	0.00735981	0.00130204	0.014552	0.0111854	0.0181841	0.171686	0.0316953	0.0367672	0.615642	0.0845456
l	0.000523373	0.000129817	0.000581425	0.000547817	0.00261688	0.00268724	0.0163458	0.021994	0.0520634	0.178556	0.0768856	0.167313	0.104398	0.375358
a	7.84055e-05	0.00017504	0.00138906	0.00208213	0.00179572	0.00371876	0.0109164	0.0181303	0.0230395	0.145528	0.156591	0.168505	0.221536	0.246515
b	0.000416156	0.000222571	0.00108505	0.000877079	0.00514877	0.00561701	0.016528	0.0187981	0.0332074	0.0396003	0.229624	0.180268	0.265312	0.203295
á	0.00021211	0.000542352	0.00102696	0.000263463	0.00197862	0.00394661	0.00572578	0.0144819	0.031434	0.0426147	0.0857905	0.327051	0.458953	0.0259783
s	0.000410883	0.000152229	0.000217518	7.27208e-05	0.000844809	0.00299092	0.00661758	0.0215956	0.0306432	0.0495909	0.0786741	0.334807	0.381761	0.0916215
í	8.37915e-05	3.60465e-05	5.63205e-05	0.00015342	0.000429929	0.00444529	0.00553604	0.0129347	0.0176793	0.0992202	0.104672	0.369209	0.202037	0.183506
á	0.000359656	0.000447562	0.0018403	0.000702213	0.00257836	0.00258307	0.00588147	0.00776088	0.01662	0.053791	0.0544863	0.148381	0.114301	0.590267
b	0.000813854	0.00373033	0.0200658	0.0087445	0.0101364	0.0127959	0.0203473	0.0144519	0.0194252	0.0613908	0.08045	0.170178	0.293127	0.284343
á	0.000258674	0.000444648	0.000954975	0.000797093	0.00316833	0.0116351	0.0149562	0.0167173	0.038884	0.0327483	0.185467	0.30748	0.27001	0.116479
a	0.000412215	0.000264174	0.000402344	0.000252837	0.0012497	0.001774	0.00455653	0.00864572	0.0142913	0.0363781	0.0608299	0.278879	0.126841	0.465223
</S>	0.000162455	0.000435349	0.00356463	0.00145491	0.00221765	0.00298382	0.00658367	0.00519721	0.00816278	0.0233088	0.0387173	0.0735261	0.0818237	0.751862
