 	attends-moi	j'	arrive	</S>
k	0.902639	0.095023	0.000668128	0.00166966
o	0.987959	0.0114045	0.000353212	0.000283293
n	0.752967	0.0413894	0.0754958	0.130148
g	0.295408	0.513102	0.119506	0.0719844
á	0.374131	0.567827	0.0320743	0.0259679
á	0.160269	0.476328	0.24843	0.114973
n	0.0187319	0.319608	0.489814	0.171846
g	0.00194152	0.941922	0.029842	0.0262942
á	0.0424429	0.83003	0.110877	0.0166502
é	0.0413922	0.129328	0.51763	0.311649
e	0.00788044	0.033351	0.753224	0.205544
w	0.0167629	0.00937261	0.599253	0.374612
ú	0.0118084	0.0100957	0.699918	0.278178
u	0.0187218	0.00888812	0.263423	0.708967
l	0.0222329	0.00612332	0.303334	0.668309
í	0.0140915	0.0145836	0.403246	0.568079
i	0.00862452	0.0236685	0.304194	0.663513
y	0.0427397	0.012964	0.473491	0.470805
a	0.0127729	0.00713562	0.208162	0.771929
a	0.0130317	0.00440839	0.132863	0.849697
</S>	0.00381555	0.0132614	0.176705	0.806219
