 	je	lui	ai	donné	une	poulette	</S>
n	0.841294	0.126779	0.0292799	0.00159179	0.000693227	0.000215536	0.000147446
g	0.961836	0.0335505	0.00313545	0.000692716	0.000620585	0.000108819	5.61779e-05
á	0.932741	0.0412925	0.0218249	0.00243539	0.00152376	0.000139569	4.29885e-05
í	0.0946519	0.344119	0.266402	0.0892174	0.0502405	0.017476	0.137893
p	0.0573064	0.0690975	0.347748	0.462949	0.0429927	0.00774507	0.0121612
ε	0.00500795	0.0198213	0.236255	0.570505	0.0276043	0.0691695	0.0716366
e	0.239065	0.186991	0.161129	0.195124	0.164538	0.00833491	0.0448166
w	0.0554511	0.329824	0.276383	0.182256	0.126389	0.0049879	0.0247088
a	0.0348511	0.252591	0.169237	0.310589	0.146939	0.0431664	0.0426262
o	0.0320258	0.423963	0.205678	0.0973919	0.169782	0.0242227	0.0469366
t	0.00203238	0.00537847	0.0705297	0.375491	0.380771	0.138779	0.027018
u	0.000302292	0.00266395	0.0399931	0.413689	0.135456	0.338217	0.0696792
m	0.000614388	0.00353273	0.0182398	0.24136	0.22776	0.113127	0.395367
b	0.00238731	0.00849191	0.0163071	0.0930133	0.40605	0.234418	0.239333
á	0.00639431	0.00899719	0.0140473	0.0454898	0.183601	0.221873	0.519598
m	0.00304358	0.0480157	0.0319029	0.0674708	0.130283	0.507264	0.212021
á	0.00109945	0.0110451	0.00732969	0.00788493	0.105305	0.682616	0.18472
t	0.00568698	0.0237026	0.0114386	0.00990801	0.0585571	0.674464	0.216243
s	0.00207631	0.00264138	0.00449442	0.0111082	0.0419396	0.813953	0.123787
ó	2.92706e-05	0.000175106	0.000554528	0.0095029	0.0148939	0.940112	0.0347323
s	0.000114932	0.00100977	0.00151137	0.0104565	0.0142691	0.745758	0.226881
ó	0.000200459	0.00110637	0.00116047	0.0143038	0.0930508	0.471311	0.418867
</S>	0.00145047	0.0073102	0.00629518	0.0068786	0.0629876	0.0257795	0.889298
