 	déballe	la	natte	pour	que	le	malade	puisse	se	coucher	</S>
m	0.716627	0.0816616	0.0545511	0.0210006	0.01316	0.0222742	0.0414468	0.0197616	0.027499	0.0017144	0.000303702
ó	0.259396	0.257702	0.130622	0.141108	0.0415633	0.0291447	0.0113633	0.0174033	0.0295117	0.00770178	0.074484
l	0.952865	0.00883554	0.023081	0.00153291	0.000857736	0.000727256	0.00608814	0.000545505	0.000382408	0.00421666	0.000867778
a	0.707948	0.0547757	0.0665324	0.017331	0.0183752	0.0134875	0.0179121	0.0336953	0.0182898	0.017268	0.034385
a	0.316532	0.195625	0.154596	0.037827	0.0455541	0.0467571	0.0447855	0.0389146	0.0480964	0.0164176	0.054895
l	0.022427	0.487463	0.151362	0.0776517	0.0520797	0.0240021	0.00488275	0.0460958	0.046311	0.00332817	0.0843965
á	0.0225794	0.329691	0.166655	0.107617	0.0703661	0.0347082	0.0077096	0.0214652	0.0292303	0.010095	0.199884
i	0.00381883	0.209531	0.40677	0.150636	0.0657339	0.043718	0.0206918	0.0144143	0.0348551	0.00548176	0.0443491
t	0.0651898	0.157886	0.297954	0.149997	0.105885	0.0162139	0.0527288	0.0137339	0.00585111	0.098082	0.0364767
ω	0.00594838	0.0709504	0.36763	0.108933	0.0940275	0.0213177	0.114228	0.0263073	0.00486193	0.132478	0.0533183
ώ	0.00689864	0.108052	0.255542	0.147452	0.125054	0.0494683	0.19514	0.040153	0.01152	0.0129315	0.0477878
b	0.00027122	0.0562837	0.0589641	0.288266	0.250722	0.185724	0.0592769	0.0527853	0.0367667	0.000952857	0.0099878
a	0.000339969	0.0150913	0.102396	0.139536	0.194874	0.109585	0.17222	0.173119	0.0428719	0.00838339	0.0415834
á	0.000125407	0.0075427	0.0654431	0.127572	0.177505	0.119388	0.185769	0.121138	0.0257198	0.0109882	0.158809
o	0.000677079	0.0119082	0.00458926	0.0687331	0.160165	0.160794	0.0842123	0.280693	0.181428	0.0071575	0.0396433
k	0.00846982	0.00782971	0.00622997	0.0156326	0.0266048	0.0222565	0.108758	0.0573143	0.02204	0.707236	0.0176284
ω	0.0057091	0.00424017	0.00749181	0.0135202	0.0369842	0.0403573	0.275091	0.0890022	0.0314099	0.452691	0.0435031
n	0.000517913	0.00157356	0.0127956	0.00984776	0.0201775	0.0124186	0.74011	0.0807699	0.0171027	0.063174	0.0415124
í	0.00204722	0.00450271	0.0226912	0.0343562	0.0503032	0.0377595	0.497583	0.0730735	0.0306431	0.120507	0.126533
ó	0.000124477	0.00567561	0.00262078	0.0271012	0.0465631	0.105682	0.0255182	0.156654	0.42121	0.078304	0.130546
d	0.0055221	0.0153078	0.00757457	0.0343097	0.0573376	0.0487253	0.0188837	0.122133	0.335035	0.277904	0.0772672
z	0.00131402	0.0122967	0.000557206	0.0145917	0.027501	0.0339087	0.00169819	0.0261028	0.114954	0.295262	0.471813
e	0.0010369	0.0112291	0.00107075	0.0240292	0.0306978	0.0696594	0.00199855	0.00784787	0.064586	0.581393	0.206452
e	2.98297e-05	0.00509888	0.00154616	0.0264465	0.0638986	0.13328	0.0515754	0.102565	0.178303	0.127831	0.309426
m	0.000805152	0.0103634	0.00252095	0.0112174	0.0197821	0.0137193	0.0210293	0.0196131	0.103581	0.338646	0.458722
a	0.000391507	0.0350148	0.0061221	0.0770205	0.060658	0.0963932	0.00564037	0.0245538	0.194533	0.150317	0.349356
b	0.000102135	0.00374554	0.00194495	0.0120566	0.0163534	0.0335603	0.0136652	0.0168761	0.0744024	0.197936	0.629358
ω	0.000549355	0.0119974	0.0124118	0.0340609	0.0614942	0.0607777	0.0431849	0.118311	0.190361	0.16301	0.303842
</S>	0.000234453	0.00134363	0.00307423	0.00414025	0.0116174	0.0188964	0.129498	0.0515938	0.0528149	0.400701	0.326086
