 	le	chasseur	a	tué	l'	animal	olwenge	</S>
o	0.886775	0.105263	0.00267763	0.00307127	0.00126326	0.000303811	0.000588887	5.72227e-05
b	0.0784799	0.902264	0.00689521	0.0105938	0.000517857	0.000185773	0.000399579	0.000664324
e	0.703185	0.216931	0.00761175	0.0603876	0.00455288	0.000424238	0.00610341	0.000804175
n	0.294294	0.397886	0.0187092	0.222631	0.0106098	0.00196076	0.00731064	0.0465998
g	0.899716	0.021368	0.0351428	0.00813968	0.0116031	0.0011016	0.0035668	0.0193618
i	0.670506	0.213001	0.0800775	0.0143506	0.00769534	0.00200315	0.00193727	0.0104291
á	0.0424388	0.00492981	0.863096	0.026785	0.0172355	0.0106565	0.00146899	0.0333897
b	0.0043454	0.00228657	0.318998	0.519297	0.0742085	0.0271766	0.00517318	0.0485152
o	0.000621241	0.00503868	0.087932	0.819602	0.0487316	0.00533293	0.00490836	0.0278327
m	0.0362607	0.00181928	0.223244	0.466371	0.199964	0.0225817	0.0128953	0.0368639
i	0.0159105	0.000354057	0.0628376	0.121755	0.253707	0.402203	0.0600559	0.0831763
o	0.0020669	0.000961984	0.0248524	0.0227237	0.171854	0.591374	0.141654	0.0445125
l	0.000354541	0.00126367	0.00218042	0.0783501	0.069711	0.128412	0.552781	0.166947
w	0.000390608	0.000249452	0.00122092	0.0166556	0.0268513	0.0403844	0.832698	0.0815499
e	0.000531844	0.000370152	0.00354871	0.0494532	0.118746	0.0202558	0.706182	0.100912
n	2.18468e-05	1.92111e-05	0.00308576	0.00824334	0.0853418	0.145612	0.26775	0.489926
g	0.000178645	0.00015481	0.00186888	0.00533265	0.0320737	0.0571015	0.414911	0.488379
é	0.00659698	0.00232905	0.00192581	0.00105716	0.0275285	0.0680632	0.676612	0.215887
</S>	0.00111344	0.000123331	0.0107906	0.00228363	0.0401475	0.086294	0.144818	0.714429
