 	la	pirogue	est	fabriquée	à	base	du	bois	rouge	esii	</S>
b	0.411521	0.515673	0.0150819	0.0402196	0.0014457	0.00183067	0.00544735	0.00464654	0.00328241	0.00072592	0.00012584
á	0.139244	0.742995	0.0832165	0.000425303	0.0127371	0.00927304	0.00657341	0.0030438	0.00181622	0.000113726	0.000561741
a	0.0904846	0.883354	0.0142764	0.00482954	0.00110702	0.00452609	0.000564174	0.000594272	6.54281e-05	1.43201e-05	0.000184551
p	0.0352716	0.0200125	0.198995	0.730539	0.00398092	0.00184255	0.000670504	0.000345087	0.000423613	0.000257164	0.007662
á	0.0684534	0.0661575	0.070665	0.592342	0.0323688	0.0187387	0.0765076	0.0397768	0.0159294	0.00572279	0.0133381
á	0.055612	0.120126	0.100988	0.569081	0.0250839	0.0195916	0.0134366	0.00712244	0.00259432	0.00120332	0.0851614
b	0.0161848	0.00401174	0.0948588	0.207239	0.300883	0.259838	0.0660606	0.0173959	0.00666862	0.00516589	0.0216938
v	0.0194715	0.0124566	0.0127802	0.0136469	0.162629	0.393119	0.26276	0.10307	0.0105606	0.00569452	0.00381219
á	0.00409017	0.0122452	0.00128476	0.000146333	0.02906	0.92524	0.0167929	0.0104493	0.00021542	0.000212984	0.000263393
r	0.0174543	0.00608648	0.0351603	0.01368	0.203559	0.443698	0.164751	0.0655753	0.0190162	0.00980886	0.0212104
e	0.0282181	0.0114021	0.0082849	0.00313081	0.123295	0.307122	0.18476	0.215717	0.0351746	0.0141913	0.068704
m	0.00586096	0.00193583	0.0444999	0.00559408	0.249534	0.0536668	0.171316	0.131263	0.130288	0.0739574	0.132084
é	0.0400444	0.0144135	0.0179914	0.000112787	0.196126	0.0922776	0.164386	0.090585	0.101436	0.0825036	0.200123
s	0.0295427	0.0127104	0.00344818	0.000645759	0.00655119	0.00600215	0.0392631	0.102486	0.0661558	0.716464	0.01673
i	0.000803602	0.000176604	2.38151e-05	2.64813e-06	0.000345336	0.000972713	0.00391074	0.00808256	0.0188044	0.938895	0.0279828
i	0.00231982	0.000443198	0.000207872	6.06794e-05	0.00170457	0.00076133	0.00980521	0.0354429	0.0618965	0.704741	0.182617
</S>	0.00277481	0.000807924	0.0198944	0.0024756	0.0117289	0.0023618	0.0068627	0.0238412	0.0651101	0.189434	0.674709
