 	je	ne	suis	pas	encore	chauffeur	mais	un	apprenti	</S>
n	0.444554	0.184189	0.0445936	0.105434	0.102168	0.0761775	0.0357401	0.0069103	0.000134945	9.80016e-05
g	0.970514	0.00608809	0.00780299	0.00535464	0.00529176	0.000615821	0.00359425	0.00036201	0.000366414	9.76556e-06
á	0.911621	0.0244277	0.019791	0.00756976	0.012312	0.00194878	0.0155052	0.00114743	0.00563827	3.84704e-05
i	0.058085	0.224518	0.219675	0.11284	0.0619254	0.0213434	0.0731002	0.0660913	0.0324996	0.129922
s	0.049192	0.384857	0.100341	0.0804939	0.0921205	0.0674967	0.0452453	0.0247188	0.0181926	0.137343
á	0.0458282	0.384791	0.195958	0.0374387	0.034619	0.00241338	0.0199213	0.0371103	0.0863778	0.155542
a	0.0269168	0.252394	0.299741	0.176542	0.0875005	0.0100942	0.0222016	0.0477639	0.0353188	0.0415276
o	0.0298086	0.267238	0.377728	0.233867	0.0392587	0.0181968	0.0106801	0.00952523	0.00616095	0.00753632
d	0.000285862	0.124704	0.323181	0.228793	0.0442867	0.224903	0.0404995	0.0048046	0.00370386	0.00483933
z	0.00423379	0.115868	0.206619	0.201816	0.0786612	0.132528	0.10199	0.0102438	0.00978721	0.138252
e	0.00684523	0.11655	0.261734	0.342642	0.0224545	0.0674042	0.150012	0.00914882	0.00412623	0.0190826
e	0.000860178	0.035638	0.204527	0.324015	0.189364	0.0336012	0.00854692	0.0132532	0.0035116	0.186682
m	0.000205436	0.0379583	0.1849	0.349993	0.277972	0.108656	0.0105089	0.00839332	0.00182268	0.019591
á	0.001081	0.0282149	0.166456	0.436094	0.112395	0.129557	0.0495596	0.0398002	0.00152653	0.0353163
o	0.00512361	0.0210195	0.149775	0.351666	0.252158	0.047478	0.0587068	0.0748073	0.0150763	0.0241896
d	0.000125425	0.00713116	0.0217501	0.0742792	0.21755	0.603514	0.0684567	0.00297836	0.00172956	0.00248498
ú	0.000103895	0.00360759	0.015795	0.0717808	0.13073	0.610967	0.124955	0.00335357	0.0038703	0.0348368
u	0.00253393	0.0170366	0.0654635	0.130178	0.327247	0.286869	0.153347	0.0050717	0.00298687	0.00926638
o	8.65727e-05	0.00806217	0.0602943	0.124049	0.307766	0.289261	0.121214	0.0442177	0.00838523	0.0366634
t	0.000587426	0.0140101	0.030615	0.0600818	0.171954	0.192264	0.429179	0.0677706	0.0226455	0.0108925
ω	8.49674e-05	0.00758304	0.0243198	0.0499586	0.11592	0.358921	0.266181	0.0761246	0.00967767	0.0912286
m	4.80637e-05	0.0047135	0.0447859	0.0611265	0.149477	0.335914	0.221223	0.0616952	0.00969891	0.111319
b	0.00013213	0.00157599	0.00794782	0.0271972	0.0127353	0.220243	0.362898	0.333925	0.00792121	0.0254244
í	0.000422642	0.00283858	0.0341953	0.0683154	0.0492279	0.302116	0.272794	0.176857	0.00462673	0.0886065
l	0.000357746	0.00493294	0.0145086	0.0500051	0.113281	0.185238	0.274625	0.260158	0.0055128	0.0913816
i	0.00416271	0.00948643	0.0331445	0.0405519	0.140264	0.0788322	0.221844	0.127603	0.0473205	0.296791
k	0.00187605	0.00401689	0.0105297	0.0240747	0.0498713	0.0100999	0.158956	0.49433	0.0954791	0.150766
a	0.00121058	0.00548894	0.013356	0.0242473	0.117603	0.0439954	0.150584	0.463622	0.030698	0.149194
á	0.000424727	0.00109237	0.00460053	0.0176341	0.0762732	0.0715848	0.0827128	0.283768	0.0339643	0.427945
n	0.000951615	0.00420183	0.00789802	0.0116502	0.020613	0.00328697	0.032028	0.324607	0.339291	0.255473
d	0.0225406	0.00376663	0.0150147	0.00476058	0.00543601	0.00043979	0.0455584	0.116527	0.672596	0.11336
z	0.00152734	0.000418082	0.00189112	0.000649895	0.00117435	0.00136734	0.129655	0.0426947	0.768842	0.0517807
á	5.26891e-05	0.00020591	0.00310592	0.00281721	0.00256762	0.00756155	0.542038	0.085996	0.300326	0.0553292
á	5.25112e-05	0.000598785	0.00472738	0.0106635	0.0299919	0.015127	0.0473492	0.0610837	0.0796479	0.750758
i	0.000421206	0.00237122	0.00409525	0.00925408	0.0250007	0.00295231	0.0472213	0.301518	0.314186	0.29298
s	0.000832888	0.00849746	0.0114419	0.0105348	0.0277375	0.01712	0.0411205	0.194781	0.423605	0.264329
á	6.58366e-05	0.00115701	0.00313732	0.0016707	0.00467448	0.000430607	0.00500416	0.0394257	0.630333	0.314101
a	0.000119783	0.00091144	0.0025482	0.00269875	0.020158	0.0012798	0.012406	0.0970524	0.239097	0.623729
o	0.000712797	0.00147855	0.00332696	0.00621102	0.00615898	0.00207673	0.028767	0.271336	0.263953	0.41598
y	4.41914e-05	0.00612985	0.0105643	0.00907697	0.0352134	0.013473	0.040438	0.0729576	0.611506	0.200597
é	5.22744e-06	0.00067777	0.00332919	0.00147918	0.00345566	0.00104337	0.0248979	0.0784033	0.499585	0.387124
i	1.55836e-05	0.000699379	0.00258426	0.00199532	0.0108293	0.0005594	0.0101743	0.0898809	0.158269	0.724992
</S>	0.000150862	0.000982904	0.00170061	0.00238999	0.00512225	0.00055908	0.0072108	0.0794089	0.15704	0.745435
