 	nous	faisons	la	cuisine	avec	le	sel	indigène	</S>
b	0.930028	0.0237227	0.0082336	0.00881206	0.0120719	0.0149326	0.000533993	0.00153584	0.000129454
í	0.952145	0.0136019	0.00954408	0.00488721	0.00435683	0.00954408	0.00245173	0.00320045	0.000269013
s	0.979804	0.0114975	0.00249836	0.00100531	0.00113261	0.00171596	0.000886767	0.000158288	0.00130159
í	0.857815	0.0533662	0.0183628	0.00299095	0.00911564	0.0219816	0.00244379	0.0236703	0.0102534
l	0.0849731	0.164242	0.0595544	0.0279044	0.0489134	0.0374147	0.0160153	0.0115018	0.549481
é	0.0144663	0.252308	0.150068	0.0262799	0.0968971	0.0442557	0.0252289	0.0179601	0.372535
e	0.0232895	0.869099	0.0821519	0.00508998	0.0057386	0.00447718	0.00183778	0.0012522	0.00706402
l	0.00135895	0.648485	0.24997	0.0535059	0.00652494	0.00150187	0.00783537	0.000381254	0.0304366
á	0.00440169	0.583468	0.313758	0.066016	0.00680921	0.00143961	0.0108501	0.0010494	0.0122078
m	0.0257436	0.441624	0.391515	0.0561579	0.0204791	0.00992774	0.00171408	0.00235999	0.0504788
b	0.00306156	0.24155	0.500361	0.159433	0.0534563	0.0101414	0.00384652	0.000642055	0.0275082
á	0.00696718	0.137894	0.374493	0.185864	0.169713	0.0526605	0.0198641	0.00389721	0.0486464
b	0.0119575	0.0371874	0.200686	0.279305	0.186634	0.216851	0.0365485	0.00786651	0.0229644
e	0.143023	0.00786432	0.129095	0.392664	0.154247	0.0360921	0.115167	0.0201068	0.00174065
a	0.0295623	0.0175477	0.120868	0.182637	0.281088	0.111737	0.186379	0.0295415	0.04064
m	0.000495226	0.00418879	0.100185	0.127085	0.427996	0.298503	0.0266013	0.00331694	0.011628
ó	0.00113464	0.0042809	0.0535843	0.0528504	0.291818	0.151009	0.0301173	0.0156239	0.399582
k	0.00312791	0.00676862	0.0459754	0.0699838	0.18108	0.139932	0.382403	0.149179	0.0215512
w	0.000966803	0.00132177	0.0171464	0.119916	0.123732	0.0200744	0.656049	0.0534507	0.00734373
á	0.00614334	0.00410559	0.0136003	0.0597631	0.0871554	0.0429541	0.53376	0.236593	0.0159244
m	0.00752726	0.00714363	0.0179928	0.0437247	0.14063	0.0986042	0.425404	0.0901047	0.168868
í	0.00276554	0.00131937	0.0162442	0.0140638	0.203427	0.301373	0.0904538	0.0802321	0.290122
b	0.000962666	0.00215022	0.0221055	0.0245463	0.142347	0.191316	0.0814776	0.162089	0.373005
v	0.0100993	0.00148934	0.0365685	0.047322	0.207263	0.0958122	0.191382	0.168121	0.241943
u	0.00293483	0.000637858	0.00973706	0.0249187	0.0510568	0.0553252	0.0956701	0.731454	0.0282657
n	0.00102987	0.00050456	0.00643288	0.0786438	0.0931151	0.0768409	0.0809667	0.40872	0.253746
a	0.00726111	0.00387508	0.0133022	0.0462467	0.117888	0.23734	0.129298	0.159311	0.285477
</S>	0.000195077	0.000934354	0.00664281	0.00837719	0.0465836	0.0539819	0.00730418	0.0658791	0.810102
