 	qui	a	rêvé	da	papa	aujourd'	hui	</S>
o	0.519402	0.229511	0.0481416	0.142136	0.0261382	0.021647	0.0113192	0.00170491
l	0.0309125	0.0678245	0.710875	0.0465295	0.134239	0.00620835	0.00039277	0.00301862
ώ	0.00265122	0.00858383	0.971101	0.00157864	0.0118088	0.000667115	8.16519e-06	0.0036012
r	0.00169664	0.0115606	0.966327	0.00475248	0.0127804	0.000855231	2.84226e-05	0.00199927
i	0.0270232	0.0226453	0.669088	0.178118	0.0624856	0.0216678	0.000114571	0.0188568
d	0.0928049	0.109071	0.0631533	0.533993	0.10346	0.078884	0.00173467	0.0168996
a	0.00173083	0.00597961	0.0774886	0.343944	0.50322	0.0339429	0.000118726	0.0335752
a	0.000475432	0.00183481	0.00090878	0.0460973	0.90966	0.0121491	0.000106918	0.0287681
d	0.0125904	0.0510627	0.0361626	0.264835	0.312318	0.217805	0.0279452	0.0772808
á	0.0201188	0.00298258	0.00186177	0.434022	0.359992	0.0151053	0.000846386	0.165072
p	0.00470371	0.00310699	0.000970707	0.304232	0.333795	0.237935	0.00806407	0.107193
á	0.00107517	0.00281659	0.00427134	0.0217664	0.251812	0.0762018	0.570975	0.0710817
b	8.3271e-05	0.000270314	0.00132055	0.00459496	0.0822193	0.0237404	0.860194	0.0275768
h	0.000369794	0.00137634	0.00631104	0.00843696	0.00655253	0.0580008	0.553535	0.365418
a	0.0018464	0.00204271	0.00916895	0.0168689	0.0243009	0.136606	0.569451	0.239716
é	0.00295518	0.00677867	0.0176075	0.021773	0.0112537	0.148635	0.0609659	0.730031
d	0.0317136	0.152487	0.108319	0.0558712	0.0792894	0.141038	0.0157551	0.415527
i	0.00940354	0.0100069	0.0118198	0.0424268	0.0527722	0.00828352	0.000548363	0.864739
n	0.0147986	0.0100555	0.00623604	0.235949	0.0323533	0.107307	0.00927535	0.584025
d	0.00382171	0.00426148	0.00535249	0.0404896	0.0114894	0.0117439	0.000531647	0.92231
a	0.0108402	0.00295807	0.007163	0.0489456	0.0195033	0.0241919	0.00200305	0.884395
</S>	0.00042846	0.000406687	0.00649822	0.00581099	0.00283666	0.0280511	0.000558621	0.955409
