 	notre	maman	a	apporté	des	champignons	alelendi	</S>
n	0.68995	0.278769	0.0174334	0.00144121	0.00348443	0.00369028	0.00473753	0.000493669
g	0.139683	0.856255	0.00297043	0.000213788	0.000739331	9.31319e-05	4.05519e-05	4.88862e-06
ó	0.0287337	0.97013	0.000487808	0.000108919	0.000226079	7.91047e-05	0.000226181	8.27557e-06
o	0.0813886	0.896092	0.00415124	0.0084416	0.0030173	0.00212305	0.00338955	0.00139683
y	0.390001	0.0551555	0.484385	0.0301643	0.0108047	0.00279887	0.00293729	0.0237536
a	0.975337	0.00973301	0.0104846	0.00237222	0.000806259	0.000300403	0.000403834	0.000562559
b	0.92796	0.00303471	0.0583994	0.00689875	0.00108891	0.000164911	0.000255696	0.00219796
í	0.957727	0.0136493	0.0218407	0.000913174	0.00113254	0.000836756	0.002808	0.00109228
s	0.981314	0.00341585	0.0131905	0.00052099	0.000507402	0.00019716	0.000163023	0.000690889
í	0.636799	0.0861286	0.131783	0.0242593	0.0156726	0.002482	0.00609489	0.0967807
á	0.0295829	0.00656595	0.607928	0.298742	0.031152	0.0109352	0.00500319	0.0100901
m	0.000807134	0.00632931	0.0841602	0.861539	0.0212531	0.0114842	0.00236444	0.0120627
i	0.00480396	0.000666502	0.293575	0.312811	0.254419	0.0988472	0.00176245	0.0331153
y	0.00117147	0.0010805	0.0323165	0.821591	0.0674885	0.0621601	0.00326792	0.0109236
a	0.000226422	0.000281206	0.00505959	0.931922	0.029176	0.0235049	0.00209087	0.00773878
á	0.00106734	0.000237441	0.0448707	0.547172	0.1888	0.126919	0.00832685	0.0826072
l	0.00232055	0.000303474	0.129825	0.23471	0.460837	0.132068	0.0173404	0.0225964
a	0.00410435	0.000155171	0.0116208	0.196356	0.311492	0.1923	0.116409	0.167561
l	0.00355517	0.000569113	0.0577075	0.0417017	0.338302	0.225302	0.229517	0.103346
ε	0.00464535	7.3896e-05	0.00321511	0.0998744	0.191184	0.215205	0.420622	0.06518
l	0.000207579	2.3547e-05	0.00373012	0.020369	0.155236	0.365084	0.304256	0.151095
ε	0.000437207	4.49811e-05	0.00281694	0.0258896	0.0936372	0.189781	0.533477	0.153915
n	0.000283245	8.01842e-06	0.000944868	0.00474592	0.0308599	0.111378	0.666302	0.185479
d	0.000268254	3.23936e-05	0.000544197	0.00462105	0.0417727	0.0740865	0.730066	0.148609
i	0.000211357	3.76458e-05	0.000232661	0.000828245	0.0122968	0.0268791	0.767767	0.191747
</S>	6.48822e-05	1.74579e-05	0.00100496	0.0040089	0.0283947	0.0291268	0.380308	0.557074
