 	la	manière	dont	cet	homme	est	assailli	il	doit	être	un	voleur	ou	un	sorcier	</S>
e	0.115729	0.0731837	0.167026	0.0159933	0.0507375	0.275756	0.133855	0.0211642	0.0280934	0.00756649	0.0164901	0.0045981	0.0126756	0.01155	0.015461	0.0501206
k	0.00118888	0.00125132	0.00650165	0.00358164	0.101368	0.378105	0.501551	0.00113804	0.00135339	7.40023e-05	0.00130076	0.000340139	3.5393e-05	0.000138253	0.00174843	0.000324074
o	0.00190499	0.000263165	0.000349964	8.58813e-05	0.00864191	0.0543172	0.89535	0.00385041	0.0132513	0.000598066	0.00383204	0.00376238	0.000794434	0.000457237	0.0119667	0.000573792
n	8.24473e-05	7.06294e-05	0.00143279	0.000196356	0.00414052	0.018356	0.961796	0.00170536	0.00626565	0.00016979	0.00368288	0.000307298	0.000118395	0.000289897	0.00127249	0.00011358
y	0.0265404	0.00757034	0.00772319	0.00290991	0.0167906	0.139831	0.696496	0.0168306	0.0197962	0.00200198	0.025744	0.00238544	0.00180282	0.00284158	0.0180472	0.0126887
í	0.188244	0.0336952	0.0207293	0.00360189	0.00287267	0.0147078	0.347671	0.055871	0.038473	0.0130683	0.056241	0.0272061	0.0290792	0.0101266	0.00976643	0.148647
í	0.0807459	0.0812316	0.119385	0.127638	0.0359578	0.0295803	0.0125143	0.102275	0.0470235	0.112925	0.0137055	0.0024117	0.0145742	0.0235328	0.00411312	0.192386
l	0.0740609	0.0289678	0.0450338	0.0174119	0.0397728	0.130491	0.27392	0.180557	0.0630712	0.0288219	0.0175167	0.0107112	0.00731011	0.0134731	0.0065032	0.0623774
í	0.0612022	0.0748526	0.129636	0.0703457	0.165058	0.138391	0.029089	0.0378862	0.0109349	0.021169	0.010213	0.00262254	0.00941548	0.0141871	0.00371235	0.221285
y	0.0429272	0.178364	0.201613	0.162162	0.0882977	0.0649322	0.0785437	0.0177488	0.0103194	0.00607854	0.00532512	0.00200231	0.00716773	0.0178704	0.00334135	0.113307
é	0.0311795	0.133716	0.465617	0.296427	0.019378	0.0149805	0.00125502	0.00875743	0.0027023	0.00202517	0.000931487	0.000330447	0.00331638	0.00201803	0.00173091	0.0156351
é	0.113833	0.107221	0.269702	0.194202	0.0139996	0.03959	0.0249236	0.0342423	0.0215624	0.00403458	0.00428667	0.00086628	0.00941218	0.0125432	0.00786302	0.141718
k	0.0251959	0.013636	0.017828	0.0410167	0.0904408	0.18806	0.357843	0.0960632	0.106952	0.0079716	0.00834379	0.00156545	0.002364	0.00491333	0.0196384	0.0181676
ó	0.000795672	0.000361052	0.00109397	0.000923023	0.00533806	0.0474718	0.826811	0.0489993	0.047112	0.00669208	0.00518745	0.00100695	0.000949597	0.000918747	0.00134242	0.00499716
n	0.00032178	0.000146729	0.00180502	0.00143844	0.00391212	0.0388468	0.843628	0.0392571	0.0555716	0.00463462	0.00413492	0.000448949	0.000386922	0.000964417	0.0016443	0.00285797
y	0.00313693	0.00161417	0.0161582	0.0177843	0.00741995	0.0838799	0.607977	0.124444	0.0794985	0.0154869	0.00837326	0.00170608	0.00506292	0.00490684	0.00131896	0.0212322
á	0.0890575	0.0223275	0.102187	0.0526392	0.0105662	0.0292258	0.221806	0.21393	0.109784	0.0229133	0.0143455	0.00994864	0.0410259	0.014945	0.00281657	0.0424821
á	0.00378539	0.00839555	0.0219185	0.294677	0.0669315	0.0605209	0.0329075	0.293905	0.0931522	0.0557737	0.0119244	0.0289313	0.0103041	0.00843585	0.000410316	0.0080267
b	0.00238224	0.00447294	0.00802226	0.028988	0.0484853	0.120112	0.0448496	0.235838	0.251814	0.121145	0.0450764	0.0437612	0.00863664	0.0125514	0.00400463	0.0198603
á	0.000831555	0.00042114	0.000331002	0.00172147	0.0315307	0.0678478	0.0313861	0.167388	0.42795	0.214128	0.0253019	0.0141326	0.00635335	0.00615068	0.000458623	0.00406737
a	0.000580368	0.00115979	0.00112739	0.00454596	0.0259905	0.0886347	0.0150868	0.154259	0.289094	0.30164	0.0243737	0.0243099	0.00678696	0.00862659	0.00279128	0.0509925
m	0.00478023	0.00432874	0.0065857	0.0321991	0.0223371	0.0250127	0.00341746	0.124248	0.0918313	0.410959	0.139179	0.0709941	0.0347653	0.0191747	0.000739622	0.00944749
o	0.00857211	0.0222282	0.00845465	0.0711526	0.0384472	0.00583376	0.000572559	0.04319	0.0434423	0.207643	0.193763	0.266083	0.0419369	0.0199362	0.00152908	0.0272149
r	0.00681726	0.00467412	0.0050289	0.00915428	0.0175779	0.0065177	0.00204253	0.0320736	0.101107	0.0660441	0.625766	0.0410583	0.0302342	0.0233676	0.0150499	0.0134866
o	0.10254	0.0667488	0.075002	0.0310023	0.00259643	0.00977205	0.00184992	0.0192589	0.0587417	0.0388081	0.303807	0.0246984	0.151035	0.039137	0.0214936	0.0535079
w	0.00381415	0.00705124	0.0305098	0.0660509	0.00359308	0.00530217	0.000373592	0.036014	0.105372	0.143225	0.258489	0.0149756	0.199602	0.077762	0.016611	0.0312541
ó	0.0050981	0.00380699	0.00980477	0.0169694	0.00737196	0.032793	0.0153069	0.0908704	0.19415	0.182919	0.250629	0.0235556	0.106533	0.0397149	0.00497165	0.0155052
a	0.00281866	0.00206729	0.00342661	0.00357156	0.00106629	0.00165064	0.00154507	0.013369	0.0307777	0.114798	0.30722	0.0263087	0.224859	0.13283	0.0418201	0.0918723
d	0.00184267	0.00134251	0.0017206	0.00152828	0.00280638	0.0144539	0.0130376	0.011471	0.0154706	0.0506872	0.335802	0.078896	0.110011	0.2449	0.0422183	0.0738113
i	0.00178771	0.00401396	0.00254821	0.00318801	0.00744838	0.0437754	0.000321021	0.00508693	0.00411998	0.0302841	0.241589	0.118701	0.105761	0.126275	0.0646852	0.240415
m	0.00203353	0.00302407	0.00118521	0.00175822	0.00118992	0.00420656	0.000210914	0.00369172	0.00454064	0.0211001	0.340433	0.282736	0.0910217	0.154491	0.0398201	0.0485582
ú	0.00288417	0.00228087	0.000439962	0.000964542	0.00224051	0.00147812	0.00019904	0.00582139	0.00574573	0.0415402	0.274035	0.361984	0.115301	0.081419	0.0131896	0.0904774
b	0.000474926	0.000248017	0.000170253	0.000143205	0.00172527	0.000568986	0.000218349	0.0012191	0.00183774	0.00278992	0.23487	0.272355	0.0694077	0.215007	0.131873	0.0670918
h	0.00164581	0.00558261	0.00288127	0.00296909	0.00386648	0.00564081	0.000992776	0.00902756	0.0167132	0.0206907	0.140973	0.0540291	0.199994	0.205313	0.23986	0.0898202
u	0.00368385	0.00053762	0.000517275	0.000300085	8.51155e-05	0.0009041	0.00327556	0.00419059	0.0139291	0.00615123	0.151598	0.076466	0.182247	0.154486	0.224433	0.177195
w	0.000403347	0.000149589	5.21001e-05	3.47629e-05	3.13722e-05	0.00016888	0.000284528	0.000453314	0.00151043	0.00092039	0.059544	0.0356097	0.0632136	0.261567	0.323472	0.252585
á	0.00726614	0.00144066	0.00115701	0.000980408	0.00142866	0.0049209	0.00418297	0.0128803	0.0277273	0.034415	0.0863051	0.067992	0.274713	0.250375	0.113823	0.110393
á	0.00565386	0.00191927	0.00208185	0.0103625	0.0023736	0.00141988	0.00246998	0.00924827	0.00654469	0.0116672	0.014772	0.0587963	0.110708	0.180618	0.306285	0.27508
k	0.00441314	0.00170935	0.00687793	0.0378952	0.0126131	0.0227896	0.00425545	0.012319	0.0060493	0.0113196	0.0200679	0.0277891	0.0881094	0.296522	0.0743453	0.372924
a	0.000250896	0.000372224	0.000577783	0.00031955	0.00257472	0.010633	0.0155595	0.00618026	0.0113025	0.00699362	0.0214997	0.0148956	0.0456277	0.216556	0.550434	0.0962228
á	0.000187214	0.00107109	0.00127675	0.00235396	0.00244608	0.00317526	0.00444152	0.00293526	0.00499291	0.0105354	0.0109939	0.0303808	0.0396291	0.0677372	0.258407	0.559436
n	0.00211648	0.00086789	0.00156048	0.00544681	0.00403916	0.00224696	0.00018879	0.0031735	0.00155811	0.00880427	0.00608372	0.00810757	0.0412573	0.12199	0.0562279	0.736331
d	0.0412373	0.0370291	0.0145417	0.0113185	0.00141985	0.00480077	0.000178152	0.00233059	0.00278768	0.00274205	0.00391384	0.000709042	0.0354099	0.157342	0.0814927	0.602747
z	0.00399732	0.00922377	0.0120315	0.00661719	0.000424582	0.00171737	0.000426602	0.000916147	0.00187837	0.00118676	0.00321007	0.000579335	0.0360123	0.0443956	0.190026	0.687357
i	0.00637551	0.0022061	0.000491975	0.000151726	7.60589e-05	0.000585027	0.000152395	0.000524326	0.00145472	0.000751173	0.0138865	0.0108741	0.0449449	0.0295441	0.390798	0.497183
m	0.000605672	0.000204438	0.000107128	0.000122958	3.50925e-05	0.000157049	0.000192151	0.000499089	0.00295296	0.000462694	0.013595	0.00396124	0.0102992	0.0151607	0.484127	0.467518
b	0.0438185	0.00540188	0.000352115	0.00013158	0.000137096	0.000204442	0.000102777	0.00054782	0.00122028	0.00172083	0.050698	0.015886	0.0376225	0.063763	0.170723	0.60767
á	0.0630505	0.0250868	0.0043468	0.00108712	0.000448858	0.00120367	0.00081697	0.00197894	0.00434155	0.00288069	0.0314678	0.0164156	0.0847689	0.0570206	0.130522	0.574563
</S>	0.00259597	0.000668351	0.00182994	0.00271792	0.000551798	0.00124205	0.00108102	0.00425001	0.00316904	0.00603409	0.0195698	0.0108966	0.0770735	0.218098	0.0540293	0.596192
