 	il	n'	a	pas	cuit	le	boisson	à	la	braise	il	en	a	fait	un	bouillon	</S>
w	0.442598	0.061062	0.0244429	0.0551468	0.0692858	0.0842887	0.0359636	0.0408538	0.126844	0.0392238	0.00543062	0.00419545	0.00498523	0.00132246	0.00416236	6.83288e-05	0.000125889
a	0.335173	0.23415	0.0301945	0.0632458	0.0603345	0.0487688	0.0713148	0.0616426	0.0796966	0.00466181	0.00271187	0.00237937	0.00228364	0.000401761	0.00287567	2.97155e-05	0.000135797
á	0.0637853	0.165559	0.113351	0.0684771	0.0835405	0.179845	0.0651186	0.0956249	0.0950244	0.00737705	0.0161853	0.0211761	0.0134733	0.00432751	0.0060928	0.00018359	0.000858289
d	0.0275798	0.175509	0.154834	0.0674915	0.164318	0.0461984	0.0804204	0.0606023	0.0274178	0.00612713	0.00651395	0.0145871	0.0320364	0.045328	0.0238195	0.00887737	0.0583397
z	0.00391544	0.134723	0.0781132	0.049315	0.165791	0.021263	0.159127	0.0930333	0.0219553	0.00374722	0.00423529	0.0119675	0.0152426	0.0322641	0.0097226	0.00289935	0.192685
e	0.00717306	0.0315879	0.036986	0.0209683	0.0281421	0.0444845	0.720692	0.0380125	0.0567121	0.00479755	0.0026594	0.00257444	0.00112367	0.000774268	0.0003651	0.000575908	0.00237147
a	0.0042656	0.0436082	0.163263	0.125995	0.113125	0.108028	0.0759708	0.0376253	0.0446489	0.00483633	0.0119322	0.0264888	0.0239834	0.0173759	0.0273616	0.015026	0.156467
s	0.00823695	0.0308391	0.0575177	0.0698418	0.105838	0.0842392	0.180493	0.166789	0.132296	0.0802604	0.0123612	0.00904695	0.0103605	0.0214696	0.0101623	0.00665442	0.0135938
w	0.00054514	0.0100504	0.00945894	0.0104568	0.0228495	0.0256386	0.735987	0.0777595	0.0527702	0.00901855	0.00190568	0.00585945	0.00252669	0.00762447	0.00584002	0.00121437	0.0204952
é	0.00401897	0.00833307	0.0146298	0.0175311	0.0202976	0.0507958	0.683997	0.0666116	0.0914861	0.0152948	0.00351831	0.00616552	0.00149958	0.00312545	0.00318407	0.00201836	0.00749252
o	0.011734	0.017354	0.0708799	0.0732036	0.0766422	0.142102	0.0671683	0.181873	0.205106	0.039595	0.0286774	0.0173781	0.007681	0.00821994	0.0148035	0.00263875	0.0349429
t	0.00104525	0.00279754	0.00487125	0.0127662	0.0346993	0.024826	0.0518199	0.167621	0.111811	0.509141	0.0224994	0.00761883	0.00432764	0.0201104	0.00300776	0.0114288	0.00960876
u	0.000467092	0.00292917	0.00505025	0.0229019	0.0717619	0.0359493	0.0461249	0.0996348	0.0733437	0.461064	0.0164005	0.0151587	0.00629409	0.0466833	0.00326363	0.0240146	0.0689576
m	0.000144103	0.000949457	0.00731387	0.0560801	0.0523447	0.117687	0.0184233	0.0744085	0.133497	0.285863	0.00796983	0.0134945	0.00536955	0.0330914	0.00833817	0.0160368	0.168988
b	0.00807306	0.00185893	0.0115859	0.0356316	0.0197742	0.0591771	0.00421918	0.0344555	0.211575	0.52065	0.0427328	0.0265793	0.0073188	0.00293444	0.00839323	0.000455579	0.00458568
a	0.0105083	0.00301362	0.0206619	0.122354	0.114714	0.109275	0.0130974	0.123639	0.115676	0.247965	0.0342699	0.0181443	0.00543142	0.00707055	0.00514174	0.00111375	0.0479234
k	0.00193528	0.00215438	0.0372552	0.0267913	0.0328725	0.0566389	0.00621906	0.0737491	0.0583442	0.0163601	0.280183	0.22086	0.114716	0.0292824	0.0243425	0.00185301	0.0164432
a	0.00443988	0.00466589	0.00810843	0.0706576	0.105595	0.0551849	0.00474486	0.0762614	0.045924	0.114636	0.129448	0.0985462	0.111039	0.0781927	0.0144087	0.0374299	0.0407176
á	0.000327753	0.00114575	0.00360002	0.0198025	0.0348961	0.0152654	0.00350724	0.0389725	0.0170504	0.0353175	0.148118	0.119491	0.112532	0.102409	0.0122865	0.0292152	0.306063
