 	les	branches	sont	couvertes	de	bourgeons	</S>
m	0.525589	0.431947	0.0368261	0.000558378	0.00284372	0.00209599	0.000139841
y	0.104594	0.65388	0.116666	0.064103	0.0218916	0.000787707	0.038078
e	0.61308	0.357428	0.0125384	0.0118519	0.00176991	0.000183414	0.00314875
r	0.521932	0.420847	0.0357735	0.00762399	0.00339126	0.00119793	0.00923467
é	0.309629	0.352384	0.133011	0.0435785	0.0997336	0.000978297	0.0606859
i	0.531262	0.225653	0.2014	0.0216355	0.00565371	0.00107854	0.013318
m	0.0893462	0.176891	0.311041	0.217828	0.0608727	0.0410915	0.102929
i	0.0903022	0.19379	0.267827	0.395725	0.0405571	0.00277857	0.00902059
t	0.0405448	0.0869224	0.156755	0.659066	0.0283573	0.00286766	0.0254864
ω	0.0251875	0.0600453	0.0907847	0.774108	0.0152391	0.00426068	0.0303744
ώ	0.0347733	0.0476157	0.128034	0.707976	0.0387262	0.0104303	0.0324441
m	0.0481141	0.023413	0.230522	0.189177	0.386233	0.098189	0.0243515
i	0.0381828	0.0388601	0.0597499	0.430159	0.212746	0.0121656	0.208137
t	0.0189059	0.0117832	0.0428984	0.168728	0.171412	0.480043	0.10623
á	0.0238323	0.0289549	0.0830731	0.24422	0.152589	0.300674	0.166658
b	0.00436812	0.00287142	0.0224404	0.0840603	0.0924982	0.58205	0.211712
h	0.000164634	0.000335955	0.000404606	0.00139769	0.00680636	0.970088	0.0208025
e	0.0026705	0.00552654	0.00311275	0.0101054	0.0253378	0.908636	0.0446107
b	0.00159916	0.00210085	0.0028444	0.00455758	0.0729248	0.636653	0.279321
á	0.0219799	0.0189606	0.011344	0.0106168	0.0864071	0.68634	0.164352
b	0.00941485	0.00263526	0.00433582	0.00333278	0.0381683	0.842606	0.099507
v	0.00794279	0.0130517	0.00314021	0.0015702	0.0309133	0.911004	0.0323778
ú	0.00674433	0.00193096	0.000655931	0.00373037	0.0655686	0.879099	0.0422704
a	0.0113308	0.00273488	0.00338915	0.00557504	0.204076	0.410994	0.3619
</S>	0.0161492	0.00810964	0.0293833	0.0152873	0.349977	0.0384189	0.542675
