 	je	ne	sais	pas	pourquoi	il	me	regarde	avec	tant	de	dédain	</S>
n	0.538438	0.0555957	0.0129347	0.168254	0.132049	0.0531768	0.0256401	0.00523673	0.00285669	0.0014502	0.00285352	0.00079563	0.000719192
g	0.974821	0.00754638	0.000514713	0.00261698	0.00757052	0.00161953	0.0050022	0.00010294	2.55409e-05	7.79136e-05	5.61354e-05	2.74695e-05	1.85889e-05
á	0.940454	0.0221107	0.00293263	0.00236255	0.00833356	0.00313681	0.0174268	0.000923186	0.000560117	0.0014726	0.000222688	4.78223e-05	1.63987e-05
i	0.134228	0.383861	0.0582636	0.0486309	0.0580399	0.0667021	0.0880152	0.0391932	0.0269296	0.0127243	0.0210375	0.00313381	0.0592409
d	0.0352212	0.531588	0.126847	0.0155559	0.00623237	0.0100574	0.0168798	0.0253852	0.0774128	0.0746163	0.0171615	0.0180945	0.0449476
í	0.114747	0.618372	0.0583951	0.0119109	0.0119883	0.0259573	0.0214983	0.0254904	0.0323564	0.040928	0.00463643	0.000994142	0.0327252
o	0.0185702	0.507848	0.141089	0.117951	0.0291563	0.034157	0.00760527	0.0164479	0.0178499	0.0214184	0.0236136	0.0079484	0.0563445
y	0.00111664	0.150386	0.806267	0.0258532	0.0037402	0.00204262	0.000561169	0.000476935	0.00194333	0.00382083	0.000471155	0.00230933	0.00101206
é	0.0121241	0.178653	0.736794	0.0169526	0.0119815	0.00550874	0.00325828	0.00208764	0.00205855	0.0212778	0.000831432	0.00362934	0.00484227
b	0.0122244	0.20953	0.525239	0.0477033	0.0482622	0.0318801	0.0146858	0.00532957	0.00565052	0.0479482	0.00470879	0.00238446	0.0444538
h	0.0125753	0.104915	0.586522	0.178537	0.0538605	0.0139026	0.00776896	0.00652733	0.00831518	0.00872089	0.00161168	0.002875	0.0138679
á	0.00862547	0.0183823	0.240603	0.175972	0.151049	0.0172841	0.01285	0.00302968	0.0104181	0.025047	0.0107666	0.0159048	0.310067
t	0.00816105	0.0319918	0.050763	0.19362	0.331701	0.269966	0.0544046	0.0228378	0.0082317	0.00256838	0.0048186	0.00115176	0.0197846
s	0.00375458	0.0130467	0.0368821	0.270909	0.31284	0.12043	0.0192767	0.129583	0.0225879	0.0056411	0.00225872	0.0106352	0.0521549
í	0.00135283	0.00896315	0.180785	0.239533	0.267449	0.083564	0.0263656	0.0396483	0.0375302	0.0203138	0.00741425	0.0222544	0.0648261
n	0.00684071	0.0101517	0.108679	0.179961	0.309442	0.0703694	0.0501792	0.0248456	0.0129788	0.00729999	0.00184911	0.0153877	0.202016
a	0.00714232	0.00938288	0.0174433	0.0681128	0.338022	0.161008	0.159182	0.0411639	0.00946546	0.0218634	0.00237295	0.00256164	0.16228
y	0.00164425	0.0133467	0.0146188	0.0853422	0.203921	0.262166	0.199072	0.115162	0.0461392	0.024651	0.0116257	0.00158257	0.020727
é	0.00935434	0.0524915	0.0228603	0.0984016	0.333612	0.351359	0.0484933	0.060518	0.00749989	0.00725917	0.00223032	0.000927607	0.00499237
é	0.00276152	0.00696571	0.00820287	0.07153	0.194275	0.264952	0.161481	0.205718	0.0415906	0.0181583	0.00870984	0.00124403	0.0144123
s	0.00161337	0.0499287	0.0638569	0.0256746	0.0150065	0.0263995	0.101586	0.106809	0.329929	0.214815	0.04073	0.0143505	0.00930085
i	0.00070121	0.0205634	0.0400352	0.0112943	0.0156888	0.0231015	0.0926379	0.0472304	0.16138	0.508799	0.0332857	0.0127461	0.0325363
á	9.02043e-05	0.00916279	0.0483946	0.032439	0.0151433	0.0222205	0.0275402	0.0420502	0.178684	0.381696	0.0829283	0.0522274	0.107423
w	0.000934042	0.00257631	0.00236075	0.0129633	0.0372826	0.0774724	0.175106	0.106721	0.15155	0.189661	0.163652	0.0513185	0.028401
a	0.00197203	0.00230035	0.00671596	0.0367183	0.0939204	0.113732	0.195957	0.209998	0.157186	0.0627751	0.0649665	0.014083	0.039676
n	0.000249356	0.00033275	0.000888276	0.0108502	0.0225033	0.0336528	0.0807581	0.206709	0.213726	0.160895	0.139563	0.0727553	0.0571168
g	0.0425017	0.00531394	0.00387771	0.00446407	0.0207645	0.0156746	0.353811	0.0177689	0.0319244	0.452839	0.0204818	0.0026402	0.027938
á	0.00571545	0.00084093	0.0010045	0.00200918	0.0188452	0.00890412	0.411268	0.0298482	0.0394545	0.454689	0.0167304	0.00266872	0.0080218
e	0.000294385	0.000904356	0.000877402	0.00688625	0.00908852	0.0255838	0.0394481	0.0541783	0.133413	0.159276	0.43094	0.0561631	0.0829472
d	0.000116335	0.00661837	0.0123023	0.00364168	0.00094485	0.0013127	0.00220904	0.00291015	0.0449118	0.284558	0.203718	0.40959	0.027167
i	2.41606e-05	0.00267524	0.00823253	0.00239343	0.000955078	0.00105825	0.00233867	0.00185109	0.0198587	0.297125	0.248355	0.263728	0.151405
b	1.26747e-05	0.00124122	0.00377206	0.00243912	0.000680911	0.00117544	0.0023969	0.000876902	0.0140362	0.137218	0.545828	0.155971	0.134352
h	0.000262588	0.0015121	0.00891179	0.0112863	0.00704533	0.00365919	0.0159794	0.00852591	0.0557228	0.204561	0.244623	0.33141	0.106501
