 	mon	enfant	a	perdu	une	dent	</S>
n	0.709342	0.21537	0.0423206	0.0114394	0.0154923	0.00506009	0.000975445
g	0.990263	0.00843658	0.000453451	0.000212689	0.000594585	2.09245e-05	1.86693e-05
á	0.707909	0.285642	0.00204245	0.00139662	0.00135055	0.00156604	9.26616e-05
m	0.300311	0.126743	0.300703	0.0663225	0.0608948	0.0286458	0.11638
w	0.0244151	0.892224	0.0533418	0.0109091	0.00590754	0.000834652	0.0123683
á	0.002668	0.976714	0.0146453	0.00272344	0.000923595	0.00109312	0.00123205
n	0.614454	0.0694566	0.202068	0.0529668	0.0243403	0.0135562	0.0231588
a	0.318898	0.515353	0.0924665	0.0227171	0.00494227	0.000843409	0.0447796
d	0.0660085	0.0323494	0.646279	0.166126	0.0562825	0.00277531	0.0301796
í	0.5326	0.104848	0.139215	0.103315	0.0107192	0.000256631	0.109046
n	0.31983	0.0392017	0.154964	0.185606	0.230314	0.0185141	0.0515697
a	0.293714	0.101467	0.170116	0.203318	0.147236	0.00563868	0.0785108
í	0.00187105	0.000940935	0.277602	0.257895	0.266556	0.0431355	0.151999
m	0.0150468	0.00026145	0.162037	0.311912	0.226879	0.115419	0.168444
i	0.00353078	0.00215657	0.0546473	0.151046	0.303948	0.111331	0.37334
t	0.000212529	0.000342011	0.0141806	0.164601	0.181714	0.414455	0.224495
έ	1.63407e-05	0.000236366	0.0160997	0.0919029	0.0325046	0.754233	0.105007
m	0.000390475	0.000136272	0.0292018	0.159079	0.133236	0.520082	0.157875
ε	0.000520393	0.000165313	0.00411262	0.0297516	0.238342	0.334723	0.392385
</S>	0.00077336	0.00157229	0.0147013	0.0756351	0.346869	0.226821	0.333628
