 	on	l'	avait	initié	à	la	chasse	aux	éléphants	au	pays	ngaé	</S>
á	0.530432	0.407537	0.0453161	0.00123723	0.00464006	0.000389611	0.00182387	0.0044915	0.00172453	0.002165	0.000149232	4.16162e-05	5.30405e-05
k	0.0270171	0.331395	0.500068	0.124305	0.00316082	0.00191387	0.00397219	0.00329141	0.00142908	0.00101511	0.00125522	0.000827737	0.000350218
y	0.00168166	0.00848688	0.0402355	0.881403	0.0304809	0.0076846	0.0166747	0.00200342	0.00169771	0.00207416	0.00158299	0.000456209	0.00553831
é	0.00697196	0.0374476	0.144045	0.770926	0.0206404	0.00429428	0.00351408	0.00282236	0.00170346	0.00405149	0.0014065	0.00101307	0.00116351
n	0.0221549	0.0717738	0.0889636	0.761137	0.0236262	0.00440742	0.00810375	0.00228001	0.000697859	0.00313635	0.00283687	0.000788066	0.0100944
í	0.0508457	0.0873632	0.0520256	0.757572	0.0277819	0.00511725	0.00121641	0.00469589	0.0024291	0.0052199	0.000834043	0.000609424	0.00428979
s	0.076038	0.0593271	0.138384	0.0586574	0.45534	0.0958095	0.0121131	0.0348122	0.0138526	0.024025	0.00988619	0.00305014	0.0187049
á	0.0441447	0.0426803	0.0801077	0.0893297	0.266836	0.156671	0.00547647	0.0566244	0.0758312	0.031212	0.00829806	0.062727	0.0800609
w	0.0220109	0.0132231	0.0472608	0.00350794	0.346248	0.364898	0.0225309	0.0518545	0.0613309	0.0186144	0.0143713	0.0181332	0.0160161
á	0.071032	0.0228555	0.0280348	0.00517016	0.160093	0.24346	0.0272855	0.0579218	0.163775	0.0568269	0.0533993	0.0254768	0.0846694
o	0.0273156	0.00666236	0.0231436	0.000911575	0.192792	0.301293	0.0362349	0.0766278	0.080834	0.0626208	0.0223513	0.0179991	0.151214
k	0.000383013	0.000986201	0.0030307	0.00731014	0.0232664	0.17536	0.696078	0.0346799	0.0313906	0.00802417	0.0131469	0.00124421	0.00509989
i	4.89702e-05	7.05122e-05	0.000320528	0.00994779	0.00270279	0.0257027	0.904765	0.00744746	0.0049134	0.0025095	0.0373511	0.000795616	0.00342446
a	4.38571e-05	0.000141444	0.00159907	0.00746884	0.0111537	0.0827674	0.753357	0.0318422	0.01611	0.0217553	0.0642715	0.00123914	0.00825076
b	0.00105261	0.00105676	0.00337737	0.000297689	0.0151065	0.123874	0.0586421	0.499507	0.0634801	0.172396	0.0492296	0.00315401	0.0088262
á	0.0402709	0.00505621	0.0056071	0.001112	0.027247	0.123706	0.0762389	0.166886	0.0762828	0.253374	0.0794133	0.0190442	0.125762
n	0.0165147	0.00240487	0.00155191	0.000154869	0.00703628	0.0294828	0.0249594	0.144348	0.125657	0.182316	0.238232	0.0910789	0.136263
d	0.00209742	0.00174939	0.00134026	0.000210617	0.00387196	0.0425868	0.00870584	0.246459	0.494186	0.0398128	0.00871277	0.0811862	0.0690815
z	0.000217315	0.00148478	0.000744408	0.000417782	0.00239343	0.0134037	0.00472347	0.0342224	0.706278	0.00966798	0.00295181	0.155812	0.0676822
ω	2.78753e-05	0.000144003	9.09527e-05	0.000752925	0.000698002	0.00858877	0.0068558	0.0246141	0.521776	0.021898	0.0282027	0.329381	0.0569701
i	8.61535e-05	0.000425627	0.00095095	0.00185622	0.0085704	0.019631	0.0264689	0.0447506	0.413662	0.0721868	0.0175076	0.169697	0.224207
ó	0.000245864	0.000229209	0.000778961	0.00013196	0.00321991	0.00615546	0.010795	0.0818626	0.0447214	0.530541	0.0858316	0.041974	0.193513
n	0.00420781	0.00435286	0.00874123	0.0039495	0.0202976	0.0247245	0.0398037	0.0302573	0.0165711	0.150476	0.381087	0.205059	0.110473
g	0.00137577	0.00395474	0.00226676	0.000922303	0.00248088	0.00557049	0.00129912	0.0126818	0.0440072	0.0341302	0.00636517	0.756622	0.128324
a	5.95682e-05	0.00065459	0.000493264	0.000728833	0.000645123	0.00171729	0.000925316	0.00433651	0.219535	0.00955365	0.036353	0.692579	0.0324186
é	4.67212e-05	8.92438e-05	0.000166988	0.000136176	0.00104452	0.00390122	0.00364087	0.0157884	0.0541998	0.0587306	0.113458	0.318719	0.430078
</S>	0.00168551	0.00174446	0.00567081	0.00142731	0.0119358	0.0104923	0.0177114	0.0215457	0.00835222	0.177518	0.167945	0.137305	0.436666
