 	ibhoyi	a	reçu	beaucoup	de	gratifications	lorsqu'	elle	chantait	</S>
i	0.845801	0.0677335	0.0132276	0.0261254	0.0322136	0.0110917	0.0018975	0.00164974	0.000182044	7.79153e-05
k	0.965203	0.0155544	0.00525379	0.0066937	0.00214914	0.00139071	0.00152774	0.000342701	0.00125386	0.000631069
ó	0.923662	0.0272759	0.00985769	0.0133859	0.00903169	0.00340845	0.00489488	0.00289904	0.00377538	0.00180931
n	0.868516	0.049444	0.0185632	0.024123	0.0164629	0.00465282	0.00645679	0.00275616	0.00595219	0.00307254
d	0.161815	0.27958	0.0878664	0.208895	0.142215	0.0187312	0.0560415	0.0214942	0.0132557	0.0101058
o	0.818387	0.0605321	0.0201037	0.0216178	0.0164234	0.00476723	0.00681458	0.00459211	0.00885616	0.0379056
í	0.205734	0.558801	0.0474283	0.0377417	0.0386751	0.0461022	0.0156931	0.0165768	0.00520693	0.0280409
n	0.170907	0.538645	0.116391	0.0467251	0.0187072	0.0085442	0.0463105	0.0245956	0.0148176	0.0143564
y	0.0953224	0.391118	0.263866	0.119385	0.0348802	0.00666376	0.0448579	0.00339798	0.0070308	0.0334779
á	0.0599854	0.213077	0.325583	0.225944	0.0671843	0.00483371	0.0693108	0.00656017	0.0170339	0.0104882
á	0.074101	0.469417	0.233565	0.110074	0.037666	0.00456379	0.0332964	0.00548686	0.00836815	0.0234614
n	0.00505914	0.246832	0.397652	0.144896	0.0912657	0.0378169	0.0290596	0.0241493	0.0072974	0.0159718
i	0.0145062	0.291156	0.276956	0.184448	0.0952601	0.0101756	0.0335606	0.00724953	0.00302662	0.0836613
i	0.00640716	0.203276	0.34575	0.243246	0.111613	0.0241109	0.0326339	0.00726503	0.00816066	0.0175375
b	0.0202279	0.14496	0.262249	0.239661	0.159039	0.0763675	0.0215722	0.0239857	0.015816	0.0361223
h	0.00685906	0.0256801	0.0669923	0.0626033	0.0733931	0.749389	0.00581632	0.00409922	0.000993511	0.00417448
ω	0.0303538	0.0715615	0.172184	0.178403	0.14809	0.324527	0.0200044	0.00976131	0.00309182	0.0420238
y	0.00578635	0.079361	0.0943428	0.345253	0.332445	0.115746	0.0132649	0.00567448	0.000669179	0.00745688
i	0.00831779	0.125519	0.10974	0.261528	0.286798	0.0567242	0.039344	0.0363162	0.0211095	0.0546029
a	0.000631501	0.0141284	0.0521382	0.306359	0.412263	0.105548	0.0712161	0.0174621	0.00744419	0.0128103
b	0.00348153	0.0198349	0.0613186	0.236006	0.147972	0.271414	0.184531	0.0258753	0.0262742	0.0232914
ώ	0.00590302	0.0070826	0.0182419	0.058295	0.0454505	0.784094	0.0557388	0.0135994	0.00337563	0.0082193
ω	0.00156405	0.0112027	0.0257447	0.12864	0.116643	0.459814	0.121875	0.0277751	0.0165498	0.0901925
é	0.000199437	0.00440312	0.00879481	0.107665	0.137028	0.0912224	0.39224	0.219433	0.0191789	0.0198353
d	0.00270699	0.017826	0.0245959	0.0671898	0.034905	0.0359419	0.398015	0.195553	0.176501	0.0467654
z	0.000375454	0.00197056	0.00821906	0.0375887	0.0106454	0.00473987	0.375874	0.0529941	0.0932992	0.414294
é	0.000584608	0.00627592	0.0276371	0.177031	0.120727	0.0035853	0.259766	0.130128	0.165055	0.10921
w	9.13375e-05	0.00109688	0.00423785	0.0358637	0.0281175	0.0243712	0.306706	0.202969	0.0819459	0.314601
a	0.000280723	0.00230917	0.0061609	0.0283214	0.0443271	0.0304259	0.183221	0.364627	0.114271	0.226056
l	2.89446e-05	0.00124358	0.00126029	0.00897779	0.0195669	0.0182089	0.120123	0.400115	0.162211	0.268264
á	0.000610624	0.00533806	0.00672299	0.0156627	0.00874894	0.00559094	0.115121	0.162562	0.228278	0.451365
a	0.00226922	0.00931226	0.0078726	0.0361911	0.0332397	0.0118389	0.123975	0.176992	0.25078	0.34753
y	0.000908763	0.0054152	0.00490697	0.011895	0.00410732	0.00571057	0.0404288	0.0292675	0.794001	0.103359
é	0.000488087	0.0035373	0.00586957	0.0419798	0.0139781	0.000459969	0.0994845	0.0378956	0.662501	0.133807
m	0.000320369	0.00154852	0.00146432	0.0128877	0.0060381	0.00116143	0.0748818	0.0649217	0.391047	0.445729
b	5.42769e-05	0.000565746	0.00103319	0.0143742	0.0130163	0.00190502	0.0476013	0.0716456	0.630806	0.218999
á	0.00119198	0.00155699	0.00384076	0.0267526	0.0299509	0.00588411	0.0394459	0.0226378	0.171351	0.697388
b	0.00180713	0.00431266	0.0049628	0.014722	0.0276938	0.00907724	0.113113	0.340776	0.152051	0.331484
v	0.0100879	0.0057211	0.00945567	0.0268474	0.0218399	0.0478228	0.142927	0.213745	0.268805	0.252749
a	0.0877723	0.0111547	0.0157875	0.040431	0.0352774	0.152281	0.118976	0.207833	0.181877	0.14861
n	0.0028819	0.00262525	0.00301762	0.0194209	0.0151974	0.0256804	0.0782708	0.0787075	0.159117	0.615081
g	0.00634792	0.0128684	0.0218491	0.05821	0.0430536	0.0071137	0.114577	0.0959853	0.20927	0.430725
a	0.00118667	0.00622408	0.00903871	0.0525118	0.0546588	0.00215855	0.0954717	0.0278607	0.202094	0.548795
</S>	0.000831937	0.00700548	0.00714099	0.0259796	0.0298794	0.00660359	0.0884538	0.117047	0.064975	0.652083
