 	on	ne	peut	pas	manger	autant	sans	être	malade	</S>
a	0.608917	0.182591	0.0263717	0.0775894	0.00329392	0.0295348	0.0389927	0.0278796	0.00411992	0.000709359
d	0.0635563	0.407948	0.167448	0.0615654	0.138885	0.0462421	0.0362414	0.00609646	0.0672681	0.00474927
í	0.0646247	0.342225	0.153874	0.0453027	0.212462	0.0437165	0.0445504	0.00572977	0.0117598	0.0757548
b	0.0480998	0.216327	0.208844	0.0757549	0.0560412	0.0736147	0.0865092	0.0540292	0.04797	0.13281
h	0.0930515	0.194536	0.237716	0.126727	0.00927627	0.0646884	0.0448758	0.108514	0.0132152	0.107401
e	0.0746259	0.0909463	0.352917	0.177189	0.0218646	0.0361924	0.0286502	0.0515865	0.00886995	0.157159
r	0.0607789	0.104841	0.358222	0.251986	0.0105182	0.0248843	0.0259115	0.0237151	0.0182935	0.120849
á	0.112463	0.140745	0.0649262	0.0750372	0.0257028	0.0444813	0.117687	0.0394415	0.0127816	0.366733
ω	0.247315	0.171002	0.1088	0.218644	0.0601882	0.0327496	0.036207	0.0650101	0.0128984	0.0471867
d	0.0124225	0.0578536	0.204273	0.139378	0.466014	0.0585668	0.0231518	0.00592907	0.0218778	0.0105329
z	0.00118703	0.00444651	0.0414823	0.0205979	0.757493	0.0310613	0.0264383	0.000742852	0.00688915	0.109661
á	0.0108588	0.0337141	0.0348955	0.0330756	0.801868	0.016537	0.0210298	0.000478717	0.00161944	0.0459225
b	0.0202573	0.02237	0.10717	0.226401	0.206437	0.102664	0.100051	0.0958282	0.00805665	0.110765
v	0.0132227	0.0269383	0.178244	0.0832448	0.109961	0.161295	0.0893488	0.121543	0.0898399	0.126362
ú	0.0027598	0.00481056	0.156204	0.0512731	0.157005	0.156485	0.118195	0.09003	0.0686658	0.194573
u	0.000428362	0.00285287	0.112638	0.10511	0.253223	0.200868	0.249471	0.0122646	0.0478594	0.0152852
m	0.00169523	0.00247151	0.0213443	0.119676	0.0727782	0.280249	0.239091	0.0499109	0.109235	0.103549
ó	0.00869607	0.0206846	0.0250136	0.0654501	0.118621	0.0717543	0.0833221	0.0465689	0.0451063	0.514784
n	0.00495933	0.00827936	0.0112144	0.0266604	0.0723362	0.115784	0.117408	0.0544812	0.550559	0.0383183
g	0.0147609	0.0109113	0.00632314	0.00649965	0.019924	0.112463	0.348148	0.0454502	0.244804	0.190716
o	0.000951599	0.00192653	0.00183276	0.00678308	0.0246356	0.125846	0.28115	0.0598474	0.325771	0.171256
l	0.000116847	0.000414984	0.00366309	0.00414831	0.0447922	0.0656829	0.179437	0.0065299	0.392	0.303215
o	0.00276091	0.00333482	0.00773572	0.0160396	0.0203859	0.139148	0.342451	0.0656114	0.275725	0.126808
y	0.00395788	0.00402396	0.00195485	0.00500642	0.0187587	0.114625	0.243117	0.134965	0.0926716	0.38092
á	0.051522	0.0747136	0.00801612	0.0307218	0.0611513	0.110367	0.265712	0.223321	0.0620102	0.112465
n	0.00657223	0.00475357	0.00741867	0.0123211	0.00868259	0.0665725	0.172271	0.604261	0.0266921	0.0904545
d	0.0291702	0.00543994	0.00240877	0.00231339	0.00509562	0.0480538	0.228809	0.170366	0.082454	0.425889
z	0.00345676	0.00326604	0.000812103	0.00216806	0.00974672	0.0242847	0.14446	0.0676066	0.109395	0.634804
a	5.3633e-05	0.000162438	0.000483849	0.000730558	0.015882	0.0266529	0.262421	0.0109885	0.0815516	0.601073
a	4.40627e-05	0.000179315	0.0017459	0.00413525	0.0235987	0.0540086	0.154319	0.0152627	0.0672449	0.679461
k	0.000578063	0.000801512	0.00130433	0.0058305	0.0034292	0.0714421	0.170471	0.253073	0.0681702	0.4249
a	0.000709651	0.000544051	0.0043221	0.00641107	0.00336466	0.0736518	0.10189	0.481369	0.0548902	0.272848
á	0.000830609	0.000440358	0.00187312	0.00134749	0.00205901	0.0271027	0.0367688	0.171187	0.0249791	0.733411
</S>	0.00359273	0.00512451	0.00845181	0.00923316	0.0141494	0.0341088	0.0321497	0.15293	0.0228845	0.717376
