 	l'	écorce	de	l'	arbre	contient	de	la	sève	</S>
e	0.723818	0.065118	0.101716	0.0335066	0.0496089	0.00821058	0.0049356	0.0121715	0.000789644	0.000124945
p	0.0337305	0.928283	0.019778	0.00445461	0.00495926	0.00186689	0.00327713	0.00150317	0.000787114	0.00136008
a	0.00108771	0.963609	0.0121633	0.00594819	0.00815298	0.000835569	0.00133467	0.000955806	0.0047475	0.00116546
a	0.00418496	0.915029	0.0461771	0.0129507	0.0123874	0.0011901	0.00292038	0.00201242	0.00169964	0.00144868
y	0.440549	0.0154447	0.387833	0.0660483	0.0463659	0.0302084	0.00368097	0.0016757	0.000114258	0.00807976
í	0.419068	0.0126505	0.122039	0.142203	0.0807933	0.10341	0.0288421	0.0244479	0.00440097	0.0621452
b	0.458455	0.00343854	0.139324	0.195471	0.0789754	0.0759532	0.0171353	0.0135556	0.00170475	0.0159867
v	0.162341	0.0109919	0.0940614	0.208107	0.268254	0.100896	0.0407574	0.0403498	0.0595967	0.0146449
ú	0.0143949	0.00884016	0.113564	0.288059	0.434527	0.0329039	0.0398589	0.0220601	0.0302302	0.0155612
a	0.0162948	0.00672715	0.103524	0.436499	0.336424	0.0174889	0.0357606	0.0336632	0.0112	0.00241858
é	0.0131236	0.000398873	0.172617	0.188276	0.113303	0.356181	0.10209	0.0357291	0.00247722	0.0158045
d	0.0264121	0.00381251	0.0703457	0.0490711	0.0245047	0.20852	0.471043	0.105129	0.00720436	0.0339584
í	0.00162085	0.000290781	0.0178568	0.0350807	0.0129882	0.210239	0.368795	0.13171	0.00378841	0.21763
l	0.0040882	0.00033382	0.0501797	0.0598168	0.0420192	0.145523	0.290674	0.176374	0.0365911	0.1944
a	0.00077473	0.000377449	0.0082441	0.0219016	0.0054843	0.0519154	0.325016	0.294224	0.0475085	0.244553
t	0.00407642	0.00164032	0.00918068	0.021138	0.0096644	0.0283338	0.109856	0.196105	0.515884	0.104122
a	0.000257875	0.00319475	0.00316245	0.00588711	0.00433437	0.00282002	0.0697717	0.0593799	0.812785	0.0384069
n	5.2404e-05	0.00335221	0.00439898	0.0037364	0.00474869	0.00937973	0.217813	0.138824	0.430882	0.186813
d	0.00104933	0.00702202	0.0104045	0.0118742	0.0111573	0.0200194	0.133815	0.172788	0.460585	0.171285
e	0.000614821	0.0022327	0.00680369	0.0122243	0.00920485	0.0222124	0.110918	0.171158	0.349237	0.315394
</S>	0.00157093	0.00108983	0.0143566	0.0175697	0.0160844	0.0785546	0.107119	0.188902	0.105134	0.469619
