 	nous	ne	savons	pas	encore	de	quelle	manière	il	a	découvert	ce	chemin	</S>
e	0.194841	0.116869	0.0188496	0.0260324	0.00841792	0.0418732	0.13823	0.168334	0.118167	0.0506326	0.0112737	0.0710241	0.0181419	0.0173148
k	0.0113026	0.0531312	0.00542092	0.00409366	0.00613829	0.00206969	0.00158656	0.00181366	0.00297743	0.039241	0.789533	0.00868094	0.0682917	0.00571972
u	0.0010473	0.0103554	0.0268818	0.00711907	0.00649205	0.00533001	0.00195116	0.00940651	0.00611515	0.0151328	0.77214	0.0103355	0.0881885	0.0395044
n	9.64223e-05	0.00209273	0.00133137	0.00082078	0.0012193	0.00124459	0.000247006	0.000731661	0.00035517	0.00733042	0.939722	0.0153879	0.00792625	0.0214941
d	0.00488462	0.0312299	0.0151847	0.0278758	0.0167013	0.0595104	0.0296078	0.0347105	0.0123255	0.0291049	0.529579	0.147201	0.00987623	0.0522075
ú	0.0150094	0.0426356	0.0118503	0.0205841	0.0166927	0.0716083	0.0454072	0.036241	0.0117259	0.0389586	0.375527	0.201432	0.0494224	0.062905
l	0.0271596	0.253368	0.205452	0.161182	0.0240044	0.0416522	0.0195644	0.0519816	0.0801555	0.0357419	0.0180931	0.0372419	0.0052495	0.0391544
ú	0.269323	0.170646	0.222321	0.0526129	0.0296136	0.0188484	0.0116561	0.0206505	0.0218115	0.0202355	0.0160473	0.0293551	0.00786445	0.109014
y	0.093597	0.187509	0.178289	0.0764943	0.0384484	0.0266844	0.0186741	0.0346515	0.0513056	0.0628638	0.0152814	0.053257	0.00739279	0.155552
á	0.0310855	0.116061	0.103532	0.0827601	0.0787502	0.0909328	0.0971063	0.0330825	0.0219797	0.03905	0.0233147	0.0820944	0.0113058	0.188945
á	0.190573	0.0628682	0.040736	0.070137	0.04597	0.0583009	0.0886337	0.0946211	0.156311	0.0706936	0.0100841	0.0546502	0.0115435	0.0448783
k	0.0104547	0.0316472	0.0409337	0.0881423	0.103776	0.0444445	0.0162631	0.0560126	0.0935654	0.226441	0.0986774	0.0703449	0.0447445	0.0745527
ú	0.00542749	0.0124256	0.0542293	0.0313088	0.0384283	0.0330094	0.0122019	0.0374733	0.0228855	0.0767002	0.329769	0.0924768	0.186681	0.0669837
n	6.42559e-05	0.00100237	0.00483255	0.015795	0.0171995	0.00946706	0.00124433	0.00253165	0.0019151	0.051012	0.735936	0.0697927	0.0505355	0.0386721
d	0.00115249	0.0053241	0.0163017	0.0235563	0.0430416	0.0259338	0.00983063	0.0190846	0.0206497	0.122352	0.430929	0.165726	0.0304345	0.085684
á	0.00241408	0.0115832	0.0405348	0.0346581	0.0380295	0.134171	0.0648168	0.0700529	0.0466309	0.0723519	0.154157	0.232238	0.0749649	0.0233968
w	0.0035727	0.00761623	0.0204637	0.0613682	0.0797047	0.121752	0.109166	0.11614	0.155085	0.0613614	0.0222399	0.146297	0.0731738	0.0220603
a	0.0247899	0.026932	0.0522435	0.0754467	0.0451455	0.0725813	0.0819945	0.196322	0.223932	0.0621158	0.0161397	0.0715585	0.0281364	0.0226624
k	0.00199292	0.00298249	0.00502817	0.0453254	0.0755619	0.133173	0.0958671	0.14962	0.179076	0.0677241	0.0172332	0.100888	0.0452375	0.080289
ó	0.00567999	0.00308154	0.0166273	0.018685	0.0267538	0.0330677	0.0110753	0.0648135	0.0808269	0.0818588	0.161453	0.0853469	0.293155	0.117575
