 	l'	autre	chose	qu'	il	m'	a	promise	c'	était	une	chemise	</S>
e	0.541237	0.255103	0.0428578	0.0484249	0.0441893	0.0164426	0.0186197	0.00281389	0.0219878	0.00339959	0.00410348	0.000540993	0.000279958
y	0.100013	0.228292	0.518124	0.02394	0.00600086	0.00450726	0.0274454	0.0310933	0.00840729	0.0263673	0.00994172	0.0152552	0.000612428
e	0.0479673	0.178107	0.560206	0.119779	0.0384071	0.0132377	0.0213605	0.00595533	0.00659351	0.0035852	0.00227184	0.000891175	0.00163802
a	0.101141	0.134314	0.568518	0.0335345	0.0101801	0.00315419	0.016912	0.00877144	0.00974877	0.0163911	0.00415099	0.00581182	0.0873716
y	0.256251	0.269164	0.225207	0.0910586	0.0444681	0.0104892	0.0249033	0.00220895	0.0221677	0.00403173	0.0071015	0.00114136	0.0418072
e	0.264831	0.206487	0.176131	0.125281	0.0690872	0.0200649	0.04566	0.00451523	0.0237636	0.0120555	0.0106938	0.000925909	0.0405023
n	0.282011	0.115445	0.146507	0.124685	0.167278	0.082593	0.0290158	0.00351867	0.01736	0.00406364	0.00452146	0.000782762	0.0222182
á	0.159039	0.246154	0.162354	0.0377571	0.0361497	0.298408	0.0196385	0.00351319	0.00800063	0.00429588	0.00458299	0.00110312	0.0190034
y	0.0221255	0.0210292	0.0821951	0.274791	0.25365	0.122845	0.102639	0.0192979	0.033101	0.0134781	0.0163163	0.00206208	0.0364695
é	0.06124	0.0369939	0.148861	0.372621	0.229556	0.0231392	0.0555296	0.01361	0.0197461	0.0105917	0.0022607	0.000572612	0.0252784
é	0.0313015	0.0261146	0.0784353	0.340401	0.320929	0.0479218	0.0660502	0.0322829	0.0237396	0.00476525	0.00912476	0.00257185	0.0163625
t	0.0112828	0.0205773	0.224565	0.0888832	0.0275672	0.0226649	0.182661	0.335928	0.0161098	0.0443156	0.0150303	0.00342105	0.00699453
i	0.000605166	0.00218615	0.0569179	0.0443069	0.0147563	0.00449278	0.0889378	0.70274	0.0166547	0.0358493	0.0117256	0.00912131	0.0117061
í	0.0043079	0.00545546	0.0436317	0.0664212	0.0420301	0.0147119	0.109037	0.595087	0.0418644	0.0256782	0.0162433	0.0145832	0.0209489
w	0.00479477	0.00692642	0.00490945	0.0605286	0.172588	0.411665	0.143398	0.0443197	0.119602	0.0104284	0.0152686	0.00051485	0.00505719
a	0.00742655	0.00450913	0.00501027	0.119751	0.231603	0.16996	0.096823	0.209071	0.0470705	0.0258234	0.00486626	0.00661509	0.0714709
n	0.00144155	0.000876937	0.00154411	0.0290356	0.14035	0.354236	0.18473	0.0769219	0.132325	0.0409699	0.014542	0.00264683	0.0203813
g	0.0218102	0.0149188	0.014619	0.0292047	0.0607309	0.496686	0.171299	0.0771539	0.0546104	0.00793887	0.00684255	0.00165803	0.0425278
á	0.00164984	0.00467198	0.0150506	0.0185726	0.0413237	0.659367	0.133578	0.0415203	0.0393488	0.00769253	0.0142814	0.00442438	0.0185185
é	0.00152874	0.000616723	0.000789666	0.0127427	0.0478081	0.0532792	0.119417	0.0449704	0.545309	0.0456838	0.10728	0.0109277	0.00964664
d	0.00245673	0.00436874	0.0292091	0.0100596	0.00288575	0.00669462	0.0742089	0.104814	0.135879	0.335159	0.274249	0.0158948	0.00412103
z	0.00244482	0.00735653	0.0345345	0.00487818	0.0014121	0.00243609	0.0305402	0.0431267	0.0797514	0.518002	0.160149	0.0176639	0.0977041
e	0.0100945	0.0189506	0.0240717	0.0119626	0.0117086	0.00834377	0.0301621	0.00715884	0.123217	0.510075	0.15135	0.00970616	0.0832005
o	0.00280561	0.00217485	0.0037791	0.0114534	0.0125531	0.0169118	0.0273479	0.0145489	0.168613	0.125213	0.53855	0.0363606	0.0396893
k	0.000466074	0.00208604	0.0186605	0.0015713	0.000185216	0.000351333	0.0023355	0.0123179	0.0103488	0.063976	0.170641	0.69521	0.0218509
á	1.75152e-05	2.76388e-05	0.00111069	0.000332521	5.57354e-05	2.70918e-05	0.000724432	0.0135399	0.00283182	0.0072054	0.0122193	0.942686	0.0192219
n	0.00102885	0.0002124	0.00159623	0.00333685	0.0016302	0.00151259	0.015115	0.106659	0.0374172	0.114905	0.0620428	0.571068	0.0834763
d	0.00055776	0.000147346	0.000281309	0.00149842	0.0022193	0.00297119	0.0150796	0.025045	0.0284832	0.0628748	0.0321468	0.710522	0.118173
á	0.00395289	0.00539554	0.00702274	0.0106474	0.00898357	0.0248631	0.0704248	0.0321779	0.0989687	0.0600144	0.10249	0.462881	0.112179
</S>	0.00252114	0.000681376	0.000779988	0.00770586	0.0119778	0.0134251	0.01203	0.00299244	0.0765219	0.0345417	0.122998	0.355544	0.358281
