 	nous	avons	fait	une	collecte	d'	argent	en	vue	d'	apporter	une	assistance	à	notre	ami	qui	est	hospitalisé	</S>
b	0.766626	0.191217	0.0178098	0.00404151	0.00150145	0.00390507	0.000420572	0.0022724	0.000557057	0.00305546	0.00203759	0.000634765	0.000153528	0.00133974	0.000593498	0.00197194	0.0011401	0.000655068	4.54426e-05	2.24369e-05
í	0.912257	0.0440298	0.00286174	0.0016898	0.00023183	0.000740784	0.0062634	0.00208391	0.000833509	0.00190582	0.0123995	0.000300192	0.000529073	0.000656436	0.00804054	0.00297727	0.000604191	0.00147585	8.40642e-05	3.49332e-05
s	0.912041	0.0268436	0.00493605	0.000952136	0.000229463	0.000281462	0.00642822	0.00046826	0.00055643	0.00130319	0.0182017	0.000604804	0.0014346	0.0013285	0.0213923	0.000345439	0.000522481	0.000784226	0.000458248	0.000887811
í	0.242736	0.20646	0.011093	0.0126863	0.000140496	0.00219982	0.0932263	0.00757561	0.00163082	0.0119326	0.0892422	0.0083461	0.0190338	0.0143853	0.245433	0.00836854	0.00907476	0.00808989	0.000509806	0.00783642
l	0.032559	0.108038	0.2015	0.0389905	0.0120704	0.00805716	0.00388799	0.00688504	0.00517085	0.00535959	0.0080212	0.0208862	0.0180238	0.0234137	0.0156746	0.0192848	0.0261469	0.0463751	0.0331858	0.366469
é	0.00651978	0.0655719	0.148374	0.0769106	0.0387256	0.022151	0.022015	0.0140952	0.00188081	0.0135105	0.052337	0.0513105	0.0407615	0.0390595	0.0574584	0.0527796	0.0617116	0.0717179	0.0111621	0.151947
k	0.00250379	0.109101	0.666775	0.160589	0.0220892	0.0025246	0.00347278	0.000615481	0.00013284	0.000698092	0.00151985	0.00306672	0.0066983	0.00162584	0.00197324	0.000805363	0.0018028	0.00471623	0.00229937	0.00699011
y	0.000302748	0.00582506	0.624496	0.133066	0.216788	0.00601044	0.000486168	0.000962543	0.000328961	0.00059794	0.000186568	0.00148905	0.0012921	0.000536869	0.000131766	0.00101359	0.000657611	0.000970015	0.00277176	0.00208636
e	0.0143471	0.0146218	0.50469	0.2009	0.210795	0.0334374	0.000784428	0.00326742	0.00232383	0.00150066	0.000410784	0.00196224	0.000808663	0.00117583	0.000373755	0.00130748	0.00147577	0.00188148	0.000915808	0.00302015
o	0.00367454	0.00555867	0.100017	0.180488	0.47507	0.0821338	0.00546441	0.0276728	0.0151259	0.00826738	0.00233415	0.0072059	0.00512934	0.00868576	0.00614984	0.0222204	0.00693978	0.00431792	0.00598581	0.0275578
t	0.00023117	0.00634077	0.0560588	0.177106	0.378682	0.0912183	0.0799429	0.053072	0.0147109	0.0162541	0.0107933	0.0178377	0.0211687	0.00550863	0.0034677	0.0156219	0.00862018	0.0137223	0.00625642	0.0233871
á	6.7518e-05	0.000537457	0.0462209	0.0498611	0.782035	0.0271973	0.00579751	0.0115404	0.00816647	0.00524196	0.00090655	0.00858779	0.00564096	0.00230853	0.000430079	0.00577261	0.00405095	0.00286477	0.0111088	0.0216632
b	0.00097004	0.00456129	0.0936064	0.088933	0.331202	0.0772297	0.0263518	0.0446939	0.0373414	0.0193003	0.00733182	0.0361173	0.0238983	0.0118432	0.00600698	0.0127438	0.0127304	0.0147593	0.0217579	0.128621
h	0.00203387	0.000437646	0.0277705	0.0385548	0.289516	0.26862	0.0146875	0.0651915	0.13971	0.0320393	0.00608268	0.016748	0.00258996	0.0106417	0.00401606	0.0100301	0.0132401	0.00712183	0.00199476	0.0489737
í	0.00334246	0.00243421	0.0224431	0.0265467	0.105564	0.112133	0.0253307	0.150613	0.185277	0.112335	0.0248948	0.0231443	0.00499221	0.0284613	0.0312196	0.02059	0.0145855	0.00382114	0.00445378	0.097818
í	0.0005161	0.0011076	0.00214598	0.00318358	0.00420785	0.102041	0.101547	0.139591	0.111977	0.222449	0.13721	0.0772712	0.0100586	0.0241092	0.0186357	0.00644532	0.0108839	0.00870025	0.00153236	0.0163869
