 	il	fend	la	terre	avec	une	houe	</S>
w	0.971583	0.00792608	0.0104449	0.00599891	0.00262471	0.00123406	0.000162343	2.58969e-05
a	0.978059	0.00375648	0.0104844	0.000916004	0.00242011	0.00346943	0.000876177	1.82603e-05
l	0.463232	0.366873	0.0892757	0.014969	0.0291966	0.0136267	0.00666645	0.0161606
á	0.185264	0.166684	0.160968	0.0674106	0.167842	0.0344679	0.00629354	0.211071
a	0.31493	0.125795	0.157364	0.0405648	0.0757195	0.0329325	0.0355333	0.217162
t	0.0176749	0.944573	0.0283062	0.00353661	0.00166649	0.00104056	0.00107623	0.00212623
í	0.0108042	0.919085	0.0528507	0.00848181	0.00201571	0.00106994	0.000959601	0.00473305
m	0.0128229	0.791036	0.136095	0.0168826	0.00531063	0.00685451	0.0117174	0.0192814
á	0.0639094	0.33326	0.453286	0.0772775	0.0371028	0.0120045	0.00289123	0.020269
á	0.0616989	0.0792781	0.396624	0.395598	0.0376098	0.0135615	0.00881517	0.00681461
t	0.0257571	0.0175739	0.402629	0.402076	0.0936337	0.0366953	0.0155171	0.00611767
s	0.00219175	0.0653094	0.267312	0.578623	0.0613892	0.0101632	0.00536222	0.0096493
ε	0.000464776	0.0253564	0.114971	0.803497	0.0430497	0.00473092	0.00215216	0.00577803
n	0.00662973	0.00911237	0.133041	0.712897	0.0887156	0.00563809	0.0059789	0.0379875
g	0.010096	0.0257895	0.209435	0.494492	0.0662786	0.0160246	0.0206	0.157284
ε	0.0145207	0.00753182	0.0614387	0.838301	0.015135	0.00216501	0.015922	0.0449857
m	0.0117657	0.0166464	0.157973	0.106119	0.499303	0.110653	0.0409623	0.0565773
ó	0.0226917	0.00392299	0.066283	0.0302244	0.257661	0.259534	0.0309746	0.328708
ε	0.0163389	0.0184098	0.119461	0.0897809	0.302701	0.237245	0.178328	0.0377362
s	0.00269305	0.0290868	0.0437357	0.0314449	0.0977915	0.287139	0.473704	0.0344046
έ	0.000914596	0.0121119	0.00960201	0.00805033	0.0191836	0.11994	0.795997	0.0342008
έ	0.000124307	0.00149903	0.00556547	0.0102093	0.0290511	0.0773602	0.732784	0.143407
</S>	0.00191341	0.00136446	0.0139177	0.011818	0.108613	0.243098	0.295509	0.323766
