 	il	avoua	qu'	il	avait	volé	</S>
w	0.972624	0.014853	0.00545039	0.00502488	0.00185175	8.16138e-05	0.000114224
a	0.857793	0.0793311	0.0304518	0.0233575	0.00895863	4.42626e-06	0.000103862
a	0.263954	0.426295	0.141213	0.109865	0.0336331	0.00178475	0.0232557
s	0.0477273	0.880385	0.0179442	0.0176451	0.0167806	0.00886178	0.0106557
a	0.0048752	0.973902	0.00284402	0.00148912	0.00278656	0.000329626	0.013774
a	0.0273066	0.72448	0.0515733	0.0194628	0.00381961	0.00332551	0.170032
l	0.0127352	0.0456239	0.477982	0.3537	0.0454279	0.0172976	0.0472331
í	0.0268773	0.0746991	0.334198	0.15436	0.049658	0.00443785	0.35577
n	0.0306692	0.0131702	0.470369	0.340869	0.081066	0.00770813	0.0561491
d	0.0367953	0.367555	0.276564	0.170247	0.0181326	0.00060493	0.130102
z	0.0328416	0.219339	0.286413	0.176709	0.0397221	0.0106387	0.234337
ó	0.0483934	0.209188	0.272655	0.176195	0.0205468	0.0108466	0.262175
r	0.0138165	0.0722915	0.0907318	0.0392425	0.0072653	0.00797932	0.768673
o	0.0785285	0.0626984	0.41486	0.16403	0.0142818	0.0114847	0.254117
w	0.0355699	0.00399691	0.269883	0.289396	0.352106	0.0102738	0.0387737
á	0.0127859	0.00219646	0.549208	0.376296	0.0360365	0.000521512	0.0229557
r	0.0187136	0.00335063	0.188691	0.363518	0.171723	0.0637268	0.190277
e	0.00962998	0.00991702	0.113727	0.247206	0.190952	0.015738	0.41283
w	0.00162344	0.000450991	0.18522	0.288606	0.392145	0.0224475	0.109508
a	0.00856763	0.00138087	0.250873	0.512179	0.193837	0.00493347	0.0282291
á	0.00479057	0.000297039	0.180723	0.217256	0.27081	0.0382562	0.287868
y	0.00206081	0.00137718	0.0058378	0.00767593	0.0829273	0.791816	0.108305
í	0.00100578	0.00148742	0.00187027	0.00417866	0.0404666	0.819356	0.131635
b	0.000533372	0.000168785	0.00298928	0.0054607	0.023935	0.894456	0.0724568
h	0.00604526	0.00138914	0.104141	0.122274	0.0709868	0.365075	0.330089
á	0.000574111	0.0005781	0.0833466	0.114967	0.0308468	0.306173	0.463515
</S>	0.00313534	0.000864281	0.0544402	0.154886	0.134302	0.0521321	0.600241
