 	ne	fais	pas	de	bruit	</S>
o	0.637541	0.24458	0.0666837	0.0329065	0.0134081	0.00488107
k	0.0629671	0.853919	0.0286374	0.013737	0.027116	0.0136233
y	0.017765	0.73009	0.0291086	0.0216196	0.147147	0.0542705
á	0.0380821	0.557234	0.0939442	0.103579	0.173074	0.0340858
l	0.317163	0.205521	0.126912	0.10579	0.101847	0.142766
o	0.28827	0.419786	0.0787896	0.0392595	0.0418241	0.132071
b	0.675487	0.0269811	0.124475	0.0494861	0.0750993	0.0484709
h	0.292521	0.0936759	0.195284	0.163737	0.180335	0.0744462
ó	0.186002	0.141614	0.0829523	0.0759525	0.166508	0.346972
k	0.0601563	0.0375702	0.169593	0.188101	0.32489	0.21969
a	0.0546527	0.0587974	0.197348	0.107524	0.0915408	0.490137
á	0.0172379	0.0341532	0.100939	0.138289	0.332046	0.377335
</S>	0.0103933	0.00638099	0.0842062	0.125197	0.0485174	0.725305
