 	le	filet	est	déjà	déployé	dans	la	forêt	</S>
o	0.745839	0.22865	0.0212702	0.00102907	0.00105302	0.000730092	0.0010488	0.000298069	8.17229e-05
k	0.0218014	0.96169	0.00660405	0.00547532	0.00138303	0.000384141	0.000475032	0.00156997	0.000616739
i	0.0150394	0.963961	0.00232076	0.000647798	0.0045635	0.000730184	0.00147304	0.0100988	0.00116589
a	0.0436017	0.920301	0.0232378	0.00259169	0.00456002	0.000901223	0.00105135	0.00174318	0.00201235
ó	0.349832	0.0679387	0.503074	0.0567766	0.00243519	0.00477137	0.00428502	0.000240609	0.0106468
b	0.0318857	0.00590171	0.341737	0.521928	0.0458085	0.0228474	0.0136327	0.00547754	0.0107812
h	0.00831503	0.00734035	0.110925	0.243285	0.471605	0.114909	0.020197	0.0063164	0.0171071
í	0.0455297	0.0152891	0.264491	0.222047	0.283972	0.118656	0.0261979	0.00403044	0.019787
o	0.028669	0.00358054	0.234482	0.251037	0.205239	0.113769	0.0397887	0.00561508	0.117819
l	0.00189817	0.002301	0.0230582	0.2326	0.635147	0.0822887	0.00811813	0.00760189	0.00698618
a	0.00185165	0.00402697	0.0128713	0.283607	0.591367	0.0663845	0.00647236	0.0149361	0.0184833
m	0.00216955	0.000603115	0.0336303	0.267149	0.530905	0.106011	0.00810358	0.00456554	0.0468631
b	0.0043257	0.000419372	0.0371343	0.0513056	0.464588	0.272174	0.084245	0.00988607	0.0759221
á	0.00501196	0.000650012	0.0169454	0.010022	0.569959	0.135127	0.0541994	0.0331805	0.174904
l	0.00488919	0.00049201	0.0358907	0.0206226	0.228036	0.373741	0.237754	0.0460821	0.0524923
a	0.00311865	0.00049279	0.00433907	0.00642163	0.236798	0.367948	0.162836	0.051099	0.166947
m	0.0217968	0.00179599	0.00345386	0.00515984	0.124744	0.161617	0.199784	0.414642	0.0670061
b	0.00304141	0.00030022	0.0024546	0.00935819	0.0611597	0.427984	0.19766	0.0133322	0.284709
a	0.000415509	0.000111766	0.00178945	0.00434295	0.17384	0.555319	0.123979	0.0299796	0.110223
s	0.000563681	0.000199065	0.00131082	0.00217426	0.0322166	0.343353	0.175204	0.230325	0.214654
á	0.00109859	0.000266652	0.00105962	0.00348868	0.0265	0.202711	0.1695	0.106578	0.488798
k	0.00948599	0.000844694	0.00354732	0.00373052	0.00741763	0.0450104	0.146034	0.533182	0.250747
ώ	0.000275433	0.000262904	0.000378602	0.000158032	0.0014444	0.00282505	0.0126399	0.964077	0.0179391
</S>	0.000464014	0.000169171	0.000124146	6.34314e-05	0.00280289	0.00479935	0.0124982	0.953712	0.0253671
