 	il	aime	manger	les	arachides	</S>
w	0.856004	0.112494	0.00840244	0.0228636	0.000142075	9.36534e-05
a	0.823384	0.121966	0.0108917	0.0436544	6.01885e-05	4.27804e-05
a	0.214605	0.648011	0.0584587	0.0553043	0.00674155	0.0168787
d	0.115499	0.604105	0.132978	0.0543894	0.0102007	0.0828276
í	0.046415	0.527446	0.237513	0.028605	0.00864987	0.151372
l	0.0163977	0.107066	0.313805	0.0826536	0.0082954	0.471782
a	0.138621	0.155678	0.294604	0.155196	0.0154199	0.24048
p	0.0826289	0.448955	0.39152	0.0165925	0.0197278	0.0405753
ó	0.014669	0.403515	0.353998	0.00862395	0.18135	0.0378439
s	0.00479483	0.795414	0.150993	0.0108793	0.0175036	0.0204153
á	0.0245638	0.529455	0.3197	0.0128637	0.0482494	0.065168
ω	0.321075	0.0360034	0.139585	0.370046	0.0545501	0.07874
d	0.00655237	0.0805649	0.295188	0.0327637	0.565286	0.0196444
z	0.00108594	0.0665207	0.44356	0.147126	0.199642	0.142065
á	0.00339999	0.048531	0.688013	0.0369709	0.151813	0.0712713
n	0.00519419	0.00891351	0.117193	0.278923	0.0946562	0.49512
d	0.0114566	0.00751323	0.0439438	0.294232	0.233389	0.409466
z	0.000987854	0.00228137	0.0111356	0.0931088	0.636143	0.256343
o	4.94014e-05	0.000510419	0.00197362	0.0194911	0.906424	0.0715518
ó	0.00137817	0.0058349	0.00596985	0.0217692	0.482536	0.482512
</S>	0.00547646	0.00639115	0.0251433	0.180815	0.0370902	0.745084
