 	il	a	acheté	un	mouton	</S>
w	0.767896	0.224638	0.000251141	0.00657568	0.000387262	0.000251469
a	0.648459	0.310558	0.000284004	0.037912	0.00273449	5.22261e-05
á	0.30875	0.631849	0.0319106	0.0211673	0.00289838	0.00342499
s	0.00875584	0.103529	0.864307	0.00544959	0.0018699	0.0160888
ó	0.000411054	0.0143505	0.981615	0.000254028	0.000129101	0.00324069
m	0.0228833	0.0686122	0.884732	0.0150868	0.00111524	0.00757004
b	0.0173935	0.0784312	0.845315	0.0225706	0.00744229	0.0288475
i	0.21497	0.377086	0.0625787	0.137034	0.0178948	0.190437
ε	0.0655331	0.0862096	0.00590107	0.777574	0.0254163	0.0393656
n	0.011576	0.0277351	0.0489771	0.130431	0.764908	0.0163734
d	0.0029831	0.0285175	0.075725	0.223169	0.586982	0.0826233
ω	0.000931386	0.00577355	0.0218152	0.15822	0.690708	0.122552
m	0.00078812	0.00425655	0.0668329	0.0362359	0.855255	0.0366318
b	0.00135803	0.00083047	0.00012056	0.0301469	0.936117	0.0314276
ω	0.00101645	0.000413238	6.42166e-05	0.00335766	0.978379	0.0167691
</S>	0.00677112	0.00127175	4.73991e-05	0.151536	0.131388	0.708986
