 	la	poule	a	construit	un	nid	</S>
t	0.256772	0.636314	0.0952097	0.00216942	0.00846925	0.000712318	0.000353526
s	0.0125369	0.981532	0.00350332	0.000403152	0.00096936	0.000841004	0.00021372
ó	0.00483831	0.9926	0.000377626	0.000855254	0.000380515	0.000584689	0.000363828
s	0.0143419	0.963564	0.0128382	0.00113785	0.00108679	0.00290452	0.00412716
ó	0.0236765	0.947278	0.00603836	0.00364042	0.0019897	0.00076431	0.0166127
á	0.450324	0.293692	0.224118	0.00885054	0.00986615	0.000761442	0.0123885
m	0.0752776	0.0107523	0.540826	0.302918	0.0389846	0.00258043	0.0286612
i	0.170543	0.011477	0.38227	0.321601	0.0694333	0.00211727	0.0425589
k	0.01499	0.00897422	0.0268764	0.903492	0.031659	0.00401586	0.00999257
y	0.00167411	0.00727207	0.00782387	0.90908	0.0464176	0.00748526	0.0202466
á	0.0266872	0.0775285	0.0230217	0.742518	0.0900707	0.017002	0.0231721
e	0.0485401	0.00616439	0.31462	0.289974	0.204485	0.0323848	0.103832
b	0.00391759	0.00261522	0.0503437	0.266767	0.575557	0.0553563	0.0454428
o	0.00735963	0.00293446	0.0411396	0.54336	0.293408	0.0557328	0.0560653
l	0.00241574	0.0151785	0.0127654	0.507896	0.227597	0.0456785	0.188469
o	0.0088698	0.00603539	0.0208245	0.595993	0.253816	0.0300546	0.0844064
o	0.0254137	0.00174849	0.0647437	0.0291136	0.62952	0.03947	0.209991
</S>	0.00325075	0.000793741	0.0141125	0.024653	0.494687	0.279597	0.182907
