 	on	m'	a	offert	une	grappe	de	safous	</S>
á	0.937492	0.0411614	0.00626275	0.00588931	0.00291971	0.00229306	0.00362629	0.000185892	0.000169257
k	0.0204279	0.0212791	0.463418	0.460144	0.0302392	0.00271068	0.00113396	8.85724e-05	0.000558341
a	0.00823306	0.00148157	0.212898	0.691643	0.0490529	0.00529032	0.00275746	0.00167145	0.026972
b	0.00421792	0.00270991	0.467414	0.480112	0.0280185	0.00340617	0.00187575	0.000538387	0.0117067
h	0.0301535	0.0363018	0.4183	0.316084	0.142104	0.0232126	0.0115607	0.00147991	0.0208047
i	0.0355994	0.0150213	0.114929	0.399448	0.158016	0.142209	0.0504916	0.0209218	0.0633634
n	0.237085	0.258118	0.0659634	0.0986483	0.210607	0.062421	0.0268829	0.00686301	0.0334106
g	0.0893954	0.473026	0.0163018	0.00873043	0.0583635	0.336089	0.0110217	0.00376334	0.00330795
á	0.0250187	0.45047	0.0229387	0.00996356	0.0465636	0.427127	0.00571099	0.00174746	0.0104597
e	0.00740757	0.00902267	0.0195393	0.0905263	0.401025	0.351111	0.101885	0.00697759	0.0125054
y	0.00169407	0.00113068	0.0157884	0.108625	0.413663	0.408072	0.0310613	0.00942538	0.0105395
a	0.000386574	0.00013131	0.00405197	0.00699794	0.183227	0.651758	0.0733699	0.0548552	0.0252215
n	0.00109602	0.000324073	0.00347342	0.00555897	0.224288	0.4822	0.0851765	0.0430511	0.154832
g	0.00189816	0.00529152	0.0154602	0.0122958	0.221336	0.61518	0.0926549	0.0106714	0.025212
o	0.000772115	0.00340134	0.00068984	0.000532102	0.0122844	0.950403	0.0250163	0.00156126	0.00533975
y	0.000999114	0.00115506	0.00555899	0.00326697	0.124089	0.222906	0.52955	0.0134958	0.0989795
á	0.00747352	0.000749715	0.00385537	0.00078728	0.0631961	0.174924	0.567005	0.137094	0.0449161
s	0.00396357	0.00154761	0.000418145	0.000453645	0.0149728	0.0834962	0.308914	0.57687	0.00936451
á	0.00100419	0.000407419	0.000242517	0.000102349	0.00530098	0.0219218	0.0814736	0.878328	0.0112191
á	0.00024469	4.16189e-05	4.49155e-05	5.91987e-05	0.00202623	0.0146586	0.0763671	0.88638	0.0201774
</S>	0.00197777	0.00146492	0.0124993	0.00552186	0.0239124	0.0156921	0.13442	0.263866	0.540646
