 	la	pirogue	a	chaviré	dans	le	fleuve	</S>
b	0.659119	0.303117	0.0199236	0.00158356	0.00507493	0.010426	0.000628864	0.000127302
v	0.100174	0.878514	0.00854634	0.0010137	0.00111793	0.00727542	0.00261543	0.000743598
á	0.0537132	0.928358	0.00130261	0.00390982	0.0026177	0.000941515	0.0074459	0.00171163
r	0.0556975	0.902539	0.00200606	0.00526309	0.00155143	0.00118147	0.00493151	0.0268303
e	0.366779	0.0526232	0.0561227	0.0111523	0.0206667	0.00871677	0.0139544	0.469985
ó	0.188735	0.00793639	0.679178	0.0286005	0.0214639	0.0126217	0.00569513	0.0557694
m	0.0881504	0.00787296	0.612356	0.247322	0.0202075	0.0078667	0.00424041	0.0119841
i	0.182568	0.0734314	0.298178	0.207686	0.105392	0.0283607	0.00821255	0.096171
p	0.00896373	0.00754016	0.0678792	0.866657	0.0291641	0.00357853	0.00115166	0.0150659
f	0.00310933	0.000788538	0.0163369	0.933079	0.0242865	0.00195131	0.00236895	0.0180798
u	0.00208217	0.000228614	0.00328447	0.917708	0.061392	0.00399996	0.0021827	0.00912231
á	0.00218772	0.000571205	0.00948133	0.39175	0.488559	0.0547485	0.00713452	0.0455677
s	0.0113736	0.00128388	0.0328061	0.0467383	0.390169	0.419801	0.0751996	0.0226286
á	0.0124526	0.00187209	0.00600797	0.00763939	0.141658	0.174006	0.530869	0.125495
n	0.00897958	0.00120411	0.00278744	0.000944446	0.0261551	0.184254	0.767904	0.00777148
d	0.0089566	0.00196058	0.00236018	0.000456705	0.00974749	0.0590219	0.874912	0.0425841
z	0.00509037	0.000817279	0.0025854	0.000983021	0.0150908	0.112336	0.674091	0.189006
á	0.000286859	0.000237211	0.000675392	0.00469159	0.0327382	0.0651207	0.704601	0.191649
l	0.000872568	0.000472007	0.000767729	0.00724874	0.0604196	0.0821708	0.350848	0.497201
é	0.00168334	0.000648515	0.00335477	0.00666375	0.0534716	0.161455	0.534524	0.238199
</S>	0.00210486	0.0004011	0.013467	0.00453363	0.0437305	0.0725049	0.173235	0.690023
