 	elle	a	des	yeux	brillants	de	malice	</S>
w	0.763486	0.12356	0.095081	0.00532012	0.00495607	0.00536965	0.0019901	0.000236953
a	0.638604	0.208108	0.0797967	0.029787	0.0176911	0.0257864	0.00011512	0.000111756
m	0.138216	0.354416	0.381275	0.082298	0.0197874	0.0223941	2.66782e-05	0.00158625
í	0.0426405	0.117741	0.101427	0.644957	0.0710932	0.0116212	8.88414e-06	0.010512
s	0.105874	0.202654	0.0776505	0.583422	0.00915028	0.0100044	0.000207247	0.0110378
i	0.0812465	0.173362	0.452892	0.0589175	0.0581	0.0168942	0.000233499	0.158355
m	0.037723	0.136628	0.353409	0.201017	0.167194	0.0670369	0.000362422	0.0366294
á	0.145275	0.17092	0.336903	0.249371	0.05826	0.034957	2.65571e-05	0.00428701
a	0.28	0.166792	0.218292	0.257234	0.0453487	0.0191632	0.00333637	0.00983403
y	0.0100338	0.069107	0.102044	0.190718	0.4131	0.17565	0.00887088	0.0304759
έ	0.00565368	0.0648078	0.154845	0.0399768	0.566673	0.0950359	0.000612979	0.0723945
s	0.00320563	0.0324309	0.086924	0.0804392	0.475256	0.203384	0.00146905	0.116891
έ	0.0109887	0.0943263	0.136641	0.0159233	0.452363	0.156818	0.00153637	0.131403
a	0.00534183	0.0263118	0.104059	0.0492845	0.280888	0.338167	0.0180313	0.177917
k	0.00750407	0.0442247	0.0699549	0.0243736	0.130756	0.325891	0.278483	0.118813
o	0.00154261	0.00357111	0.00323493	8.74505e-05	0.00200137	0.0106598	0.885646	0.0932565
l	0.000220951	0.00066407	0.00325547	4.71948e-05	0.0012302	0.00762436	0.957141	0.0298166
a	0.000254862	0.00149828	0.00193819	0.000192941	0.00392648	0.058402	0.750335	0.183452
a	0.00192167	0.00654374	0.0166394	0.000673592	0.0249045	0.199726	0.132086	0.617505
</S>	0.0193983	0.0698738	0.105008	0.0313507	0.142546	0.170065	0.055332	0.406426
