 	le	bras	est	un	membre	du	corps	</S>
e	0.486795	0.489083	0.0132734	0.00751296	0.0016376	0.00152155	0.000134728	4.1452e-05
b	0.170443	0.645357	0.137879	0.0281881	0.0110852	0.00315816	0.00302756	0.000861878
ώ	0.0338394	0.940856	0.00924565	0.00667743	0.00399941	0.00057481	0.00334127	0.00146566
ω	0.0855831	0.7204	0.0325099	0.0128781	0.0056581	0.00401893	0.0951289	0.0438227
é	0.49206	0.119017	0.333116	0.0472851	0.00503426	0.001552	0.000174866	0.00176014
d	0.0584511	0.00889738	0.702091	0.179064	0.0173594	0.0203207	0.00390979	0.00990598
í	0.00100161	0.00144794	0.312058	0.352437	0.20387	0.0464638	0.00813341	0.0745873
e	0.0065325	0.000686851	0.205155	0.220838	0.325927	0.143374	0.00931042	0.0881761
l	0.000744424	0.00160977	0.0427638	0.228036	0.579936	0.0836972	0.0395135	0.0236994
a	0.000289623	0.000631831	0.0422281	0.144865	0.547634	0.154832	0.05885	0.0506695
m	0.000605423	0.000290141	0.019927	0.109496	0.625113	0.122107	0.0529512	0.0695093
a	0.00178991	0.0012783	0.0254033	0.109405	0.716963	0.0665192	0.013623	0.0650184
y	0.00101402	0.000407495	0.0325775	0.10615	0.322173	0.292793	0.101627	0.143258
á	0.002307	0.00108266	0.014551	0.0893377	0.397913	0.191001	0.185329	0.118478
n	0.00446649	0.000393103	0.0014543	0.0138995	0.072919	0.10048	0.771471	0.0349159
d	0.00133899	0.00108095	0.00212793	0.0340072	0.0232544	0.230822	0.584607	0.122761
z	0.000890193	0.00156397	0.00205193	0.0124144	0.00386028	0.136014	0.756931	0.0862747
ó	5.73747e-05	7.59816e-05	0.00054408	0.0160472	0.0742635	0.0651674	0.749157	0.0946871
r	0.000130434	0.000137876	0.00363148	0.0214594	0.0276451	0.0544773	0.530472	0.362047
o	0.000398503	0.000555001	0.00440239	0.0213841	0.0244728	0.0772095	0.556874	0.314704
</S>	0.00214984	0.00169929	0.011983	0.0226355	0.00519869	0.0613319	0.112192	0.78281
