 	cet	étang	a	vraiment	beaucoup	de	têtards	</S>
e	0.829665	0.0968841	0.035954	0.0108153	0.0138415	0.0100618	0.00242452	0.000354069
t	0.111344	0.860995	0.0116226	0.00574315	0.00471372	0.00272742	0.000912164	0.00194211
ó	0.0159016	0.959599	0.0066904	0.00956949	0.00333367	0.00114414	0.00133146	0.00243032
n	0.00941822	0.973897	0.00422017	0.00189311	0.00129857	0.00108387	0.000199861	0.00798961
g	0.204662	0.739679	0.0100553	0.00707064	0.0061898	0.00553354	0.00688892	0.0199214
o	0.130098	0.850615	0.00930515	0.00424817	0.002242	0.00135411	0.000242648	0.0018946
y	0.236008	0.0786712	0.570189	0.048372	0.0283495	0.0140357	0.00172529	0.0226484
é	0.782705	0.0163212	0.114897	0.03982	0.0222168	0.0104964	0.000826841	0.0127167
é	0.506911	0.0117629	0.252662	0.156716	0.0384235	0.017676	0.00114388	0.0147042
d	0.148358	0.0211719	0.17267	0.340995	0.116692	0.07361	0.00685661	0.119647
í	0.0120035	0.000342441	0.0442099	0.388714	0.16649	0.0646561	0.000579975	0.323004
l	0.0169524	0.000681662	0.0582299	0.189276	0.180318	0.127251	0.00954109	0.417749
a	0.00507926	0.00103761	0.0788332	0.279703	0.237124	0.117406	0.00796461	0.272852
t	0.0220836	0.0165437	0.0603525	0.19839	0.240038	0.184763	0.115956	0.161873
a	0.0107889	0.021459	0.0303716	0.443653	0.180878	0.0688157	0.176821	0.0672135
a	0.000718365	0.00713269	0.0371596	0.164613	0.230427	0.211741	0.140956	0.207252
a	0.00336367	0.000654467	0.0340552	0.0335639	0.152251	0.48515	0.109789	0.181173
y	0.0131099	0.00584611	0.0460822	0.068289	0.158496	0.402334	0.201101	0.104741
í	0.0279321	0.00167733	0.026677	0.151363	0.156846	0.286847	0.0145141	0.334143
í	0.00219966	0.00015806	0.00793806	0.0374002	0.0656449	0.135235	0.0269896	0.724435
w	0.00298767	0.000718648	0.0242447	0.0455919	0.0839744	0.245066	0.0901657	0.507251
a	0.00531886	0.00505704	0.0333496	0.139705	0.175273	0.282006	0.242876	0.116415
m	0.00173001	0.000896826	0.00846762	0.0111768	0.0651348	0.223413	0.319009	0.370171
έ	0.0236131	0.000589298	0.0418749	0.021792	0.158204	0.498183	0.11546	0.140283
n	0.0023857	0.000745641	0.0150163	0.0167753	0.0943315	0.30358	0.208184	0.358982
d	0.00205724	0.00154954	0.0145961	0.0306609	0.0459595	0.242571	0.0180762	0.64453
e	0.00505749	0.0248915	0.0148306	0.0174457	0.038161	0.137582	0.00963608	0.752396
</S>	0.000139709	0.00064249	0.00269738	0.0107775	0.0351195	0.111154	0.00513789	0.834332
