 	j'	ai	déjà	attrapé	le	poisson	papillon	dans	le	ruisseau	vouma	</S>
n	0.950067	0.046984	0.00106684	6.90581e-05	0.000391779	0.000247192	0.000931105	0.000115734	3.46312e-05	7.77838e-05	9.31425e-06	5.13022e-06
g	0.617323	0.366984	0.00964985	1.43456e-05	0.00338412	0.000948961	0.00111837	0.000144092	0.000104535	0.000325046	1.8459e-06	2.53773e-06
á	0.586408	0.336275	0.0554953	0.00278641	0.00825458	0.00373663	0.00321287	0.000586817	0.00140703	0.00158179	8.76225e-05	0.000167477
l	0.0614548	0.207598	0.234721	0.0299908	0.0121447	0.00903173	0.00852543	0.00606537	0.0240096	0.0180987	0.00858754	0.379772
a	0.20382	0.370554	0.251289	0.0240266	0.0245429	0.0198039	0.00855612	0.00851983	0.0334591	0.00992808	0.00184178	0.0436595
m	0.0781375	0.181807	0.191255	0.0855424	0.0955584	0.0518601	0.0246705	0.0296307	0.0711007	0.0530634	0.0149074	0.122466
o	0.0721094	0.179006	0.105687	0.318662	0.116578	0.131067	0.00398533	0.01676	0.00511585	0.0040843	0.0339743	0.0129713
ó	0.0135245	0.147528	0.280477	0.157785	0.214634	0.0664856	0.0139749	0.026343	0.0196822	0.0100276	0.0077386	0.0417999
p	0.000191965	0.00793415	0.116666	0.531188	0.196489	0.052333	0.0607342	0.0120163	0.0117706	0.00213745	0.00106187	0.00747692
i	4.42664e-05	0.00511516	0.0137471	0.733379	0.0622021	0.0335476	0.136339	0.00541551	0.0039543	0.000524714	0.000527125	0.00520411
á	4.54511e-05	0.00605996	0.0324587	0.762679	0.124417	0.0379889	0.0258102	0.00466569	0.00186288	0.000293204	0.000172989	0.00354614
i	0.00157577	0.00855115	0.00532755	0.00191709	0.347323	0.35626	0.123385	0.114034	0.01537	0.0185398	0.00477598	0.00294074
t	8.73522e-05	0.000908529	0.00141247	0.00756848	0.132828	0.273919	0.412532	0.0811991	0.0611279	0.00783385	0.00691668	0.0136663
s	1.01034e-05	0.000321425	0.000373852	0.0174636	0.0637572	0.194147	0.610365	0.06579	0.0301834	0.00587657	0.00471023	0.00700137
a	2.541e-06	0.000169737	0.000614438	0.0174041	0.150029	0.158189	0.516206	0.105732	0.032621	0.00961836	0.00165648	0.00775725
t	0.000122841	0.000242563	0.00058682	0.00195457	0.0774528	0.298293	0.210846	0.270452	0.0638966	0.0132975	0.00515397	0.0577014
s	0.00012665	0.000361675	0.000282879	0.0152967	0.0459747	0.0761307	0.609953	0.084577	0.0508563	0.0235817	0.0159029	0.0769556
á	1.24455e-05	9.10325e-05	0.000691454	0.0179371	0.081739	0.0904993	0.513631	0.17529	0.0680791	0.0104454	0.00450116	0.0370837
a	5.44288e-05	0.000173577	0.000246807	0.000460859	0.0337206	0.115172	0.314333	0.308661	0.100857	0.0448625	0.00668234	0.0747767
s	2.92647e-05	0.000738595	0.00127852	0.00025554	0.0134637	0.0231216	0.0179538	0.225033	0.480813	0.18945	0.0129486	0.0349143
á	0.000201146	0.00168482	0.00528402	0.00174857	0.00937055	0.0305331	0.00884427	0.158179	0.264346	0.236818	0.162585	0.120405
w	0.000143416	0.000972168	0.000329983	0.000102889	0.00158239	0.00288969	0.00427999	0.0144424	0.0250099	0.114878	0.828957	0.00641212
ó	0.00324708	0.00176385	0.0021685	0.00257019	0.0157495	0.030659	0.028478	0.0846337	0.0876544	0.352804	0.370713	0.0195588
m	0.00101884	0.000469975	0.000618596	0.000431896	0.00310463	0.00312333	0.00328541	0.0239794	0.113707	0.261211	0.475085	0.113965
á	5.68108e-06	8.79922e-05	0.000216477	0.000190538	0.00367144	0.00711766	0.0010327	0.0459437	0.0387514	0.0867165	0.720774	0.0954924
</S>	0.00105899	0.00366055	0.00446829	0.00158029	0.0189963	0.012385	0.01797	0.0431198	0.07417	0.221973	0.503662	0.0969562
