 	il	a	avantage	à	se	taire	</S>
y	0.737119	0.225753	0.0257622	0.00733647	0.0035013	0.000219589	0.000308238
é	0.550375	0.247135	0.0449281	0.0393769	0.0176815	0.0611845	0.0393189
e	0.348884	0.506793	0.0589468	0.031569	0.00624669	0.011821	0.0357392
k	0.112157	0.404486	0.197448	0.0556605	0.0326984	0.031244	0.166307
y	0.014556	0.082315	0.734509	0.0849004	0.0192046	0.0112996	0.0532157
á	0.100705	0.203955	0.552512	0.0825249	0.0165938	0.0036313	0.0400772
ω	0.148545	0.232842	0.195436	0.0716153	0.0211886	0.0324245	0.297949
b	0.0435573	0.146615	0.304417	0.277873	0.169514	0.0117853	0.046239
v	0.0599784	0.211205	0.410041	0.192998	0.0809863	0.0153224	0.0294687
έ	0.102423	0.299143	0.34469	0.186526	0.0489719	0.00491896	0.0133273
l	0.0434372	0.126258	0.145003	0.204752	0.0767519	0.0390259	0.364772
a	0.0158284	0.0574248	0.405636	0.184798	0.074777	0.0484182	0.213118
w	0.0258098	0.0415684	0.155312	0.311434	0.196154	0.133277	0.136444
a	0.0443101	0.0879547	0.293308	0.408124	0.119909	0.0152293	0.0311641
m	0.00288987	0.00751303	0.113819	0.243914	0.346477	0.124503	0.160884
ó	0.188256	0.0793283	0.0103304	0.161143	0.27616	0.0697499	0.215032
i	0.0146966	0.0207924	0.0451261	0.118609	0.298087	0.465197	0.037492
d	0.0047851	0.0111978	0.0262574	0.0345518	0.123268	0.614865	0.185075
z	0.000442484	0.00106857	0.000752566	0.00768389	0.0248567	0.847287	0.117908
a	0.00839604	0.00513422	0.00835628	0.0832529	0.122788	0.598498	0.173575
l	0.000669621	0.000708697	0.000888062	0.0118816	0.0334588	0.292685	0.659709
á	0.00198064	0.00749168	0.0190826	0.0238195	0.0321725	0.265576	0.649877
p	0.0182497	0.0242423	0.0224846	0.0491365	0.0759097	0.30404	0.505937
í	0.00334581	0.00826351	0.0283119	0.021456	0.0301961	0.669601	0.238826
</S>	0.00113232	0.0021869	0.00820614	0.00957902	0.0123803	0.319683	0.646832
