 	nous	sommes	tombés	d'	accord	pour	partir	à	la	pêche	</S>
b	0.39017	0.5605	0.0120544	0.011992	0.00197085	0.0125332	0.00512546	0.00347137	0.00132351	0.000621473	0.000237979
í	0.793004	0.0951084	0.00283761	0.0316621	0.0270316	0.0255216	0.00314722	0.00758889	0.0121221	0.00118183	0.000794345
s	0.964999	0.018498	0.00182521	0.000863938	0.0112331	0.000889778	0.000753984	0.000309514	0.000479359	8.4207e-05	6.4004e-05
í	0.210922	0.129059	0.0649928	0.0843275	0.281922	0.0428239	0.0097875	0.0370501	0.0909712	0.00208745	0.0460564
l	0.0665152	0.468936	0.116706	0.0300864	0.0137131	0.0220968	0.0340829	0.0276474	0.0312746	0.00242711	0.186515
é	0.0124963	0.0138199	0.1449	0.148869	0.0423431	0.0867427	0.0182816	0.0782387	0.17205	0.00272051	0.279539
y	0.003033	0.0234941	0.887094	0.0320142	0.0331381	0.00441727	0.00246676	0.0031348	0.00463672	7.82112e-05	0.00649304
e	0.0028053	0.0423731	0.684335	0.136102	0.0667203	0.0117163	0.0257931	0.0055947	0.0048986	0.000263201	0.0193982
m	0.00222139	0.123668	0.424061	0.204424	0.0808169	0.0312415	0.0376549	0.0154116	0.0148148	0.000296288	0.0653899
b	0.00124193	0.0122332	0.266984	0.211414	0.318438	0.0560158	0.0962551	0.0157929	0.0078286	0.000179571	0.0136175
i	0.00306076	0.0190714	0.0706448	0.187218	0.296469	0.177986	0.082503	0.0795036	0.0290312	0.000740452	0.0537719
s	0.00635971	0.00664735	0.00775598	0.212607	0.117401	0.471773	0.0748544	0.0606104	0.0278938	0.00261837	0.0114793
i	0.000473866	0.00215561	0.0387466	0.0751784	0.605719	0.0998438	0.130726	0.02035	0.00990162	0.000346929	0.0165583
m	0.00184009	0.00508011	0.00481929	0.15015	0.0509926	0.359667	0.256178	0.0919471	0.0596152	0.00241849	0.0172924
í	0.000512062	0.00917009	0.001124	0.0828512	0.0127048	0.334135	0.373294	0.108478	0.0318033	0.0022373	0.0436907
d	0.00173418	0.005502	0.00151804	0.033059	0.0247071	0.150336	0.273878	0.353953	0.0738869	0.045502	0.0359237
z	0.000103143	0.000601118	0.0062489	0.0105216	0.0213338	0.057241	0.555855	0.126771	0.0630269	0.00498666	0.15331
w	0.000200293	0.00121355	0.0047085	0.0289317	0.00717426	0.0823501	0.538814	0.192126	0.0926683	0.00321487	0.0485989
a	0.000505448	0.0016158	0.00162869	0.0336199	0.0110345	0.111813	0.52779	0.130477	0.0915801	0.00903334	0.080903
l	0.000491109	0.000589297	0.000603891	0.00956731	0.00489604	0.0275779	0.108259	0.279557	0.217236	0.0241446	0.327078
í	0.000236951	0.00191189	0.00456225	0.0113207	0.00887078	0.0405827	0.0449614	0.18194	0.178644	0.0380404	0.48893
t	0.00135921	0.00299516	0.0010865	0.0133786	0.00272658	0.0420551	0.00819231	0.124842	0.420222	0.168503	0.214639
ó	0.0142723	0.0198864	0.00118506	0.00740966	0.000914483	0.0201309	0.130268	0.0843594	0.048786	0.548892	0.123896
a	0.000100522	0.000329571	0.000456771	0.00148934	0.000973154	0.00638361	0.0293932	0.0597933	0.100134	0.644956	0.15599
</S>	0.000409532	0.00269625	0.000934209	0.00971092	0.00135067	0.02043	0.00378059	0.0461269	0.247695	0.120391	0.546476
