 	monsieur	obela	a	abandonné	ses	enfants	</S>
d	0.929491	0.0376769	0.00473371	0.000407055	0.0271237	0.000214436	0.00035334
á	0.965692	0.0140016	0.00461048	0.00247334	0.00336685	0.000965591	0.00889023
o	0.984906	0.00615528	0.00301029	0.000888739	0.00372808	0.000291071	0.00102066
b	0.0785367	0.900873	0.00761809	0.0104823	0.000158158	4.44707e-05	0.00228776
é	0.0021784	0.986317	0.00245164	0.0016716	0.00203904	0.00441222	0.000930237
l	0.0322986	0.858417	0.0158006	0.0443461	0.00102926	0.000813353	0.0472951
a	0.344813	0.494849	0.0419002	0.0165514	0.00720457	0.00273619	0.0919448
á	0.0477015	0.154125	0.626023	0.0803912	0.0293651	0.00121656	0.0611776
m	0.0100256	0.227399	0.408488	0.295208	0.0196812	0.0012572	0.0379418
i	0.00259736	0.034102	0.383253	0.472431	0.0773543	0.00206599	0.0281957
í	0.000309333	0.0408739	0.0668204	0.878864	0.00553079	0.000246882	0.00735491
y	0.000673938	0.0279299	0.128669	0.73316	0.0521611	0.00140972	0.0559962
í	0.00236132	0.0118292	0.191771	0.488948	0.216588	0.00257876	0.0859235
á	0.00238207	0.00345014	0.202872	0.162935	0.346913	0.02499	0.256458
b	0.00210472	0.000976854	0.132301	0.0734672	0.642991	0.108476	0.0396834
á	0.00265051	0.00539149	0.0359122	0.025159	0.106041	0.805301	0.0195447
n	0.00215343	0.00187652	0.0287261	0.013604	0.13641	0.762857	0.0543731
a	0.000587772	0.000247581	0.0111752	0.00707649	0.394343	0.561527	0.0250431
o	0.000461616	0.000798197	0.23582	0.07427	0.341029	0.0167686	0.330853
t	0.0263535	0.0129049	0.0973535	0.372102	0.142271	0.00513262	0.343883
s	0.00587533	0.0144669	0.107202	0.415493	0.0872106	0.00826876	0.361484
a	0.00220432	0.00681171	0.0908701	0.551938	0.0932964	0.0123243	0.242555
</S>	0.000818187	0.000520722	0.0147772	0.0588977	0.125026	0.0616925	0.738268
