 	les	enfants	ont	renversé	de	l'	eau	dans	la	maison	</S>
b	0.467087	0.504704	0.02281	0.000190928	0.00157268	0.001991	0.000309224	0.000333183	0.00096291	8.77539e-06	3.11319e-05
á	0.00912686	0.987212	0.0031901	1.38323e-05	3.71971e-05	6.96453e-05	0.000134288	3.4009e-05	0.000163553	7.97114e-06	1.0478e-05
n	0.0134555	0.979579	0.00509103	4.43944e-05	4.33803e-05	0.000279684	0.00126897	6.13121e-05	7.46485e-05	3.91937e-05	6.27044e-05
a	0.129711	0.79762	0.0516605	0.00060058	0.000855788	0.00197327	0.00571261	0.00145383	0.000874353	0.000550746	0.00898718
á	0.342519	0.219087	0.340896	0.0121773	0.0175541	0.0154358	0.0131338	0.0130732	0.0106704	0.00200557	0.0134481
m	0.0986825	0.0158106	0.362071	0.337996	0.0615143	0.0183558	0.0101584	0.0402615	0.009119	0.00405793	0.0419728
i	0.0173673	0.0111041	0.625704	0.234214	0.0511541	0.0105518	0.0243231	0.0085585	0.00116353	7.65023e-05	0.0157826
p	0.00152371	0.000569166	0.0237634	0.955862	0.0117927	0.00123056	0.000710676	0.00163105	0.000172324	0.000185288	0.00255943
f	0.00140504	0.000256186	0.00695752	0.975512	0.0131989	0.000758776	0.000155175	0.000430509	4.40269e-05	2.9547e-05	0.00125216
u	0.00426428	0.000248314	0.00354242	0.959493	0.0276557	0.00218705	0.000180764	0.000962053	0.000199554	4.79013e-05	0.00121898
s	0.023087	0.00556934	0.0260237	0.631027	0.216872	0.0424269	0.00673496	0.0158897	0.0068314	0.00139688	0.0241413
á	0.0263599	0.000913854	0.00938791	0.441091	0.313339	0.119062	0.0125735	0.0371574	0.0207097	0.00247034	0.0169356
á	0.021264	0.00680885	0.0351253	0.0438644	0.229183	0.435537	0.18663	0.0185805	0.0129969	0.00509487	0.0049144
m	0.00965412	0.00263915	0.019453	0.0241933	0.207762	0.376037	0.240789	0.0758357	0.0275851	0.00946191	0.00658914
á	0.00107371	0.000212763	0.00282459	0.00225127	0.0223476	0.107572	0.814355	0.0339096	0.00636135	0.000341301	0.00875101
a	0.00530958	0.000881326	0.00366047	0.00352047	0.034859	0.239396	0.59621	0.0667732	0.0282124	0.0138361	0.00734226
s	0.00311978	0.000412569	0.00381225	0.0234314	0.0435958	0.150408	0.238078	0.381313	0.0711543	0.0395384	0.0451364
á	0.00322802	3.81286e-05	0.000735329	0.00708139	0.0120457	0.0467951	0.181128	0.460586	0.118127	0.0347575	0.135478
n	0.00492847	0.000213144	0.000729957	0.00250198	0.0108638	0.103554	0.293039	0.206734	0.219359	0.103173	0.0549028
d	0.00316139	0.000749299	0.000336275	0.000241526	0.00569635	0.0996053	0.129329	0.0967105	0.120114	0.533478	0.010579
é	0.00046721	0.000232278	0.000121964	0.000361639	0.0034913	0.0415935	0.0381892	0.0637214	0.0472182	0.785033	0.0195699
e	0.000686906	0.000181748	0.000652547	0.00204897	0.0258001	0.0944933	0.0804112	0.154155	0.160515	0.300544	0.18051
</S>	0.00115595	5.42711e-05	0.00221538	0.00175367	0.0212603	0.0372263	0.0440592	0.228524	0.259142	0.0300599	0.374548
