 	si	tu	ne	bouges	pas	je	ne	te	ferai	pas	de	mal	</S>
w	0.900245	0.0249978	0.00881854	0.0058048	0.00747318	0.0112219	0.0122977	0.0100423	0.00302776	0.00354377	0.010319	0.00201213	0.000195847
á	0.597295	0.0515581	0.00851198	0.0157949	0.0106404	0.0612272	0.0582705	0.151689	0.000923853	0.00203481	0.0134782	0.0281816	0.000394489
á	0.119464	0.0796697	0.140959	0.0650846	0.0457503	0.0875805	0.106054	0.1076	0.0410005	0.0307773	0.0198857	0.0100038	0.146172
n	0.145474	0.384672	0.287434	0.0402458	0.0116626	0.0220743	0.00937099	0.0122308	0.00357346	0.005847	0.017154	0.0187144	0.0415474
ω	0.00997755	0.76359	0.0153795	0.0191398	0.00581077	0.0336523	0.0151105	0.0483063	0.000697296	0.00473146	0.00816091	0.00778444	0.0676589
o	0.0284858	0.304781	0.236046	0.0985567	0.012993	0.0720247	0.0294986	0.0418832	0.00115342	0.00532094	0.00861083	0.00963541	0.15101
d	0.00241154	0.0147637	0.148421	0.652069	0.0342779	0.0251044	0.0122769	0.00935977	0.0308008	0.0102	0.00304167	0.0108133	0.0464606
z	0.000790348	0.00556062	0.0525288	0.529379	0.0285285	0.0149237	0.0159461	0.00637731	0.0150533	0.0138261	0.00400326	0.00753562	0.305547
e	0.0110803	0.0528289	0.0490338	0.789838	0.0107093	0.0294086	0.0169343	0.0121603	0.00258068	0.00117074	0.000860213	0.0057345	0.01766
o	0.00245053	0.0178076	0.102784	0.144387	0.110341	0.0251435	0.0211155	0.00774836	0.0141247	0.0348983	0.0301389	0.00837355	0.480688
t	0.00107566	0.0123203	0.0816497	0.246885	0.302244	0.148132	0.0687957	0.0349118	0.0564288	0.00983706	0.00484475	0.00314967	0.0297253
í	0.000145293	0.00448135	0.0420078	0.191062	0.140879	0.12449	0.0555188	0.0127534	0.205236	0.0220534	0.00988671	0.0453755	0.14611
n	0.000477121	0.0317338	0.0968544	0.108792	0.0988043	0.138607	0.0415596	0.0187034	0.131979	0.0259328	0.00799083	0.0199501	0.278616
a	0.0032941	0.0422194	0.0423245	0.119221	0.166236	0.16195	0.0837824	0.0550749	0.100432	0.0423002	0.0197466	0.0263013	0.137117
a	0.0034792	0.0270056	0.0430932	0.0451836	0.137826	0.111683	0.138876	0.103777	0.224755	0.0640786	0.0353753	0.0135198	0.0513471
k	0.00145585	0.00853821	0.0179607	0.0147917	0.111125	0.130005	0.15957	0.177999	0.16008	0.0819103	0.0491738	0.00979268	0.0775974
a	0.000123432	0.000752943	0.008978	0.019694	0.197895	0.0414353	0.0645068	0.0102451	0.398348	0.0656529	0.0468624	0.0454118	0.100095
á	5.90708e-05	0.000686519	0.00420265	0.00455299	0.0833708	0.0313121	0.0795035	0.034415	0.369164	0.0639603	0.0197257	0.0276309	0.281416
i	0.00292092	0.00519342	0.0177649	0.00476849	0.0592734	0.077122	0.179152	0.183693	0.0748482	0.136673	0.0981286	0.0106569	0.149806
d	0.000374817	0.00239296	0.00725301	0.00756062	0.0314969	0.0378149	0.0551357	0.0817687	0.223791	0.178714	0.102743	0.051088	0.219867
í	0.000291053	0.001527	0.00265172	0.0162575	0.0211307	0.0217199	0.037712	0.0453724	0.0354721	0.134676	0.127484	0.0300087	0.525697
n	0.000141751	0.00101661	0.00345782	0.00661948	0.0850146	0.0186175	0.0534523	0.0401915	0.0567291	0.19051	0.331679	0.0310142	0.181556
ω	0.000170667	0.0116714	0.000401484	0.00587999	0.00518408	0.201028	0.0436892	0.368017	0.0088514	0.0558787	0.0747782	0.101419	0.123031
k	6.05085e-05	0.000484096	0.0011798	0.00145806	0.011813	0.0196766	0.0540044	0.0674564	0.0228854	0.0966391	0.179637	0.0583713	0.486334
y	4.25083e-05	0.000400481	0.00360772	0.00527427	0.0522616	0.0190888	0.0495994	0.0234807	0.169079	0.189919	0.249924	0.123752	0.11357
έ	6.2886e-05	0.000393718	0.00147628	0.0045405	0.0397995	0.0198679	0.0375162	0.020883	0.204855	0.197759	0.279445	0.139482	0.0539195
r	3.30158e-05	0.000381048	0.00238719	0.00217295	0.0330316	0.0268613	0.041422	0.0486231	0.15923	0.202922	0.320996	0.0767094	0.0852307
ε	5.24222e-05	0.00055503	0.000557605	0.00283047	0.0169743	0.0222817	0.0400891	0.0789216	0.165761	0.209421	0.129921	0.15995	0.172684
o	0.000230843	0.000667157	0.00222772	0.00310217	0.0170285	0.0255154	0.0687986	0.132952	0.0243664	0.143565	0.156978	0.0976912	0.326877
t	0.000194792	0.00147148	0.0110735	0.0149215	0.0206157	0.00812045	0.0182797	0.0295752	0.0312725	0.109644	0.250155	0.0986968	0.405979
á	5.527e-05	0.000440616	0.00694519	0.0205567	0.026992	0.010219	0.0213647	0.00924941	0.0650442	0.143627	0.207585	0.165082	0.322838
á	0.000226352	0.00102115	0.00637551	0.00335578	0.0159705	0.0110977	0.0247073	0.0140817	0.0569112	0.0751047	0.118321	0.103805	0.569022
s	0.00372952	0.0041411	0.0138047	0.00560285	0.0253574	0.0388972	0.0979738	0.136135	0.0157625	0.0811029	0.254314	0.132331	0.190848
a	0.000253076	0.00105042	0.00302667	0.0116458	0.00711819	0.0107286	0.010899	0.0117897	0.00983403	0.0534441	0.14181	0.135796	0.602604
k	0.000374567	0.00117273	0.00363003	0.00261985	0.0145501	0.00844794	0.0244551	0.016309	0.00833012	0.0377358	0.32626	0.141881	0.414234
a	0.000684549	0.00326876	0.00274884	0.00456864	0.01477	0.0101681	0.0153175	0.0203357	0.020016	0.05957	0.147638	0.244025	0.456889
á	0.000109789	0.000876901	0.00135283	0.00152022	0.00272789	0.00533645	0.00709104	0.0069775	0.0118742	0.0349745	0.087715	0.0565698	0.782874
</S>	0.00103098	0.00914759	0.0276862	0.0194621	0.0295774	0.0162446	0.0210729	0.033073	0.016875	0.0788645	0.159345	0.0384294	0.549191
