 	le	forgeron	fabrique	une	houe	</S>
o	0.997511	0.00156818	0.000571866	0.00025044	8.28091e-05	1.59013e-05
k	0.222734	0.772303	0.00239104	0.000785505	0.00129357	0.000492404
u	0.0129465	0.983071	0.000281756	0.000271028	0.00180517	0.00162426
b	0.000599374	0.997584	9.50873e-05	0.000363798	0.000876871	0.000480543
h	0.72206	0.125987	0.0445039	0.00938618	0.0381627	0.0599003
a	0.727385	0.174416	0.055573	0.00332964	0.00280981	0.036486
l	0.287745	0.0736705	0.546574	0.0500638	0.0055454	0.0364022
á	0.178539	0.00505857	0.251414	0.0770992	0.0266862	0.461203
a	0.502253	0.00596094	0.339827	0.119166	0.0142256	0.0185672
k	0.0532854	0.154	0.470005	0.239509	0.0575038	0.0256967
y	0.0126786	0.188433	0.308322	0.349134	0.0535355	0.0878974
á	0.145596	0.169932	0.242383	0.256436	0.140427	0.0452258
e	0.00127486	0.00490492	0.234876	0.523681	0.0857171	0.149546
s	0.000912488	0.00157572	0.0883505	0.383267	0.416153	0.109741
έ	0.000139899	0.00198846	0.0157021	0.206933	0.697973	0.0772638
έ	0.000152686	0.000635057	0.0440871	0.136354	0.49571	0.323061
</S>	0.00307197	0.000179989	0.0299992	0.182137	0.470274	0.314338
