 	l'	affaire	est	terminée	ils	se	sont	réunis	pour	discuter	de	l'	affaire	</S>
i	0.280909	0.6689	0.0301285	0.00386653	0.0080851	0.00312524	0.000692236	0.00147708	0.00137615	0.000192906	0.000309659	0.000698361	0.000219682	1.92788e-05
b	0.0673354	0.911528	0.0146355	0.00119328	0.000167366	0.000581482	0.000692403	0.00164217	0.000487385	0.000210696	0.000382715	0.000329358	0.000488687	0.000325583
h	0.0079882	0.981487	0.00438522	0.000520478	0.00271228	0.00071102	7.82666e-05	0.000360277	3.28274e-05	0.000796202	8.82003e-05	4.38735e-05	0.000744983	5.1288e-05
ώ	0.0479096	0.894405	0.0220807	0.00276206	0.0110405	0.00365048	0.000921057	0.00559298	0.000928286	0.00177797	0.000626114	0.000574113	0.00480819	0.00292316
ω	0.598396	0.324012	0.0544102	0.00219917	0.00203966	0.0013034	0.000613582	0.00282829	0.00192748	0.000277743	0.000850184	0.0020833	0.000926576	0.00813167
í	0.226407	0.094366	0.5978	0.00631455	0.0136282	0.0254327	0.0116546	0.00646124	0.00634531	0.00109125	0.00275464	0.00155547	0.000419652	0.00576951
m	0.110156	0.0401933	0.445831	0.0314465	0.0184672	0.0659338	0.0706936	0.0338104	0.0420038	0.00985039	0.0300152	0.0389609	0.0144776	0.0481599
i	0.0166182	0.0313739	0.160531	0.340209	0.046943	0.197417	0.111607	0.0245689	0.0122707	0.0331252	0.00905924	0.00297667	0.000904384	0.0123958
s	0.00753101	0.014727	0.179965	0.255082	0.0159075	0.22719	0.144599	0.089277	0.00855398	0.0253729	0.00713112	0.00262123	0.00133052	0.0207112
í	0.00385119	0.00264417	0.0461328	0.843846	0.00103229	0.0286869	0.0233805	0.0150641	0.0045252	0.0142014	0.00409858	0.00183457	0.000359135	0.0103435
a	0.00541303	0.000444435	0.0166781	0.893773	0.00441615	0.0105544	0.0116228	0.00462586	0.0056684	0.00313837	0.00390522	0.00412206	0.000436732	0.0352013
b	0.00589475	0.00252257	0.0395461	0.170044	0.177854	0.22998	0.212131	0.0717553	0.0470627	0.0110495	0.00766311	0.00836107	0.00177106	0.014364
á	0.00120957	0.00454587	0.00363113	0.0638819	0.810645	0.0688967	0.0145723	0.0106741	0.00172755	0.00996945	0.00124033	0.000367913	0.00734719	0.00129103
a	0.000570934	0.00134227	0.00263735	0.132275	0.761764	0.0493608	0.022185	0.0150363	0.00178202	0.00166236	0.00141053	0.000761935	0.00522531	0.00398658
á	0.000611909	0.00126662	0.0191889	0.0104309	0.0441037	0.257138	0.381154	0.101499	0.0573478	0.0819478	0.0166582	0.00837962	0.00448185	0.0157909
t	0.00268905	0.0061638	0.0248897	0.0160665	0.00457561	0.0631416	0.243457	0.177426	0.169444	0.160725	0.0566574	0.0337109	0.0143803	0.0266733
έ	0.00015306	0.000442029	0.0102795	0.00702092	0.00221638	0.0766736	0.290982	0.360961	0.0468721	0.0667055	0.0590044	0.0414254	0.0193226	0.0179424
n	0.000490142	0.000634365	0.0143891	0.00641493	0.0165568	0.0946111	0.175526	0.323139	0.0805912	0.0915574	0.05677	0.0424041	0.0276715	0.069244
i	0.00475673	0.00166716	0.00835275	0.0199166	0.0134134	0.0465796	0.0962374	0.392871	0.199221	0.0263746	0.0450525	0.0732401	0.0391938	0.0331235
i	0.00258485	0.00100685	0.00801837	0.00891995	0.0127683	0.0262456	0.0765107	0.0639716	0.326543	0.102882	0.107341	0.169876	0.0528662	0.040465
m	0.00493558	0.00393471	0.00359376	0.0262325	0.0104302	0.0117464	0.0322861	0.0862204	0.154667	0.286851	0.123249	0.0626235	0.093095	0.100134
i	0.00134531	0.00363474	0.00268952	0.0169217	0.00123911	0.00409155	0.00830307	0.016302	0.126356	0.54775	0.101177	0.0596655	0.0865644	0.0239596
m	0.00032928	0.000419085	0.000811293	0.0021976	0.000501591	0.00482293	0.0114032	0.0295065	0.111712	0.284234	0.157836	0.123722	0.231525	0.0409787
ω	0.00861481	0.00267064	0.00366115	0.00375237	0.00134256	0.00385326	0.0107128	0.015097	0.0808887	0.455374	0.103985	0.0578522	0.0344194	0.217776
ω	0.00067857	0.00028645	0.000599368	0.00166232	7.89162e-05	0.00148451	0.00543134	0.00832238	0.13643	0.143464	0.104534	0.158276	0.351703	0.08705
ó	0.00358026	0.000780753	0.00229127	0.00216189	0.000603199	0.00342237	0.0099719	0.0168972	0.144395	0.0632555	0.137664	0.167936	0.204895	0.242145
d	0.00357245	0.0061841	0.0161581	0.0321803	0.000964386	0.00787444	0.0164403	0.00837812	0.251714	0.024524	0.0863867	0.352501	0.102819	0.0903031
í	0.00173164	0.00153101	0.00692088	0.0519164	0.000147946	0.00129436	0.00439929	0.00328511	0.112245	0.013049	0.0497203	0.174401	0.0675677	0.51179
a	0.00204551	0.000328082	0.0012235	0.0144379	0.000211862	0.00176948	0.0107244	0.0108313	0.216577	0.0150738	0.0803183	0.289548	0.17853	0.17838
</S>	0.00213094	0.00227698	0.00361287	0.0250228	0.00101186	0.00337233	0.00813023	0.0152422	0.0773414	0.0216199	0.0867392	0.308053	0.25802	0.187427
