 	quand	nous	étions	au	ruisseau	vouma	nous	avons	vu	de	petits	enfants	pêcher	à	la	ligne	dans	un	étang	où	des	femmes	avaient	déjà	péché	à	l'	écope	</S>
e	0.840084	0.0717787	0.00332136	0.0151855	0.021563	0.0120376	0.0220493	0.00641797	0.000426313	0.0011799	0.00124088	0.000213965	0.000429099	0.000458282	0.000388941	0.00016937	0.000143612	0.000129153	3.63663e-05	0.000384254	0.000671767	5.50467e-05	0.000594905	0.000228066	0.00016309	0.000189023	0.000357735	6.12716e-05	4.15731e-05
d	0.215444	0.00849624	0.398523	0.206636	0.0781333	0.00319759	0.00723198	0.00916377	0.014256	0.0146269	0.00129149	0.000575869	0.00213464	0.00218426	0.00166111	0.00253076	0.002712	0.00246387	0.00216593	0.00107039	0.00153312	0.000608953	0.00483704	0.00136633	0.00237425	0.00148401	0.00155241	0.00691098	0.00483316
z	0.0270467	0.00106373	0.827079	0.0927928	0.0291694	0.00234502	0.000904125	0.00220759	0.00186189	0.00225051	0.000305329	6.44883e-05	0.000643772	0.000754519	0.000595654	0.000988836	0.000803053	0.000605082	0.000614493	0.000237984	0.000361204	0.000913542	0.0010777	0.000304223	0.0005618	0.000109137	7.16587e-05	8.31092e-05	0.00418385
e	0.0294527	0.00173442	0.934653	0.00659605	0.00880173	0.0137824	0.000212826	0.000293622	0.000159346	0.000606822	0.000264724	0.000107589	0.000173749	0.000218481	0.000134921	6.18519e-05	0.000144279	0.0001117	0.000535601	9.87702e-05	0.000110732	0.000302354	0.000150838	7.41521e-05	0.000140536	3.16422e-05	3.70405e-05	6.44644e-05	0.000943348
b	0.0470031	0.0262721	0.1407	0.0715332	0.0501375	0.0067817	0.0255065	0.0247664	0.0168621	0.0389497	0.0152019	0.00761782	0.0168073	0.0181063	0.0240687	0.0419537	0.0242722	0.0229785	0.0198183	0.0173627	0.0090155	0.0142756	0.0197265	0.0082793	0.0157794	0.0117127	0.0165761	0.00439755	0.243537
í	0.149073	0.0501173	0.0648768	0.184627	0.0573278	0.0130823	0.0211775	0.0704681	0.0365739	0.0347865	0.0225444	0.0223936	0.0219542	0.0198405	0.020999	0.0112795	0.01187	0.0297786	0.0143388	0.0174721	0.0114541	0.00394222	0.021625	0.00665001	0.00704586	0.00888914	0.00643554	0.00186402	0.057513
s	0.0492977	0.609858	0.00879144	0.018184	0.0129162	0.0210738	0.0730208	0.0145318	0.00281393	0.00998867	0.0336221	0.0716753	0.00495016	0.0050015	0.00517296	0.00625705	0.00445081	0.00453752	0.00134637	0.00419374	0.00481742	0.00275801	0.00278199	0.00235309	0.00555037	0.00335351	0.00316424	0.00113597	0.0124019
í	0.24695	0.0970366	0.00967316	0.0348894	0.0243088	0.119448	0.0250527	0.0279893	0.00115456	0.0224157	0.113775	0.0724698	0.0194296	0.0260166	0.017244	0.00351414	0.00781891	0.0141986	0.00883751	0.0224098	0.036067	0.0135924	0.0128655	0.00397214	0.00095663	0.00429673	0.00275827	4.18484e-05	0.0108179
ó	0.042238	0.245656	0.148916	0.194604	0.144628	0.0224996	0.0370108	0.020185	0.00769448	0.0158966	0.0122159	0.0125999	0.00422117	0.00505136	0.00647269	0.0119367	0.00676981	0.00402213	0.00408266	0.00582315	0.00384672	0.00324328	0.00561065	0.00201713	0.0015028	0.00407319	0.007787	0.00042641	0.0189691
w	0.0055959	0.0074985	0.200197	0.568985	0.120873	0.0154672	0.00305705	0.0137165	0.0250782	0.00633993	0.000557541	0.000790878	0.00190615	0.00206271	0.00189987	0.00470693	0.00209037	0.00167158	0.0012332	0.000848692	0.00135308	0.00174826	0.00388232	0.00154535	0.0013555	0.00162001	0.000832071	0.00160277	0.00148438
