 	il	n'	a	pas	encore	de	femme	il	ne	connaît	pas	son	bonheur	</S>
w	0.811443	0.081292	0.00864614	0.0111242	0.0324452	0.0369281	0.00218484	0.00600877	0.00278329	0.000255664	0.00434749	0.00143059	0.000825402	0.000285287
a	0.653357	0.162335	0.0167811	0.0276044	0.0410032	0.0779776	0.0119124	0.00437179	0.00130376	0.000165063	0.00144891	0.00164344	5.47892e-05	4.12188e-05
a	0.103135	0.413628	0.178695	0.0815278	0.0470398	0.0767068	0.0216872	0.0241191	0.0222402	0.00422184	0.0106406	0.013323	0.000196864	0.00283808
s	0.0687044	0.240705	0.227048	0.10602	0.0846037	0.0338483	0.0448097	0.024781	0.0366488	0.0343511	0.0132559	0.0480549	0.0102649	0.0269043
á	0.0106608	0.145463	0.179107	0.229068	0.128388	0.0213142	0.071173	0.00512046	0.0207387	0.0342102	0.0111753	0.0219907	0.000991607	0.1206
a	0.0795678	0.0318397	0.162882	0.218041	0.189166	0.114978	0.0437955	0.00967547	0.0119581	0.0193876	0.0287294	0.0124569	0.000648697	0.0768738
a	0.0311329	0.0238568	0.147233	0.149785	0.269837	0.163801	0.114504	0.0457174	0.0168891	0.0149687	0.00677506	0.00517704	0.000554193	0.00976901
y	0.00120804	0.0126712	0.0692684	0.154537	0.208719	0.132306	0.266315	0.0163251	0.0384586	0.0411314	0.00726464	0.0257099	0.00421072	0.0218745
ú	0.00145896	0.012843	0.0381167	0.137958	0.0967807	0.0756243	0.397165	0.00937831	0.0285831	0.138809	0.0164993	0.0104206	0.000489177	0.0358735
r	0.00905782	0.00514881	0.0409689	0.200568	0.0744163	0.0946418	0.102741	0.0272717	0.030643	0.0496267	0.0198516	0.0226371	0.000673434	0.321754
u	0.0159906	0.0310401	0.0791439	0.312741	0.109404	0.246883	0.0436042	0.0442129	0.027727	0.0165508	0.0333851	0.0144454	0.000458735	0.0244131
o	0.00939072	0.00830423	0.0967537	0.103575	0.108939	0.218567	0.0228785	0.220996	0.0828439	0.0643271	0.0334153	0.0139203	0.00152368	0.0145646
y	0.000860863	0.0042874	0.0181206	0.0474249	0.105932	0.0643118	0.244585	0.0408226	0.128105	0.310566	0.00594559	0.00910013	0.0118288	0.00810977
é	0.000224945	0.00185368	0.00977635	0.0600585	0.0378452	0.0887386	0.15559	0.0106253	0.0877414	0.511916	0.0210357	0.00733115	0.00116284	0.00610091
b	0.000391193	0.000697774	0.020926	0.088716	0.0455945	0.121408	0.0270053	0.0434218	0.147364	0.308701	0.0568523	0.0260379	0.00162135	0.111263
h	0.000191091	0.000441378	0.00763935	0.036444	0.0754058	0.0508288	0.000982105	0.0251672	0.115455	0.575611	0.0533118	0.0136801	0.0185907	0.0262516
a	0.00327724	0.0034955	0.0526425	0.157378	0.140616	0.112921	0.0191369	0.0540075	0.0659679	0.116141	0.0265792	0.0175329	0.00514946	0.225155
k	0.00169066	0.00143465	0.00901633	0.0227767	0.0271931	0.094646	0.00252989	0.214251	0.189819	0.148307	0.165058	0.0353213	0.00377548	0.0841806
a	0.00147299	0.00185265	0.00373376	0.0177732	0.105813	0.0897837	0.00321136	0.0234416	0.220841	0.318952	0.106456	0.0311717	0.0334914	0.042005
á	0.000201118	0.000498109	0.0017712	0.00717399	0.0627239	0.0257799	0.000806797	0.0372049	0.139419	0.178293	0.0993763	0.0508122	0.0452025	0.350737
a	0.00497794	0.00171126	0.0128743	0.00976371	0.0135998	0.0253332	0.00732204	0.101049	0.0723521	0.0911744	0.361066	0.165767	0.0275503	0.105459
s	0.000560298	0.00386206	0.0123707	0.0114507	0.0147703	0.0138712	0.00455742	0.00475596	0.0347387	0.117766	0.143972	0.408012	0.178764	0.0505486
á	0.00069969	0.00107363	0.00358318	0.0126719	0.00515644	0.0140382	0.0076511	0.00205213	0.0195789	0.216504	0.302274	0.242197	0.0225228	0.149997
a	0.000810611	0.000360195	0.00369337	0.0112294	0.0123332	0.0456821	0.00085484	0.00748289	0.0347086	0.0686048	0.323816	0.220879	0.0754157	0.194129
ω	0.00218362	0.0010475	0.00279634	0.00504427	0.00710656	0.0178833	0.0029639	0.0270956	0.0306223	0.0422794	0.197122	0.209468	0.250652	0.203735
b	7.71787e-05	0.0018552	0.0051476	0.0108642	0.0101783	0.0110523	0.00936224	0.00134773	0.011697	0.020566	0.0414096	0.357297	0.425171	0.0939754
v	7.96666e-05	0.00103111	0.00331921	0.0101101	0.0182482	0.00494292	0.00179082	0.00157277	0.0161471	0.013	0.0139718	0.242022	0.593483	0.0802808
έ	0.000324618	0.000460401	0.0025355	0.0151007	0.0136642	0.0203781	0.00320994	0.00798994	0.0503502	0.02627	0.0230729	0.273527	0.474067	0.0890497
ω	5.75731e-05	5.65006e-05	0.000572675	0.00353353	0.00106832	0.00480202	0.000156022	0.00399717	0.0129267	0.0137071	0.0657939	0.21865	0.0499124	0.624766
t	0.000580585	0.00146898	0.00895446	0.0160136	0.00805802	0.0193408	0.00114516	0.00697417	0.014139	0.0142238	0.0847955	0.298512	0.156922	0.368871
á	7.55166e-05	0.000833708	0.00338248	0.0114952	0.0157562	0.00645148	0.0013499	0.00191059	0.0172112	0.0485811	0.0412021	0.220436	0.280852	0.350463
a	0.000276554	0.000676849	0.00434839	0.00737497	0.0174437	0.0087641	0.000486388	0.002652	0.0181977	0.0685833	0.0683338	0.185372	0.17674	0.44075
k	0.00108425	0.0010809	0.0031657	0.007327	0.00990931	0.0140804	0.00196725	0.0287886	0.0326888	0.0173991	0.128538	0.277345	0.145113	0.331512
a	5.0951e-05	0.000206805	0.000578173	0.00181604	0.0106087	0.00387885	4.96149e-05	0.000934135	0.00695546	0.0168028	0.100955	0.125804	0.458765	0.272594
