 	cette	parcelle-ci	est	la	mienne	</S>
e	0.549792	0.257075	0.144204	0.0349088	0.0118793	0.0021406
f	0.0288447	0.93596	0.020291	0.00776914	0.00483639	0.00229837
u	0.0654739	0.747583	0.129934	0.018313	0.00474781	0.0339482
n	0.0294929	0.953926	0.0118291	0.000797913	0.000194687	0.00375974
d	0.15677	0.715078	0.0498434	0.00795289	0.00318443	0.067172
u	0.640052	0.22739	0.0255649	0.0262889	0.0347423	0.0459609
y	0.36909	0.360415	0.203504	0.023497	0.00248652	0.0410075
é	0.812494	0.0558859	0.0728859	0.0461809	0.0026503	0.00990285
y	0.312287	0.0337888	0.131826	0.379402	0.128287	0.0144085
á	0.426285	0.210528	0.120438	0.170745	0.0539005	0.0181038
n	0.269131	0.0368668	0.0284307	0.54012	0.117199	0.00825287
a	0.0120893	0.0109249	0.0115319	0.0877317	0.867408	0.0103144
á	0.0171355	0.0046011	0.369102	0.238369	0.0492138	0.32158
</S>	0.0367649	0.0193249	0.145581	0.115712	0.0695342	0.613083
