 	le	fleuve	est	maintenant	calme	</S>
n	0.508673	0.474783	0.00845978	0.00779432	0.00016962	0.000120469
z	0.61741	0.38171	0.000496573	0.000257206	8.07488e-05	4.48465e-05
á	0.0992238	0.888686	0.00585763	0.00259438	0.00242831	0.00121022
l	0.214607	0.56894	0.0510621	0.0118362	0.00650921	0.147045
é	0.351022	0.426502	0.0458798	0.00883329	0.00739569	0.160367
é	0.157681	0.0749066	0.621258	0.121798	0.00400802	0.0203479
b	0.0597087	0.0248063	0.693077	0.184295	0.016097	0.0220158
h	0.00755819	0.0201807	0.377506	0.558832	0.0140557	0.0218675
í	0.0268061	0.0254239	0.218638	0.641918	0.0183175	0.0688965
e	0.0215527	0.0182797	0.173635	0.419002	0.110735	0.256795
l	0.00535896	0.010956	0.13196	0.285854	0.437197	0.128674
ώ	0.00236123	0.00148286	0.0657986	0.238229	0.629326	0.0628017
m	0.0013352	0.00121577	0.0563913	0.104722	0.750001	0.0863348
b	0.0131634	0.00224784	0.0701609	0.0906003	0.360732	0.463096
ώ	0.0440443	0.0114078	0.0713565	0.363501	0.0596748	0.450015
l	0.0356189	0.00556333	0.0493225	0.251964	0.179438	0.478093
ω	0.00653613	0.00219656	0.0449904	0.0855369	0.544785	0.315955
m	0.00878773	0.00188033	0.013497	0.0205687	0.693393	0.261873
b	0.027338	0.00577676	0.02592	0.0578913	0.357232	0.525842
ω	0.0177372	0.0175723	0.0204635	0.206905	0.0583883	0.678934
</S>	0.002589	0.000503972	0.0135567	0.0198563	0.137742	0.825752
