 	notre	maman	vend	de	l'	arachide	au	marché	</S>
n	0.761606	0.0211957	0.18026	0.0180696	0.0116894	0.00212291	0.00350639	0.000858495	0.00069192
g	0.276121	0.712303	0.000298561	0.00062512	0.00144648	0.00906827	8.89611e-05	3.90853e-05	9.50675e-06
ó	0.147536	0.84719	0.000412371	0.000230976	0.000760492	0.00371754	6.74406e-05	6.72823e-05	1.82754e-05
o	0.136323	0.854197	0.00180859	0.000584963	0.00174069	0.00486175	0.000257023	0.000144955	8.20337e-05
y	0.789911	0.0256642	0.0888235	0.0449113	0.0169009	0.00564356	0.0135714	0.00192017	0.0126543
a	0.985299	0.00136967	0.00378096	0.00231509	0.00251264	0.000910733	0.00215658	0.000620912	0.00103451
b	0.993078	0.000353077	0.00115816	0.00145423	0.00112009	0.000256372	0.000767674	0.000255797	0.00155614
í	0.921786	0.000648891	0.0376302	0.0166869	0.00646933	0.00182312	0.00439432	0.00764291	0.00291834
s	0.993003	0.0011532	0.00403955	0.000733674	0.000285668	2.02575e-05	0.0001162	0.000250144	0.000397894
í	0.5192	0.0111906	0.0223126	0.0418955	0.0536092	0.0263091	0.0203815	0.0447183	0.260384
l	0.0343218	0.00178197	0.450466	0.287849	0.114903	0.0300688	0.0365362	0.00856278	0.0355102
á	0.133151	0.00105185	0.210657	0.257672	0.112979	0.0354752	0.0461715	0.0119659	0.190877
a	0.162811	0.00041146	0.258236	0.297248	0.185246	0.04173	0.0212567	0.00771853	0.0253427
k	0.000922062	0.000167804	0.169709	0.254728	0.12741	0.413496	0.00839577	0.0144022	0.0107694
i	1.18613e-05	7.54492e-05	0.517793	0.144094	0.0519599	0.227073	0.00971741	0.00489554	0.0443807
r	9.78414e-05	8.26499e-06	0.267892	0.314273	0.144616	0.18883	0.029581	0.00600449	0.0486976
á	0.00151018	1.19756e-06	0.0571199	0.288075	0.265853	0.226536	0.0167367	0.015549	0.128618
n	0.000540489	2.60998e-05	0.00349205	0.173124	0.298993	0.208675	0.249841	0.0523266	0.012981
d	0.0117493	3.58161e-05	0.000953666	0.0729288	0.318893	0.439293	0.0493689	0.0537672	0.0530105
z	0.00129311	0.000418052	0.000222438	0.00989879	0.0484553	0.866974	0.0300885	0.023296	0.0193535
o	0.000114899	1.64625e-05	8.13736e-05	0.00257933	0.0108955	0.934728	0.00566715	0.033013	0.0129044
ó	0.00289952	7.92211e-05	0.00910914	0.0680985	0.0955801	0.457207	0.0284526	0.177855	0.160719
ó	0.000162554	6.88496e-06	0.0113747	0.0603535	0.053497	0.0259147	0.618652	0.0340626	0.195976
d	0.000162892	1.51848e-05	0.0117674	0.0293402	0.0368796	0.0423781	0.269359	0.428968	0.18113
z	5.51872e-05	4.16585e-06	0.00087431	0.0109315	0.00738093	0.00596996	0.0762566	0.56444	0.334088
á	0.000756287	1.38332e-05	0.000218039	0.0129851	0.0373198	0.182214	0.0667736	0.616486	0.0832334
n	0.000993519	6.48918e-06	0.000949641	0.0219319	0.0403013	0.0128709	0.0895377	0.443937	0.389471
d	0.000103052	1.71013e-05	0.000238574	0.00301672	0.007422	0.0148274	0.0171202	0.589166	0.368089
e	0.000304345	0.000593664	0.000752441	0.00710437	0.0138594	0.152211	0.0377216	0.302031	0.485422
</S>	9.4161e-06	7.33304e-06	0.000660176	0.00769677	0.0160751	0.046011	0.060484	0.166847	0.702209
