 	il	m'	a	catégoriquement	refusé	son	vélo	</S>
w	0.954132	0.0344547	0.00343207	0.00134222	0.00178682	0.00414881	0.00063249	7.05849e-05
a	0.928521	0.0544986	0.00437399	9.36106e-05	0.00221977	0.00880515	0.00147465	1.3315e-05
á	0.131573	0.557883	0.270529	0.00658798	0.0192924	0.00590829	0.000924725	0.00730188
n	0.0343043	0.453357	0.354717	0.0298908	0.0724079	0.0211702	0.00812865	0.026024
y	0.0114604	0.857886	0.0568559	0.0113152	0.0393529	0.00278023	0.00830313	0.012046
í	0.0209009	0.669335	0.0759835	0.0449649	0.124743	0.0398332	0.0148639	0.0093758
m	0.016949	0.274316	0.383578	0.103232	0.0971751	0.0517541	0.0449095	0.028086
i	0.27039	0.133748	0.320326	0.239794	0.00995895	0.0141673	0.000160475	0.0114567
n	0.0524423	0.428271	0.286512	0.141915	0.0593103	0.0168693	0.00396313	0.010716
g	0.0112504	0.742639	0.0544522	0.0413378	0.0981004	0.0315067	0.00356588	0.0171473
á	0.00200121	0.759481	0.0638813	0.0684503	0.0939316	0.00620469	0.00359629	0.00245378
l	0.0231092	0.0482035	0.24365	0.337494	0.194541	0.107394	0.0209074	0.0247
e	0.00267447	0.0472999	0.14042	0.443286	0.145837	0.0234895	0.00836036	0.188633
n	0.000963137	0.00464842	0.0591216	0.642548	0.17322	0.0156881	0.00639302	0.0974179
d	0.000265056	0.0358988	0.0348022	0.217385	0.636066	0.0531495	0.00702062	0.0154125
y	0.000103554	0.0325437	0.0198261	0.309899	0.58203	0.0300175	0.0118102	0.0137707
e	4.45156e-05	0.0014384	0.00499494	0.836796	0.117979	0.0174598	0.00373548	0.0175518
m	0.00102613	0.00865289	0.0181669	0.232545	0.426682	0.0659487	0.115981	0.130998
i	0.0061225	0.0115383	0.0139926	0.415385	0.284435	0.0943593	0.0197595	0.154408
ó	0.0079726	0.0274869	0.0373107	0.0381966	0.241232	0.308042	0.055093	0.284666
t	0.00148629	0.027269	0.079818	0.0439668	0.245773	0.162309	0.307668	0.13171
s	0.000378346	0.00454097	0.0347216	0.0551498	0.106281	0.0701474	0.486817	0.241964
ω	0.000482408	0.000318199	0.0124922	0.237877	0.181517	0.04795	0.238016	0.281347
k	3.04052e-05	0.000322377	0.00623563	0.040754	0.131095	0.138043	0.176919	0.5066
í	0.00245926	0.00106869	0.005829	0.0231726	0.0962833	0.335189	0.0953242	0.440674
í	0.000227933	0.0003076	0.000555628	0.00500291	0.0328522	0.0532937	0.199258	0.708502
l	0.000616606	0.0031213	0.00656022	0.0025992	0.0282847	0.226714	0.135856	0.596248
í	0.00224591	0.0169248	0.029444	0.0188739	0.0770827	0.0759457	0.210523	0.56896
k	0.00161372	0.00911805	0.00489659	0.00404419	0.0315197	0.269648	0.367967	0.311193
i	0.000121715	0.000603814	0.00152644	0.00786108	0.021155	0.0631689	0.816322	0.0892415
</S>	7.49412e-05	0.000200847	0.0069597	0.0160176	0.0126786	0.023636	0.141292	0.79914
