 	l'	homme	qui	est	arri	vé	dans	le	village	est	un	brigand	</S>
i	0.436154	0.377852	0.0388575	0.018169	0.0420317	0.0177308	0.0308941	0.0245524	0.00564184	0.00259478	0.00523331	8.74271e-05	0.000201715
b	0.0487632	0.79941	0.0187249	0.0135872	0.00950276	0.0236737	0.0412966	0.0143297	0.00445607	0.0060455	0.0144956	0.00477444	0.00094042
a	0.00409417	0.979039	0.00143605	0.00132914	0.00740133	0.00061428	0.00121183	0.00138464	0.00100189	0.000491958	0.000879337	0.000382201	0.000734344
a	0.0614109	0.840653	0.0119469	0.0156454	0.0109239	0.00749029	0.0125118	0.0119244	0.000318498	0.00218879	0.00164924	0.000513523	0.0228233
l	0.402435	0.0914486	0.157576	0.104788	0.0633797	0.0368874	0.0359885	0.0278493	0.000672403	0.0230982	0.0123003	0.000564856	0.0430115
í	0.0506795	0.0122727	0.0963269	0.060351	0.0262689	0.140848	0.0864127	0.0563415	0.00232249	0.0721742	0.033098	0.00861996	0.354284
í	0.209724	0.0399535	0.171688	0.0963532	0.158478	0.112552	0.0437301	0.0412611	0.0137755	0.0164098	0.0152527	0.00719913	0.073623
m	0.00348871	0.00307656	0.0950205	0.219027	0.201904	0.319797	0.0952421	0.0194996	0.00637951	0.0122869	0.0126177	0.00330663	0.008354
i	0.0166033	0.0113683	0.120718	0.230533	0.108142	0.401233	0.0410299	0.0301107	0.0035731	0.0195477	0.00619675	0.00336073	0.00758356
y	0.0104725	0.0136682	0.0815919	0.236501	0.249265	0.237863	0.0796383	0.0246503	0.0087923	0.015887	0.0067565	0.003186	0.0317283
a	0.00639368	0.00392957	0.0857318	0.243026	0.132368	0.270922	0.108183	0.0329694	0.0320161	0.00679642	0.0055706	0.0334707	0.0386223
á	0.00623923	0.000981662	0.119251	0.263005	0.0429758	0.289656	0.10879	0.0448598	0.0146491	0.00863213	0.00717916	0.00840186	0.0853789
s	0.00514089	0.000739136	0.0258143	0.10936	0.0599637	0.304646	0.265131	0.135816	0.069591	0.00900391	0.0079721	0.00315951	0.00366172
á	0.00504395	0.000999199	0.0335808	0.0852321	0.0205761	0.331425	0.264462	0.166184	0.0086039	0.0164191	0.00742252	0.0188767	0.0411749
p	0.00627702	0.00131879	0.00577016	0.0182578	0.0073904	0.037917	0.0381145	0.102595	0.743844	0.00464871	0.00315395	0.0273966	0.00331639
o	0.000212143	0.00175047	0.00088927	0.00171517	0.00169598	0.00105394	0.00462644	0.0131005	0.970295	0.00080269	0.000142159	0.00271778	0.00099841
o	8.5609e-05	0.000332097	0.000943919	0.00400428	0.00768177	0.00247166	0.018731	0.0376136	0.921746	0.00203005	0.00110993	0.0020591	0.0011905
d	0.000749489	0.000321269	0.0187987	0.0275986	0.0165758	0.0760432	0.268213	0.30733	0.0683126	0.112321	0.0793933	0.00858866	0.0157542
í	0.0155318	0.00157644	0.0456083	0.0284693	0.00428561	0.0614175	0.214385	0.158602	0.0891513	0.0844787	0.0296946	0.125103	0.141696
í	0.00288129	0.000886532	0.0232997	0.0275601	0.00791298	0.0782145	0.123393	0.168613	0.162934	0.190607	0.0978893	0.0509152	0.0648924
d	0.000775688	0.000478013	0.0120341	0.0117343	0.00440627	0.0392733	0.0722691	0.0535493	0.0141773	0.407005	0.257208	0.0604505	0.0666386
í	0.00200734	0.000262108	0.0200985	0.0182301	0.000854101	0.027602	0.0839113	0.0219246	0.00361617	0.209984	0.144359	0.118002	0.349148
e	0.00172052	0.000173574	0.00629766	0.00994985	0.00156306	0.0230717	0.0810781	0.0426706	0.0437855	0.209632	0.288924	0.0889042	0.202229
d	0.000670534	0.000734391	0.00177102	0.00400417	0.0027718	0.00462015	0.0117409	0.0100848	0.0106594	0.0846031	0.263967	0.461785	0.142588
z	0.00022834	0.000110709	0.00595371	0.00929513	0.000935358	0.00468135	0.0309521	0.00850874	0.00380255	0.0348916	0.26902	0.521088	0.110532
w	0.000784958	0.000133752	0.0066988	0.0104233	0.000519869	0.00360404	0.0145329	0.0131345	0.00946539	0.0132345	0.0470282	0.848919	0.0315213
a	0.000836632	0.000134723	0.000725059	0.00226914	0.000345401	0.000741087	0.0135047	0.016502	0.00795569	0.0181192	0.0704329	0.743355	0.125078
a	0.000449102	4.78733e-05	0.00139712	0.00222082	0.000166231	0.00263963	0.0174127	0.0119507	0.00140489	0.0596541	0.115617	0.14889	0.63815
n	0.00360528	0.000794343	0.020162	0.0228346	0.00950468	0.0367474	0.0613226	0.0416434	0.00289218	0.145305	0.32908	0.122698	0.20341
i	0.0162181	0.00155544	0.0231791	0.0230763	0.00308532	0.0939541	0.0676575	0.0463971	0.00153041	0.0566751	0.129185	0.307734	0.229752
</S>	0.000199316	7.12563e-05	0.00163911	0.00162947	0.00109936	0.00455129	0.0167832	0.0309556	0.00144541	0.070553	0.135413	0.159453	0.576207
