 	les	légumes	se	sont	répandus	dans	mon	champ	</S>
a	0.775662	0.213954	0.00860202	8.68917e-05	7.18581e-05	0.000187798	0.00138383	3.37956e-05	1.759e-05
t	0.0627307	0.900169	0.0238112	0.00299605	0.00675048	0.00158242	0.000801686	0.000260883	0.000897609
ú	0.0167087	0.954431	0.0197462	0.00109743	0.00196056	0.00199095	0.000905086	0.000804349	0.00235597
n	0.0241629	0.874733	0.0726192	0.00745161	0.00586505	0.0084983	0.000376783	0.00148854	0.00480497
g	0.471064	0.386049	0.104199	0.0085527	0.0037124	0.00605436	0.003455	0.000938071	0.0159748
u	0.233912	0.682282	0.0650954	0.0025524	0.00525899	0.00148012	0.00107761	0.00210845	0.00623292
á	0.026527	0.0285759	0.848842	0.0775234	0.000647504	0.0111535	0.000524465	3.0552e-05	0.00617562
m	0.0291221	0.0232544	0.339887	0.492133	0.0596451	0.0441737	0.0026241	0.0020032	0.00715703
i	0.0177089	0.00484837	0.135496	0.515546	0.215201	0.0997614	0.00316207	0.000238714	0.00803785
b	0.000682925	0.00142045	0.0194204	0.654994	0.285075	0.0322034	0.000955846	0.000408075	0.00484045
h	0.00215468	0.0010234	0.0342274	0.430214	0.498656	0.0252976	0.00149543	7.10986e-06	0.00692378
a	0.000726814	0.00103651	0.0107565	0.188594	0.779119	0.0158896	0.000416823	9.27306e-06	0.00345107
n	0.00160233	0.00208389	0.0389507	0.0955675	0.797602	0.0537134	0.00222188	0.00028891	0.00796942
g	0.0116447	0.00283005	0.0411312	0.187689	0.586789	0.12853	0.0200387	0.00146035	0.0198861
á	0.0182736	0.00316051	0.0385262	0.0421021	0.649044	0.0976639	0.0309117	0.0107925	0.109526
s	0.0101077	0.00128239	0.0233144	0.0670234	0.115543	0.535574	0.174127	0.0566925	0.0163354
á	0.00640326	0.000428731	0.00150285	0.0131297	0.0631296	0.502789	0.282751	0.0116327	0.118233
k	0.0120253	0.00465244	0.00345225	0.00755675	0.041111	0.292487	0.124247	0.501634	0.0128337
u	0.0073074	0.00490648	0.00758967	0.00545781	0.220458	0.673604	0.035224	0.0175547	0.0278979
b	0.00193172	0.000920333	0.00192035	0.00548357	0.454558	0.452761	0.00454367	0.00680527	0.0710761
h	0.0343807	0.00163495	0.00389451	0.0121946	0.241688	0.338773	0.0686594	0.0084852	0.29029
á	0.00381114	0.00146644	0.00431006	0.00966657	0.050991	0.245667	0.0493156	0.0097917	0.62498
</S>	0.00595566	0.000298233	0.00395948	0.00614312	0.00117592	0.0570769	0.337846	0.030674	0.55687
