 	les	bananes	sont	pleines	</S>
a	0.710553	0.272562	0.0150439	0.00109473	0.000745565
k	0.0784782	0.853528	0.0209426	0.0382522	0.0087991
ω	0.00686866	0.9814	0.000583904	0.00951618	0.00163134
á	0.0115297	0.940181	0.0236923	0.00489061	0.0197061
s	0.202015	0.0246154	0.592932	0.0156345	0.164803
á	0.230965	0.000794439	0.377001	0.00983283	0.381407
a	0.4754	0.017188	0.424596	0.01962	0.0631952
ω	0.286857	0.00845584	0.332472	0.162655	0.20956
b	0.0149058	0.00319076	0.15976	0.667586	0.154558
ε	0.00967104	0.0109758	0.0306691	0.839675	0.10901
n	0.0311583	0.00841052	0.0665968	0.499269	0.394566
g	0.660061	0.0237686	0.0686543	0.192982	0.0545345
ε	0.709102	0.0355189	0.0412999	0.13329	0.0807895
k	0.0353923	0.000577164	0.274904	0.273506	0.415621
a	0.105017	0.0207041	0.317164	0.215868	0.341248
á	0.00515763	0.00109485	0.061101	0.107324	0.825323
</S>	0.0198749	0.000277397	0.293788	0.0789694	0.607091
