 	la	forêt	de	mbonga	est	encore	giboyeuse	</S>
m	0.488517	0.368403	0.127821	0.0125874	0.00135218	0.00122509	8.16257e-05	1.29725e-05
w	0.137604	0.180152	0.417722	0.184295	0.0406369	0.0148467	0.000243385	0.0245006
á	0.109182	0.0854055	0.0521346	0.749245	0.000950418	0.00106957	0.00172634	0.000286415
n	0.0882767	0.132357	0.0938424	0.567673	0.0112878	0.000810134	0.00262184	0.103131
d	0.265757	0.449086	0.101661	0.125955	0.0139244	0.00169276	0.00324935	0.0386733
z	0.181702	0.226076	0.117516	0.43355	0.0148621	0.000806606	0.0021199	0.023367
a	0.256062	0.104991	0.0332223	0.568929	0.00688779	0.000399919	0.00228888	0.0272191
m	0.135079	0.0706468	0.614352	0.0457076	0.108814	0.00987309	0.000680044	0.0148478
á	0.397782	0.0205428	0.247884	0.171279	0.12718	0.0117055	0.00218937	0.0214373
m	0.242519	0.0186893	0.373004	0.2092	0.0888823	0.0469177	0.00718968	0.0135978
b	0.020903	0.00144107	0.183913	0.588447	0.147736	0.0318225	0.001038	0.0246985
o	0.000378544	0.000958736	0.00481654	0.983705	0.00676514	0.000174005	0.00111348	0.0020886
n	0.0160896	0.033187	0.036089	0.841401	0.0615563	0.00410842	0.000490262	0.00707794
g	0.0117528	0.0135483	0.0871971	0.793883	0.0388243	0.00445646	0.00408126	0.046257
a	0.0460929	0.0212749	0.0364308	0.831714	0.0503255	0.00287435	0.00227024	0.00901691
ó	0.02082	0.00319676	0.104099	0.0121282	0.576766	0.205558	0.0111482	0.0662846
s	0.025123	0.00899236	0.0247988	0.00698355	0.0886803	0.668096	0.0570168	0.12031
á	0.00594937	0.000223194	0.00536759	0.00242466	0.0166982	0.729876	0.0324224	0.207039
a	0.00314306	0.00130065	0.0200176	0.0023828	0.0210388	0.594781	0.202458	0.154877
l	0.00338495	0.00146699	0.00465919	0.00436175	0.0186617	0.142205	0.604935	0.220326
a	0.0127918	0.00354193	0.00948152	0.00996414	0.0356178	0.085666	0.455174	0.387763
n	0.004988	0.000996849	0.0206128	0.00263106	0.0175449	0.0548674	0.64838	0.249979
y	0.000809947	7.33081e-05	0.000495955	0.00147702	0.000544728	0.00200563	0.973757	0.020836
a	0.00303134	0.000335289	0.00117021	0.001802	0.00100101	0.00423776	0.92682	0.0616026
m	0.00256645	0.00151004	0.00431627	0.00339803	0.00695729	0.016438	0.486506	0.478308
a	0.0135881	0.00446251	0.0136459	0.0206556	0.0136996	0.0109461	0.0431348	0.879867
</S>	0.0190479	0.00205948	0.0192505	0.000545534	0.0181846	0.0378416	0.101759	0.801311
