 	une	autre	affaire	sera	traitée	aujourd'	hui	</S>
i	0.387807	0.439936	0.110474	0.0488524	0.00304391	0.00903038	0.000629417	0.000227054
b	0.20161	0.574376	0.17546	0.025723	0.0149554	0.00123969	0.00281769	0.00381873
á	0.0650266	0.220968	0.441985	0.150974	0.10958	0.00307467	0.0020413	0.006351
n	0.0554605	0.174981	0.473721	0.111238	0.0673935	0.0128819	0.0348977	0.0694262
d	0.534293	0.22539	0.0941417	0.0452626	0.0659224	0.0122362	0.000356915	0.0223977
z	0.508439	0.380238	0.0259389	0.0263905	0.0227776	0.00462806	0.00057681	0.0310109
á	0.346138	0.186864	0.0624111	0.0955224	0.152347	0.0157198	0.000938968	0.140059
d	0.290272	0.0891879	0.310829	0.150361	0.032559	0.0513843	0.00915861	0.0662477
i	0.499711	0.31142	0.0316517	0.0824049	0.018489	0.00719429	0.00172878	0.0473996
n	0.323861	0.142514	0.143534	0.294645	0.0338354	0.033201	0.00470869	0.0236996
á	0.171019	0.260565	0.091851	0.262029	0.0826675	0.0445862	0.00576641	0.0815162
l	0.0667341	0.0078616	0.178082	0.466923	0.108732	0.131657	0.00624352	0.0337665
í	0.0267216	0.0133085	0.0407561	0.194822	0.317929	0.0711794	0.00416882	0.331115
i	0.0776521	0.0160819	0.111639	0.266491	0.230295	0.240082	0.00657527	0.0511831
t	0.0039111	0.00523432	0.0158677	0.0785268	0.860182	0.0130825	0.00483616	0.0183597
i	0.000525324	0.000591137	0.0120731	0.0301027	0.926066	0.00409465	0.012919	0.0136285
i	0.00288804	0.00107354	0.0311504	0.0683065	0.867092	0.0117673	0.00197638	0.0157457
m	0.00637806	0.00379242	0.0500692	0.123683	0.433168	0.277294	0.0334718	0.0721443
á	0.00831797	0.0104605	0.00834982	0.0466012	0.369539	0.334873	0.00605599	0.215803
p	0.00662522	0.00243591	0.0138655	0.0531484	0.0629741	0.550249	0.237766	0.072936
á	0.000928206	0.00038882	0.00140609	0.00470525	0.017284	0.0144982	0.9553	0.00548904
b	0.000345897	0.000152422	0.000518406	0.00141201	0.00155339	0.00917932	0.979266	0.00757279
h	0.000318426	0.000124778	0.00270934	0.00607918	0.020459	0.209744	0.266355	0.494209
a	0.00530677	0.0015649	0.0130317	0.0403103	0.0561105	0.163587	0.525209	0.194879
</S>	0.00490912	0.00210234	0.0201404	0.0171229	0.0103552	0.172565	0.214886	0.557918
