 	nous	les	avons	rencontré	là-bas	</S>
b	0.574697	0.36559	0.0565276	0.00101	0.00202234	0.000153257
í	0.854932	0.097182	0.0395788	0.000662979	0.00607957	0.00156456
s	0.977975	0.0133257	0.00836309	0.000224413	6.63718e-05	4.57896e-05
í	0.855842	0.0927469	0.036265	0.00179521	0.00336984	0.00998089
l	0.0788426	0.323232	0.167431	0.0967759	0.0260147	0.307703
έ	0.0166122	0.152927	0.128879	0.0985404	0.0579157	0.545126
t	0.00343374	0.404897	0.270939	0.253045	0.0188954	0.0487904
έ	0.0101809	0.0956833	0.198263	0.659205	0.0117706	0.0248975
n	0.155781	0.245513	0.250022	0.220976	0.0224768	0.10523
i	0.337162	0.172235	0.241272	0.169755	0.0397864	0.0397909
i	0.121003	0.176226	0.329744	0.0929697	0.205502	0.0745559
l	0.0220195	0.0628663	0.101103	0.236983	0.482497	0.0945318
a	0.0131637	0.0247412	0.0348266	0.106506	0.516058	0.304704
b	0.0158149	0.0480541	0.0843763	0.0643477	0.537133	0.250274
á	0.115768	0.0263982	0.0766547	0.139821	0.575959	0.0653984
a	0.0482581	0.0257707	0.0706333	0.0257886	0.303051	0.526498
o	0.00127911	0.0106297	0.0133797	0.0158087	0.223785	0.735118
p	0.00341201	0.0496989	0.0238842	0.0217028	0.261796	0.639506
é	0.000170148	0.0275294	0.056994	0.00766171	0.186748	0.720897
</S>	0.000132972	0.00227992	0.0101409	0.00563556	0.127953	0.853858
